village,municipality,state,inali_endonym_ort,inali_endonym_ipa,inali_name
San Vicente Boquerón,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Tecomate,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Tetelcingo,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Tianguistengo,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Acametla de Bravo,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Ahuejutla,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Alcozáuca de Guerrero,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Almolonga de Ocampo (Almolonga),Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Altamira,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Amapilca,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Buena Vista,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Cerro Azul,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Chimaltepec,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Cruz Verde,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Cuyuxtlahuac,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
El Gitano,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Ixcuinatoyac,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Loma Bonita,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Lomazoyatl (Lomazoya),Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Melchor Ocampo,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Petlacalancingo,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Rancho El Zapote,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
San José Lagunas (Capulín),Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
San Martín,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
San Miguel El Grande,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
San Miguelito,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Santa Cruz Fandango,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Tlahuapa,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Tlahuapa
Xochapa,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Xochapa
Xonacatlán,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Xonacatlán
Zaragoza,Alcozáuca de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del noreste central
Zoyatlán de Juárez (San Vicente Zoyatlán),Alcozáuza de Guerrero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Zoyatlán de Juárez
Alpoyeca,Alpoyeca,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del norte
Barrio de San Marcos,Alpoyeca,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del norte
Barrio El Socorrito,Alpoyeca,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del norte
Ixcateopan,Alpoyeca,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del norte
San José Buenavista,Alpoyeca,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero del norte
Asunción Nochixtlán,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Cañada Yundayaco,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Cantera,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
El Encinal,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
El Progreso (El Moral),Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
El Sauce,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
La Asunción,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
La Cumbre,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
La Labor,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
La Labor (Duraznal),Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
La Unión Libertad Ixtaltepec,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
La Unión Mitlatongo,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Loma Escobilla,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Mixtly,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Ojo de Agua Mitlatongo,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Piedra Azul (Morelos Dos),Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Rancho Verde,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Reforma,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
San Andrés Sachio,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
San Pedro Quilitongo,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Santa Catarina Adequez,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Santa María Añuma,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Santa María Tinu,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Santa Teresa,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Santiago Amatlán,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Santiago Buena Vista (Ticua),Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Santiago Ixtaltepec,Asunción Nochixtlán,Oaxaca,da’an davi,[ðãʔã ðaβi],mixteco del noreste
Santiago Mitlatongo,Asunción Nochixtlán,Oaxaca,tu’un lavi,[tũʔũ laβi],mixteco de Mitlatongo
Unidad Piedra de Sangre (Morelos Uno),Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Yodonguio,Asunción Nochixtlán,Oaxaca,tu’un davi,[tũʔũ ðaβi],mixteco del este
Álvaro Obregón,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Atlamajalcingo del Monte,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Chinameca,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Cuautipan,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Huehuetepec (Huehue),Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Plan de Guadalupe,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
San Isidro Labrador,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Santa Cruz Guerrero,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Tepecocatlán,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Zilacayotitlán,Atlamajalcingo del Monte,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Atlamajalcingo
Ahuacachahue (Ndog ’Yo Itun Tichi),Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Ahuexutla,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Ampliación Vicente Guerrero,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Arroyo del Zapote,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Arroyo Ocotlán,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Atocutla,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Ayutla de los Libres,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Azozuca (Colonia Palmasola),Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Barranca Tecoani,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Barrio Nuevo Tres,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Cerro Gordo Nuevo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Cerro Gordo Viejo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Chacalapa,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Coapinola,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Colonia la Reforma (Fraccionamiento la Reforma),Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Colonia Miguel Hidalgo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Cotzalzin,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Coxcatlán Candelaria,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Coxcatlán San Pedro,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Crucero de Tutepec,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Cuadrilla Nueva,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Cuanacazapa,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Cumbres de Cotzalzin,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Cumbres de Yolotepec [Cumbre de Yolotepec],Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Capulín,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Charco,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Charquito,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Coquillo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Cortijo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Coyul,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Crucero de Tonalá (Huerta Campo),Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Guineo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Mezón,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Mezoncillo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Paraíso,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Piñal,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Platanar (San Antonio),Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Refugio,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Salto,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Sauce,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Tamarindo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Tepuente,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
El Vano,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Fraccionamiento Jardines,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Fraccionamiento Sinaí,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Huerta Juana Gómez,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Angostura,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Azozuca,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Concordia,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Cortina,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Fátima,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Guadalupe,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Lima,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Mesilla,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Palma,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Sidra,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
La Unión,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Los Tepetates,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Mezón Chico,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Mezón Zapote,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Ocote Amarillo,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Ocotlán,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Ojo de Agua (Xa’a Kava Yaa),Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Pozolapa,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Quiahuitepec,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Rancho David Morales,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Rancho Francisco Castro,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Rancho Gabriel Sánchez,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Rancho la Colonia,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Rancho los Ortiz,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Rancho Ocoapa,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Roca Colorada,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
San Antonio Abad,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
San Felipe,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
San José la Hacienda,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Tepango,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Tierra Lanca,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Tonalá,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Tutepec,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Vista Hermosa,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Yivi Ndaa,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Zempazulco,Ayutla de los Libres,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Ayutla
Agua Fría,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Agua Zarca (Barrio de Agua Zarca),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Aguacatillo (Rancho Maximino Muñoz),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Arcelia del Progreso,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Azoyú,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Barra de Tecoanapa,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Barrio Nuevo,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Carrizalillo,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Cola de Charco (Charco Grande),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Cruz Verde,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
El Aguacate,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
El Arenal (La Plataforma),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
El Capulín Chocolate,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
El Cucharo (Arroyo El Cucharo),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
El Macahuite,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
El Rincón,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
El Zapote,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Huehuetán,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Juchitán,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
La Barra de Tecoanapa,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
La Cuchilla,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
La Culebra,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
La India (La India Calosa),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
La Pelota,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Llanos del Coco (El Coco),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Lomas del Vidal (El Vidal),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Los Chegues,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Los Metates,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Los Pelillos,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Los Quiterios,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Marquelia,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Maxmadi,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Quetzalapa,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Rancho Dos Laureles,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Rancho Estrada,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Rancho Lempira,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Rancho los Mendoza,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Rancho Maestro Crisogono,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Rancho Márquez,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Rancho Tino Cortez,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
San Isidro El Puente (El Puente),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
San José del Capulín (Capulín Calavera),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Talapilla,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Tenango,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Zapotitlán de la Fuente (El Zapote),Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Zoyatlán,Azoyú,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa este
Calihuala,Calihuala,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
El Calvario,Calihuala,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
San Antonio las Mesas,Calihuala,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
Abasolo,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Aldama,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Allende,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Cañada de Morelos,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Chalcatongo de Hidalgo,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Chapultepec,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Colonia Yurancho,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
El Portillo,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Guerrero (Vicente Guerrero),Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Hidalgo,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Independencia,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Iturbide,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
Juárez,Chalcatongo de Hidalgo,Oaxaca,sahin sau,[sahin sau],mixteco del sur bajo
