address,author,bibtex_type,booktitle,ca_doctype_trigger,ca_language_trigger,chapter,description,edition,editor,endpage_int,gbid,glottolog_id,google_book_search_id,howpublished,iaid,id,inlg,inlg_code,journal,jsondata,keywords,language_note,macroareas,markup_description,med_index,med_pages,med_type,name,normalizedauthorstring,normalizededitorstring,note,number,organization,ozbib_id,pages,pages_int,pk,publisher,school,series,srctrickle,startpage_int,subject,subject_headings,title,type,url,volume,year,year_int
,"Williams, Judith",article,,noun,,,The fronting of noun and adverb phrases in Mixtec of Tezoatlán,,,,,,,,,139994,English [eng],,SIL-Mexico Branch Electronic Working Papers,"{""hhtype"": ""specific_feature (computerized assignment from \""noun\"")"", ""glottolog_ref_id"": ""139994"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""51062"", ""country"": ""Mexico [MX]""}",,Tezoatlán Mixtec [mxb],North America,,3,29,phonology_or_text,"Williams, Judith 2008",,,,,,,29,29,319357,,,,sil16#51062,,Discourse structure [DST],,The fronting of noun and adverb phrases in Mixtec of Tezoatlán,,http://www.sil.org/mexico/workpapers/WP006i-MixtecaTezoatlanFronting-mxb.pdf,6,2008,2008
,"Williams, Judith",misc,,noun,,,Fronting of noun and adverb phrases in Mixtec of Tezoatlán,,,,,,,"En S.I.L.-Mexico Workpapers, no. 10",,151723,English [eng],,SIL Mexico Workpapers,"{""hhtype"": ""specific_feature (computerized assignment from \""noun\"")"", ""sil_id"": ""34866"", ""glottolog_ref_id"": ""151723"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Tezoatlán Mixtec [mxb],North America,,3,27,phonology_or_text,"Williams, Judith 1993",,,,,,,85-111,27,319356,,,,"otomanguean#Mixtec360, sil16#34866",,Discourse structure [DST],,Fronting of noun and adverb phrases in Mixtec of Tezoatlán,,,10,1993,1993
,"Williams H., Juan and Judith Ferguson de Williams, producción; Sebastián Ojeda V., narrador",book,,,zorrillo,,Ndicuii ndicuihina xihin tiñihi ndicuihina[;] El zorro bandido y el zorrillo ladrón,,,,,,,,,310943,Spanish [spa],,,"{""omnote"": ""[mixteco de Tezoatl\u00e1n]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""310943"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb] (computerized assignment from \""zorrillo\"")""}",,"Tezoatlán Mixtec [mxb] (computerized assignment from ""zorrillo"")",,,16,14,wordlist_or_less,"Williams H., Juan and Judith Ferguson de Williams, producción; Sebastián Ojeda V., narrador 1988",,,,,,,14,14,319332,"Instituto Lingüístico de Verano, México, D. F",,,otomanguean#Mixtec359,,,,Ndicuii ndicuihina xihin tiñihi ndicuihina[;] El zorro bandido y el zorrillo ladrón,,,,1988,1988
,"Hillman Whitehurst, Jorge and Valerie Friesen de Hillman, asesores lingüísticos; Gervacio de Jesús Flores, narrador",book,,,conejo,,Leco xi=in diva=yu[;] leco xi=in yuvi lo=o[;] Cuentos del conejo y el coyote 1[;] El coyote y el muñequito de cera,,,,,,,,,301076,Spanish [spa],,,"{""omnote"": ""[mixteco de Metlatonoc]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""301076"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,9,wordlist_or_less,"Hillman Whitehurst, Jorge and Valerie Friesen de Hillman, asesores lingüísticos; Gervacio de Jesús Flores, narrador 1984",,,,,,,9,9,317760,"Instituto Lingüístico de Verano, México, D. F",,,otomanguean#Mixtec84,,,,Leco xi=in diva=yu[;] leco xi=in yuvi lo=o[;] Cuentos del conejo y el coyote 1[;] El coyote y el muñequito de cera,,,,1984,1984
,"Shields W., Juliana",book,,gramatica,silacayoapan,,Gramática popular del mixteco[;] mixteco de Silacayoapan,,,,,,,,,307454,,,,"{""src"": ""otomanguean"", ""hhtype"": ""grammar (computerized assignment from \""gramatica\"")"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""307454"", ""lgcode"": ""Silacayoapan Mixtec [mks] (computerized assignment from \""silacayoapan\"")""}",,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",,,0,44,grammar,"Shields W., Juliana 1976",,,,,,,44,44,312312,"Instituto Lingüístico de Verano en coordinación con la Secretaría de Educación Pública a través de la DGEEMI, México, D. F",,,otomanguean#Mixtec321,,,,Gramática popular del mixteco[;] mixteco de Silacayoapan,,,,1976,1976
,"López Vivar, Luis R.",book,,,huajuapan,,"Tuti noo kaa naa nta=vi[;] mi libro mixteco: primer grado, Huajuapan de León, Oaxaca",,,,,,,,,306958,English [eng],,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""306958"", ""lgcode"": ""Cacaloxtepec Mixtec [miu] (computerized assignment from \""huajuapan\"")""}",,"Cacaloxtepec Mixtec [miu] (computerized assignment from ""huajuapan"")",,,16,89,wordlist_or_less,"López Vivar, Luis R. 1985",,,,,,,89,89,310926,"Secretaría de Educación Pública, México",,,otomanguean#Mixtec176,,,,"Tuti noo kaa naa nta=vi[;] mi libro mixteco: primer grado, Huajuapan de León, Oaxaca",,,,1985,1985
,Instituto Lingüístico de Verano,book,,,conejo,,Yiso tá=an ñocuii (El cuento del conejo y el zorro),,,,,,,,,302327,Spanish [spa],,,"{""omnote"": ""[mixteco de Alacatlazala]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""302327"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,4,wordlist_or_less,Instituto Lingüístico de Verano 1979,,,,,,,4,4,309038,Instituto Lingüístico de Verano,,,otomanguean#Mixtec137,,,,Yiso tá=an ñocuii (El cuento del conejo y el zorro),,,,1979,1979
,Instituto Lingüístico de Verano,book,,,conejo,,Xcuent to conejü no to nyo (El cuento del conejo y el coyote),,,,,,,,,300342,Spanish [spa],,,"{""omnote"": ""[zapoteco de Guevea de H\u00famboldt]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Zapotec"", ""glottolog_ref_id"": ""300342"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,16,wordlist_or_less,Instituto Lingüístico de Verano 1980,,,,,,,16,16,309036,Instituto Lingüístico de Verano,,,otomanguean#Zapotec197,,,,Xcuent to conejü no to nyo (El cuento del conejo y el coyote),,,,1980,1980
,Instituto Lingüístico de Verano,book,,,conejo,,"Cuento lejo jiin tivahvo jiin chihin (El conejo, el coyote y el zorrillo)",,,,,,,,,310522,Spanish [spa],,,"{""omnote"": ""[mixteco de Ocotepec]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""310522"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,6,wordlist_or_less,Instituto Lingüístico de Verano 1978,,,,,,,6,6,309026,Instituto Lingüístico de Verano,,,otomanguean#Mixtec127,,,,"Cuento lejo jiin tivahvo jiin chihin (El conejo, el coyote y el zorrillo)",,,,1978,1978
,Instituto Lingüístico de Verano,book,,,conejo,,"Cuento tivahvo jiin ticachi luli jiin Cuento lejo jiin tivahvo jiin cava (El coyote y el corderito y El conejo, el coyote y el risco)",,,,,,,,,304007,Spanish [spa],,,"{""omnote"": ""[mixteco de Ocotepec]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""304007"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,7,wordlist_or_less,Instituto Lingüístico de Verano 1978,,,,,,,7,7,309023,Instituto Lingüístico de Verano,,,otomanguean#Mixtec129,,,,"Cuento tivahvo jiin ticachi luli jiin Cuento lejo jiin tivahvo jiin cava (El coyote y el corderito y El conejo, el coyote y el risco)",,,,1978,1978
,Instituto Lingüístico de Verano,book,,,conejo,,Shcuent to conejü noo to deqy (El cuento del conejo y el sapo),,,,,,,,,312791,Spanish [spa],,,"{""omnote"": ""[zapoteco de Guevea de H\u00famboldt]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Zapotec"", ""glottolog_ref_id"": ""312791"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,4,wordlist_or_less,Instituto Lingüístico de Verano 1979,,,,,,,4,4,309018,Instituto Lingüístico de Verano,,,otomanguean#Zapotec189,,,,Shcuent to conejü noo to deqy (El cuento del conejo y el sapo),,,,1979,1979
,Instituto Lingüístico de Verano,book,,,,,Tuhun nsa sáhá ndá vehe (Cómo construir una casa),,,,,,,,,304096,,,,"{""src"": ""otomanguean"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""304096"", ""lgcode"": ""Ocotepec Mixtec [mie]""}",,Ocotepec Mixtec [mie],North America,,16,4,wordlist_or_less,Instituto Lingüístico de Verano 1979,,,,,,,4,4,309014,Instituto Lingüístico de Verano,,,otomanguean#Mixtec136,,,,Tuhun nsa sáhá ndá vehe (Cómo construir una casa),,,,1979,1979
,Instituto Lingüístico de Verano,book,,,diuxi,,Relatos sobre la vida en Diuxi,,,,,,,,,308284,,,,"{""omnote"": ""[mixteco de Diuxi]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""308284"", ""lgcode"": ""Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from \""diuxi\"")""}",,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""diuxi"")",,,16,18,wordlist_or_less,Instituto Lingüístico de Verano 1973,,,,,,,18,18,309010,Instituto Lingüístico de Verano,,,otomanguean#Mixtec120,,,,Relatos sobre la vida en Diuxi,,,,1973,1973
,Instituto Lingüístico de Verano,book,,,conejo,,Tu betsi nna tu bedina (El león y el ratón; El conejo y el lobo),,,,,,,,,313220,Spanish [spa],,,"{""omnote"": ""[zapoteco de la Sierra]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Zapotec"", ""glottolog_ref_id"": ""313220"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,8,wordlist_or_less,Instituto Lingüístico de Verano 1960,,,,,,,8,8,309002,Instituto Lingüístico de Verano,,,otomanguean#Zapotec173,,,,Tu betsi nna tu bedina (El león y el ratón; El conejo y el lobo),,,,1960,1960
,Instituto Lingüístico de Verano,book,,,conejo,,Cuento lejo jiin tivahvo jaa nchaji chiquin (El conejo y el coyote que se comió una tuna),,,,,,,,,303737,Spanish [spa],,,"{""omnote"": ""[mixteco de Ocotepec]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""303737"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,6,wordlist_or_less,Instituto Lingüístico de Verano 1978,,,,,,,6,6,308996,Instituto Lingüístico de Verano,,,otomanguean#Mixtec126,,,,Cuento lejo jiin tivahvo jaa nchaji chiquin (El conejo y el coyote que se comió una tuna),,,,1978,1978
,Instituto Lingüístico de Verano,book,,,conejo,,Xcuent to conejü no to mban (El cuento del conejo y el lagarto),,,,,,,,,302168,Spanish [spa],,,"{""omnote"": ""[zapoteco de Guevea de H\u00famboldt]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Zapotec"", ""glottolog_ref_id"": ""302168"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,11,wordlist_or_less,Instituto Lingüístico de Verano 1979,,,,,,,11,11,308991,Instituto Lingüístico de Verano,,,otomanguean#Zapotec191,,,,Xcuent to conejü no to mban (El cuento del conejo y el lagarto),,,,1979,1979
,Instituto Lingüístico de Verano,book,,,conejo,,Cuento lejo jiin mono ñuma (El conejo y el hombre de cera),,,,,,,,,312288,Spanish [spa],,,"{""omnote"": ""[mixteco de Ocotepec]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""312288"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,12,wordlist_or_less,Instituto Lingüístico de Verano 1978,,,,,,,12,12,308990,Instituto Lingüístico de Verano,,,otomanguean#Mixtec125,,,,Cuento lejo jiin mono ñuma (El conejo y el hombre de cera),,,,1978,1978
,Instituto Lingüístico de Verano,book,,,conejo,,Ni guhc deqy leññ cuev no to conejü (Lo que sucedió en la cueva a un sapo y un conejo),,,,,,,,,309005,Spanish [spa],,,"{""omnote"": ""[zapoteco de Guevea de H\u00famboldt]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Zapotec"", ""glottolog_ref_id"": ""309005"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,5,wordlist_or_less,Instituto Lingüístico de Verano 1980,,,,,,,5,5,308982,Instituto Lingüístico de Verano,,,otomanguean#Zapotec194,,,,Ni guhc deqy leññ cuev no to conejü (Lo que sucedió en la cueva a un sapo y un conejo),,,,1980,1980
,Instituto Lingüístico de Verano,book,,,conejo,,Cuentu ñaña xh conejo (Cuento del coyote y el conejo),,,,,,,,,307099,Spanish [spa],,,"{""omnote"": ""[mixteco de Diuxi]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""307099"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,22,wordlist_or_less,Instituto Lingüístico de Verano 1973,,,,,,,22,22,308975,Instituto Lingüístico de Verano,,,otomanguean#Mixtec118,,,,Cuentu ñaña xh conejo (Cuento del coyote y el conejo),,,,1973,1973
,Instituto Lingüístico de Verano,book,,,conejo,,Cuent que conecw len yeto be=eze (Cuento del conejo y la zorra),,,,,,,,,309720,Spanish [spa],,,"{""omnote"": ""[zapoteco de Yal\u00e1lag]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Zapotec"", ""glottolog_ref_id"": ""309720"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv] (computerized assignment from \""conejo\"")""}",,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",,,16,3,wordlist_or_less,Instituto Lingüístico de Verano 1979,,,,,,,3,3,308968,Instituto Lingüístico de Verano,,,otomanguean#Zapotec187,,,,Cuent que conecw len yeto be=eze (Cuento del conejo y la zorra),,,,1979,1979
,Instituto Lingüístico de Verano,misc,,,yosondua,,Concordancia del idioma mixteco de Yosondúa,,,,,,,Trabajo inédito,,303841,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""303841"", ""lgcode"": ""Yosond\u00faa Mixtec [mpm] (computerized assignment from \""yosondua\"")""}",,"Yosondúa Mixtec [mpm] (computerized assignment from ""yosondua"")",,,16,0,wordlist_or_less,Instituto Lingüístico de Verano no date,,,,,,,,,308967,,,,otomanguean#Mixtec146,,,,Concordancia del idioma mixteco de Yosondúa,,,,no date,
,Instituto Lingüístico de Verano,misc,,,silacayoapan,,Concordancia del idioma mixteco de Silacayoapan,,,,,,,Trabajo inédito,,307063,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""307063"", ""lgcode"": ""Silacayoapan Mixtec [mks] (computerized assignment from \""silacayoapan\"")""}",,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",,,16,0,wordlist_or_less,Instituto Lingüístico de Verano no date,,,,,,,,,308964,,,,otomanguean#Mixtec145,,,,Concordancia del idioma mixteco de Silacayoapan,,,,no date,
,Instituto Lingüístico de Verano,misc,,,penoles,,Concordancia del idioma mixteco de Peñoles,,,,,,,Trabajo inédito,,313557,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""313557"", ""lgcode"": ""Pe\u00f1oles Mixtec [mil] (computerized assignment from \""penoles\"")""}",,"Peñoles Mixtec [mil] (computerized assignment from ""penoles"")",,,16,0,wordlist_or_less,Instituto Lingüístico de Verano 1961,,,,,,,,,308963,,,,otomanguean#Mixtec102,,,,Concordancia del idioma mixteco de Peñoles,,,,1961,1961
,Instituto Lingüístico de Verano,misc,,,ocotepec,,Concordancia del idioma mixteco de Ocotepec,,,,,,,Trabajo inédito,,306677,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""306677"", ""lgcode"": ""Ocotepec Mixtec [mie] (computerized assignment from \""ocotepec\"")""}",,"Ocotepec Mixtec [mie] (computerized assignment from ""ocotepec"")",,,16,0,wordlist_or_less,Instituto Lingüístico de Verano 1966,,,,,,,,,308961,,,,otomanguean#Mixtec103,,,,Concordancia del idioma mixteco de Ocotepec,,,,1966,1966
,Instituto Lingüístico de Verano,misc,,,diuxi,,Concordancia del idioma mixteco de Diuxi,,,,,,,Trabajo inédito,,311475,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""311475"", ""lgcode"": ""Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from \""diuxi\"")""}",,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""diuxi"")",,,16,0,wordlist_or_less,Instituto Lingüístico de Verano no date,,,,,,,,,308959,,,,otomanguean#Mixtec143,,,,Concordancia del idioma mixteco de Diuxi,,,,no date,
