Grapheme	IPA	Class	Status	Comments
ìi̢	ĩ1ĩ3	vowel and tone		
ìĭ̢	ĩ1ĩ35	vowel and tone		
ìí̢	ĩ1ĩ5	vowel and tone		
i	i3	vowel and tone		
i̢	ĩ3	vowel and tone		
ĭ	i35	vowel and tone		
ĭ̢	ĩ35	vowel and tone		
ĭì̢	ĩ35ĩ1	vowel and tone		
ĭi̢	ĩ35ĩ3	vowel and tone		
ĭĭ̢	ĩ35ĩ35	vowel and tone		
ĭí̢	ĩ35ĩ5	vowel and tone		
iì̢	ĩ3ĩ1	vowel and tone		
ii̢	ĩ3ĩ3	vowel and tone		
iĭ̢	ĩ3ĩ35	vowel and tone		
ií̢	ĩ3ĩ5	vowel and tone		
í	i5	vowel and tone		
í̢	ĩ5	vowel and tone		
íì̢	ĩ5ĩ1	vowel and tone		
íi̢	ĩ5ĩ3	vowel and tone		
íĭ̢	ĩ5ĩ35	vowel and tone		
íí̢	ĩ5ĩ5	vowel and tone		
ɨ̀	ɨ1	vowel and tone		
ɨ̢̀	ɨ̃1	vowel and tone		
ɨ̀ɨ̢̀	ɨ̃1ɨ̃1	vowel and tone		
ɨ̀ɨ̢	ɨ̃1ɨ̃3	vowel and tone		
ɨ̀ɨ̢̆	ɨ̃1ɨ̃35	vowel and tone		
ɨ̀ɨ̢́	ɨ̃1ɨ̃5	vowel and tone		
ɨ	ɨ3	vowel and tone		
ɨ̢	ɨ̃3	vowel and tone		
ɨ̆	ɨ35	vowel and tone		
ɨ̢̆	ɨ̃35	vowel and tone		
ɨ̆ɨ̢̀	ɨ̃35ɨ̃1	vowel and tone		
ɨ̆ɨ̢	ɨ̃35ɨ̃3	vowel and tone		
ɨ̆ɨ̢̆	ɨ̃35ɨ̃35	vowel and tone		
ɨ̆ɨ̢́	ɨ̃35ɨ̃5	vowel and tone		
ɨɨ̢̀	ɨ̃3̃ɨ1	vowel and tone		
ɨɨ̢	ɨ̃3̃ɨ3	vowel and tone		
ɨɨ̢̆	ɨ̃3̃ɨ35	vowel and tone		
ɨɨ̢́	ɨ̃3̃ɨ5	vowel and tone		
ɨ́	ɨ5	vowel and tone		
ɨ̢́	ɨ̃5	vowel and tone		
ɨ́ɨ̢̀	ɨ̃5ɨ̃1	vowel and tone		
ɨ́ɨ̢	ɨ̃5ɨ̃3	vowel and tone		
ɨ́ɨ̢̆	ɨ̃5ɨ̃35	vowel and tone		
ɨ́ɨ̢́	ɨ̃5ɨ̃5	vowel and tone		
ò	o1	vowel and tone		
ò̢	õ1	vowel and tone		
òò̢	õ1õ1	vowel and tone		
òo̢	õ1õ3	vowel and tone		
òŏ̢	õ1õ35	vowel and tone		
òó̢	õ1õ5	vowel and tone		
o	o3	vowel and tone		
o̢	õ3	vowel and tone		
ŏ	o35	vowel and tone		
ŏ̢	õ35	vowel and tone		
ŏò̢	õ35õ1	vowel and tone		
ŏo̢	õ35õ3	vowel and tone		
ŏŏ̢	õ35õ35	vowel and tone		
ŏó̢	õ35õ5	vowel and tone		
oò̢	õ3õ1	vowel and tone		
oo̢	õ3õ3	vowel and tone		
oŏ̢	õ3õ35	vowel and tone		
oó̢	õ3õ5	vowel and tone		
ó	o5	vowel and tone		
ó̢	õ5	vowel and tone		
óò̢	õ5õ1	vowel and tone		
óo̢	õ5õ3	vowel and tone		
óŏ̢	õ5õ35	vowel and tone		
óó̢	õ5õ5	vowel and tone		
ù	u1	vowel and tone		
ù̢	ũ1	vowel and tone		
ùù̢	ũ1ũ1	vowel and tone		
ùu̢	ũ1ũ3	vowel and tone		
ùŭ̢	ũ1ũ35	vowel and tone		
ùú̢	ũ1ũ5	vowel and tone		
u	u3	vowel and tone		
u̢	ũ3	vowel and tone		
ŭ	u35	vowel and tone		
ŭ̢	ũ35	vowel and tone		
ŭù̢	ũ35ũ1	vowel and tone		
ŭu̢	ũ35ũ3	vowel and tone		
ŭŭ̢	ũ35ũ35	vowel and tone		
ŭú̢	ũ35ũ5	vowel and tone		
uù̢	ũ3ũ1	vowel and tone		
uu̢	ũ3ũ3	vowel and tone		
uŭ̢	ũ3ũ35	vowel and tone		
uú̢	ũ3ũ5	vowel and tone		
ú	u5	vowel and tone		
ú̢	ũ5	vowel and tone		
úù̢	ũ5ũ1	vowel and tone		
úu̢	ũ5ũ3	vowel and tone		
úŭ̢	ũ5ũ35	vowel and tone		
úú̢	ũ5ũ5	vowel and tone		
