ID	DOCULECT	CONCEPT	FORM	IDlist	NOTES
57	ocot11	caballo	kiti	73	NA
58	ocot11	borrego, oveja	ntikachi	74	NA
59	ocot11	hormiga	choko	75	NA
60	ocot11	cuerno	ntiki	76	NA
61	ocot11	pluma	túmi	77	NA
62	ocot11	cola	nto’o	79	NA
63	ocot11	árbol	yutu	80	NA
64	ocot11	hierba	kù’ù	81	NA
65	ocot11	zacate, pasto	icha	82	NA
66	ocot11	flor	ita	83	NA
67	ocot11	maguey	yàvì	84	NA
68	ocot11	raíz	yo’o	85	NA
69	ocot11	espina	iñu	86	NA
70	ocot11	maíz	nuni	87	NA
71	ocot11	milpa	itu	88	NA
72	ocot11	elote	ntíxi	89	NA
73	ocot11	nixtamal	tsá’á	90	NA
74	ocot11	masa	yutsa	91	NA
75	ocot11	tortilla	staa	92	NA
76	ocot11	surco	yuku	94	NA
77	ocot11	espiga	yòko	95	NA
78	ocot11	frijol(es)	ntuchi	96	NA
79	ocot11	ejote	nchichi	97	NA
80	ocot11	chile	ya’a	98	NA
81	ocot11	sal	iìn	99	NA
82	ocot11	calabaza	iki	100	NA
83	ocot11	chayote	naña	101	NA
84	ocot11	caña	ntòò	102	NA
85	ocot11	miel	ntuxi	103	NA
86	ocot11	manteca	xa’an	104	NA
87	ocot11	huevo	ntívi	105	NA
88	ocot11	camote	ña’mi	107	listed as ña’mi vixi ‘camote dulce’
89	ocot11	aguacate	tichi	108	NA
90	ocot11	plátano	nchikà	109	NA
91	ocot11	nopal	mi’ncha	110	NA
92	ocot11	hongo	tsi’i	113	NA
93	ocot11	carne	kuñu	114	NA
94	ocot11	comal	tsio	115	NA
95	ocot11	olla	kìsi	116	NA
96	ocot11	horno	tsìtù	117	NA
97	ocot11	lumbre, fuego	ñu’un	118	NA
98	ocot11	ceniza	yàà	119	NA
99	ocot11	humo	ñu’ma	121	NA
100	ocot11	basura	mi’í	122	NA
101	ocot11	plato	ko’o	123	NA
102	ocot11	jícara	yatsi	124	NA
103	ocot11	tenate	nto’ó	125	NA
104	ocot11	hilo	yu’va	127	NA
105	ocot11	peine	kuika	128	NA
106	ocot11	cuerda	yo’o	129	NA
107	ocot11	hoyo	yavi	130	NA
108	ocot11	jabón	nama	132	NA
109	ocot11	anillo	xe’e	133	NA
110	ocot11	luna	yòò	134	NA
111	ocot11	nube	víkò	135	NA
112	ocot11	agua	chikui	137	NA
113	ocot11	lluvia	savi	138	NA
114	ocot11	río	yùcha	139	NA
115	ocot11	piedra	yùù	143	NA
116	ocot11	algodón	kàchi	144	NA
117	ocot11	fierro	kaa	145	NA
118	ocot11	papel	tutu	146	NA
119	ocot11	cal	kàkà	147	NA
120	ocot11	cera	ñùma	148	NA
121	ocot11	lodo	nchá’í	149	NA
122	ocot11	polvo	yaka	151	NA
123	ocot11	rojo	kua’a	152	NA
124	ocot11	verde	kui	153	NA
125	ocot11	amarillo	kuan	154	NA
126	ocot11	negro	ncha’í	155	NA
127	ocot11	blanco	yaa	156	NA
128	ocot11	uno	in	157	NA
129	ocot11	dos	uvi	158	NA
130	ocot11	tres	ùni	159	NA
131	ocot11	cuatro	kùmi	160	NA
132	ocot11	cinco	u’un	161	NA
133	ocot11	seis	ìñu	162	NA
134	ocot11	siete	utsa	163	NA
135	ocot11	ocho	ùna	164	NA
136	ocot11	nueve	ììn	165	NA
137	ocot11	diez	utsi	166	NA
138	ocot11	quince	tsa’un	167	NA
139	ocot11	veinte	oko	168	NA
140	ocot11	pobre	nta’vi	169	NA
141	ocot11	hace frío	vítsi	171	NA
142	ocot11	está caliente, caliente	i’ni	172	NA
143	ocot11	grande.SG	ka’nu	173	NA
144	ocot11	pequeño.SG, chico.SG	luu	175	NA
145	ocot11	largo.SG	kani	177	NA
146	ocot11	bueno	va’a	179	NA
147	ocot11	dulce	vixi	180	NA
148	ocot11	salado	u’a	181	NA
149	ocot11	amargo	uva	182	NA
150	ocot11	sabroso	ási	183	NA
151	ocot11	ancho	ntika	184	NA
152	ocot11	nuevo	tsaà	185	NA
153	ocot11	feo	kíni	187	NA
154	ocot11	celoso	kuiñu	188	NA
155	ocot11	cerca de, está cerca	yachi	189	NA
156	ocot11	pesado	vee	191	NA
157	ocot11	crudo	i’i	192	NA
158	ocot11	liso, resbaloso	ntii	193	NA
159	ocot11	despacio	kue kueni ~ kueni kueni	194	NA
160	ocot11	ayer	kúni	195	NA
161	ocot11	año	kuia	196	NA
162	ocot11	ahora, hoy	vichi	197	NA
163	ocot11	noche	tsikua	198	NA
164	ocot11	día	kii	200	NA
165	ocot11	de día, todo el día	ntuu	201	NA
166	ocot11	mitad	sava	202	NA
167	ocot11	dinero	xu’un	203	NA
168	ocot11	trabajo	chuun	204	NA
169	ocot11	palabra	tu’un	205	NA
170	ocot11	sueño	mà’na	207	NA
171	ocot11	cuándo	na	208	NA
172	ocot11	música	yáá	209	NA
1005	alac11	mother	sīhí	1	NA
1006	alac11	mother!, mom!	nāná	2	NA
1007	alac11	father	yīvā	3	NA
1008	alac11	son/daughter, child	sāhya	5	NA
1009	alac11	cross-sex sibling	kīhvā	8	NA
1010	alac11	brother of man	ñānī	9	NA
1011	alac11	sister of woman	kihvi	10	NA
1012	alac11	aunt	sīsī	11	NA
1013	alac11	uncle	sītō	12	NA
1014	alac11	man	taā	11	NA
1015	alac11	woman	ñáha	12	NA
1016	alac11	owner, boss	shi-tóhó	13	from tohó ‘respect’
1017	alac11	priest	sutu	14	NA
1018	alac11	bone	yīki	16	NA
1019	alac11	hair	īsí	17	NA
1020	alac11	face	noo	18	NA
1021	alac11	mouth	yūhu	21	NA
1022	alac11	ear	sohō	22	NA
1023	alac11	hand	ndāha	25	NA
1024	alac11	back	sata	27	NA
1025	alac11	stomach	tishīn	28	NA
1026	alac11	foot	shaha	30	NA
1027	alac11	sickness	kwehe	31	NA
1028	alac11	medicine	tatan	32	NA
1029	alac11	clothes	tīkoto	37	NA
1030	alac11	town	ñōō	41	NA
1031	alac11	house	vēhē	42	NA
1032	alac11	road	yīchi	43	NA
1033	alac11	chair	tāyi	47	NA
1034	alac11	animal	kīti	48	NA
1035	alac11	bird	sāā	49	NA
1036	alac11	fish	ti-yaká	50	NA
1037	alac11	bee	tí-ñoño	57	from ñoño ‘honey’
1038	alac11	mouse	tiín	58	NA
1039	alac11	deer	yūsū	59	NA
1040	alac11	rabbit	yīsōn	64	Sp. conejo
1041	alac11	rabbit	lēsōn	64	Sp. conejo
1042	alac11	dog	īnā	66	NA
1043	alac11	cat	míshtón	67	NA
1044	alac11	rooster	ndūshú chée	68	chicken big:male
1045	alac11	chicken	ndūshú	69	NA
1046	alac11	pig	kīni	70	NA
1047	alac11	horse	kwáyí	71	Sp. caballo
1048	alac11	sheep	ndī-kāchī	72	from kāchī ‘cotton’
1049	alac11	horn (anatomy)	ndiki	74	NA
1050	alac11	tree	yīton	78	NA
1051	alac11	flower	yītā	81	NA
1052	alac11	corn	noni	85	NA
1053	alac11	cornfield	yūtū	86	NA
1054	alac11	corn dough	yūshan	89	NA
1055	alac11	tortilla	sita	90	NA
1056	alac11	bean	ndūchu	94	NA
1058	alac11	chili pepper	yāha	96	NA
1059	alac11	salt	ñii	97	NA
1060	alac11	squash	yīkin	98	NA
1061	alac11	honey	ñoño	101	NA
1062	alac11	grease	sahān	102	NA
1063	alac11	egg	ndivi	103	NA
1064	alac11	tomato	nāñā	104	don’t know what the difference is to the other one
1065	alac11	tomato	ti-nānā	104	don’t know what the difference is to the other one
1066	alac11	avocado	tichí	106	NA
1067	alac11	prickly pear cactus	ton-vihndá	108	wood-?
1068	alac11	meat	kuñō	112	NA
1069	alac11	pot	kisī	114	NA
1070	alac11	fire	n̄ōho	116	NA
1071	alac11	smoke	ñihma	119	NA
1072	alac11	trash	mihí	120	NA
1073	alac11	box	káxá	124	Sp. caja
1074	alac11	rope	yóho	127	NA
1075	alac11	moon	yoo	132	NA
1076	alac11	cloud	viko	133	NA
1077	alac11	water	tākwiī	135	NA
1078	alac11	rain, rain god	savi	136	NA
1079	alac11	river	yutā	137	NA
1080	alac11	mountain, mountain country	yūku	139	NA
1081	alac11	hill	shiki	139	NA
1082	alac11	flat place	ndōsō	140	NA
1083	alac11	rock	yuu	141	NA
1084	alac11	cotton	kāchī	142	NA
1085	alac11	metal	kaā	143	NA
1086	alac11	paper	tūtū	144	NA
1087	alac11	lime (material)	kākā	145	NA
1088	alac11	wax	ñima	146	NA
1089	alac11	mud	ndahyi	147	NA
1090	alac11	dust	yāā	149	only in nā-yāā REP-dust ‘become dry’
1091	alac11	red	kwáhá	150	NA
1092	alac11	green	kwíī	151	NA
1093	alac11	yellow	kwáán	152	NA
1094	alac11	black, dark	toōn	153	NA
1095	alac11	white	yāā	154	NA
1096	alac11	one	ñīī	155	NA
1097	alac11	two	ovi	156	NA
1098	alac11	three	uni	157	NA
1099	alac11	four	komi	158	NA
1100	alac11	five	ohon	159	NA
1101	alac11	six	iño	160	NA
1102	alac11	seven	usha	161	NA
1103	alac11	eight	ona	162	NA
1104	alac11	nine	ñii	163	NA
1105	alac11	ten	ushu	164	NA
1106	alac11	fifteen	shāhun	165	NA
1107	alac11	twenty	oko	166	NA
1108	alac11	poor	ndáhví	167	NA
1109	alac11	rich	kwíká	168	NA
1110	alac11	cold	vīshin	169	NA
1111	alac11	big.SG	káhnō	171	NA
1112	alac11	big.PL	náhnō	172	NA
1113	alac11	little.SG	lōhō	173	NA
1114	alac11	little.PL (few)	válí	174	NA
1115	alac11	little.PL (many)	kwálí	174	NA
1116	alac11	long.SG	kánī	175	NA
1117	alac11	long.PL	nánī	176	NA
1118	alac11	good	vahā	177	NA
1119	alac11	sweet	visi	178	NA
1121	alac11	new	shaá	183	NA
1122	alac11	ugly	kīnī	185	NA
1123	alac11	near	yātin	187	NA
1124	alac11	far	shíká	188	NA
1125	alac11	heavy	veē	189	NA
1126	alac11	slow	kwēē	192	NA
1127	alac11	yesterday	kōnī	193	NA
1128	alac11	year	kwiya	194	NA
1129	alac11	now, today	vītīn	195	NA
1130	alac11	night time	ñōó	197	could also be ‘night’, not sure
1131	alac11	day	kivi	198	NA
1132	alac11	day time	ndīví	199	NA
1133	alac11	half	sāvā	200	NA
1134	alac11	money	sihún	201	NA
1135	alac11	work	chíñō	202	NA
1136	alac11	word	tohōn	203	NA
1137	alac11	blame	kwachī	204	NA
1138	alac11	when	āmā	206	NA
743	ayut11	mother	sihīn	1	NA
744	ayut11	mother!, mom!	nanāa	2	sentence final form, no other one given
745	ayut11	father	yuvāh	3	NA
746	ayut11	father!, dad!	tātā	4	NA
747	ayut11	father	yuhvāh	5	NA
748	ayut11	son/daughter, child	sīhe	6	NA
749	ayut11	cross-sex sibling	kuhva	9	NA
750	ayut11	brother of man	n̄ani	10	NA
751	ayut11	aunt	shishi	12	NA
752	ayut11	uncle	shito	10	NA
753	ayut11	man	tyāa	11	NA
754	ayut11	woman	ñahāh	12	NA
755	ayut11	priest	sūtu	14	NA
756	ayut11	bone	ikīh	16	NA
757	ayut11	hair	ishīh	17	NA
758	ayut11	face	nūuh	18	NA
759	ayut11	tooth	nuhu	20	NA
760	ayut11	mouth	yuhūh	21	NA
761	ayut11	ear	soho	22	NA
762	ayut11	neck	sīkih	24	NA
763	ayut11	hand	ndahāh	25	NA
764	ayut11	back	shātah	27	NA
765	ayut11	stomach	tishin	28	NA
766	ayut11	intestine	shiti	29	NA
767	ayut11	foot	shāhan	30	NA
768	ayut11	disease, illness, sickness	kwīhe	31	NA
769	ayut11	medicine, remedy	tātanh	32	NA
770	ayut11	tortilla cloth	sahmāh	37	NA
771	ayut11	cloth	tōto	37	NA
772	ayut11	village, town	ñuu	41	NA
773	ayut11	house	vihe	42	NA
774	ayut11	path	ichīh	43	NA
775	ayut11	post	nduyu	44	NA
776	ayut11	palm mat	yivih	45	NA
777	ayut11	chair	tēi	47	NA
778	ayut11	animal	kitīh	48	NA
779	ayut11	bird	saa	49	NA
780	ayut11	fish	t-yakāh	50	NA
781	ayut11	snake	kōoh	51	NA
782	ayut11	scorpion	ti-sūhma	54	NA
783	ayut11	deer	isu	59	NA
784	ayut11	raccoon	ti-māhá	63	NA
785	ayut11	rabbit	iso	64	NA
786	ayut11	dog	nāyah	66	NA
787	ayut11	cat	mīshtūn	67	NA
788	ayut11	hen	ndushīh	69	NA
789	ayut11	pig	kīni	70	NA
790	ayut11	horse	kwēī	71	from Sp. caballo
791	ayut11	black ant	si-ndōkoh	73	NA
792	ayut11	horn (anatomy)	ndikīh	74	NA
793	ayut11	tail	sūhmah	77	NA
794	ayut11	tree	itūnh	78	NA
795	ayut11	grass	itya	80	NA
796	ayut11	root	tyoho	83	NA
797	ayut11	thorn	in̄uh	84	NA
798	ayut11	corn kernel	nūnih	85	NA
799	ayut11	cornfield, corn plant	itu	86	corn plant, but in ex. translated as cornfield
800	ayut11	fresh ear of corn	niih	87	NA
801	ayut11	corn dough, tortilla dough	ishānh	89	NA
802	ayut11	tortilla	shītah	90	NA
803	ayut11	furrow, planting row	yūkun	92	only as part of ndu-yūkun ‘will become a row’
804	ayut11	bean	nduchīh	94	NA
805	ayut11	chili pepper	yahāh	96	NA
806	ayut11	salt	īīnh	97	NA
807	ayut11	egg	ndīvih	103	NA
808	ayut11	tomato	tinanah	104	NA
809	ayut11	avocado	tichīh	106	NA
810	ayut11	banana	chītya	107	NA
811	ayut11	meat	ndeih	112	NA
812	ayut11	clay pot	kisi	114	NA
813	ayut11	fire	nūhu	116	NA
814	ayut11	garbage, trash	mihīh	120	NA
815	ayut11	gourd, gourd bowl	yashīnh	122	NA
816	ayut11	box	shātunh	124	NA
817	ayut11	rope	yohōh	127	NA
818	ayut11	soap	nāmah	130	NA
819	ayut11	moon	yōoh	132	NA
820	ayut11	cloud	vīkoh	133	NA
821	ayut11	water	tikwī	135	NA
822	ayut11	rain (precipitation)	sāvih	136	NA
823	ayut11	river	itya	137	NA
824	ayut11	mountain	ikūh	139	NA
825	ayut11	stone	yūuh	141	NA
826	ayut11	metal	kaa	143	NA
827	ayut11	paper	tutu	144	NA
828	ayut11	lime (material)	kaka	145	NA
829	ayut11	beeswax, wax	ñūhmah	146	NA
830	ayut11	mud	ndēhi	147	NA
831	ayut11	green	kwīih	151	NA
832	ayut11	yellow	kwāān	152	NA
833	ayut11	white	yaa	154	only as part of nda-sa-yaa ‘will rewhiten’
834	ayut11	one	iin	155	NA
835	ayut11	two	ūvi	156	NA
836	ayut11	three	ūni	157	NA
837	ayut11	four	kumīh	158	NA
838	ayut11	five	ūhun	159	NA
839	ayut11	six	īñu	160	NA
840	ayut11	seven	ūsha	161	NA
841	ayut11	eight	ūnya	162	NA
842	ayut11	nine	īīn	163	NA
843	ayut11	ten	ūshi	164	NA
844	ayut11	fifteen	shāhun	165	NA
845	ayut11	twenty	ōko	166	NA
846	ayut11	poor	ndāhvī	167	NA
847	ayut11	rich	vīkāh	168	NA
848	ayut11	cold	vishin	169	NA
849	ayut11	hot	ihnīh	170	NA
850	ayut11	big.SG	chīe	171	NA
851	ayut11	big.PL	nāhnūh	172	NA
852	ayut11	small.SG	lūlū	173	NA
853	ayut11	small.PL	kwālīh	174	NA
854	ayut11	small.PL	kwāchīh	174	NA
855	ayut11	long.SG	kānih	175	NA
856	ayut11	long.PL	nānih	176	NA
857	ayut11	good	vaha	177	NA
858	ayut11	sweet	vīshi	178	only as part of ku-vīshi ‘will become sweet’
859	ayut11	delicious	āsinh	181	NA
860	ayut11	wide	ndīká	182	only as part of sa-ndīká ‘will widen’
861	ayut11	new	shaāh	183	NA
862	ayut11	lazy	sūshānh	184	NA
863	ayut11	near	yatin	187	NA
864	ayut11	far	shīkāh	188	NA
865	ayut11	heavy	vīe	189	NA
866	ayut11	raw	īhīn	190	NA
867	ayut11	smooth	ndiih	191	only as part of sa-ndiih ‘will smooth’
868	ayut11	slow	kwīē	192	NA
869	ayut11	yesterday	iku	193	NA
870	ayut11	year	kwīya	194	NA
871	ayut11	now, today	vitin	195	NA
872	ayut11	night	ñuū	196	NA
873	ayut11	night time	niñu	197	NA
874	ayut11	day	kīhvih	198	NA
875	ayut11	day time	nduvīh	199	NA
876	ayut11	half, middle	sava	200	NA
877	ayut11	money	shuhūnh	201	NA
878	ayut11	work	chuun	202	NA
879	ayut11	fault, blame, sin	kwachi	204	NA
880	ayut11	when	ama	206	NA
1637	chic02	madre	nni	1	NA
1638	chic02	padre	treeha	3	NA
1639	chic02	padre	dreeha	3	NA
1640	chic02	hijo/hija	tani	5	NA
1641	chic02	hijo	tanixnagu	6	child-man
1642	chic02	hija	tanichanaha	7	child-female
1643	chic02	hermano	tînêha	9	NA
1644	chic02	hermana	chughueha	10	NA
1645	chic02	tía	tughuia	11	NA
1646	chic02	tío	tanénha	12	NA
1647	chic02	hombre	tsixnagú	13	NA
1648	chic02	mujer	tsichunaha	14	NA
1649	chic02	dueño	kuisiha	15	NA
1650	chic02	sacerdote	treeha	16	same as 3
1651	chic02	sangre	tunha	17	NA
1652	chic02	hueso	kúúhu	18	NA
1653	chic02	pelo	hûghue	19	NA
1654	chic02	cara	rriíñiaha	20	NA
1655	chic02	lengua	yuaha	21	NA
1656	chic02	diente	kuyiaàha	22	NA
1657	chic02	boca	duuaha	23	NA
1658	chic02	oreja	drakih	24	NA
1659	chic02	nariz	takén	25	NA
1660	chic02	cuello	chiiaha	26	NA
1661	chic02	mano	traha	27	NA
1662	chic02	uña	kusitenha	28	NA
1663	chic02	espalda	xitraha	29	NA
1664	chic02	panza	rrikii	30	NA
1665	chic02	tripas	chitríha	31	NA
1666	chic02	pie	chii	32	NA
1667	chic02	pie	tako	32	NA
1668	chic02	grano	nnuha	36	NA
1669	chic02	orina	nnerihii	38	NA
1670	chic02	tela	chináha	39	NA
1671	chic02	ropa	katsihi	39	NA
1672	chic02	pueblo	chuumaha	43	NA
1673	chic02	casa, edificio	ghuee	44	NA
1674	chic02	casa, edificio	tukua	44	NA
1675	chic02	camino	treha	45	NA
1676	chic02	animal	chukuha	50	NA
1677	chic02	pájaro	chataha	51	NA
1678	chic02	culebra	chukuaha	53	NA
1679	chic02	rana	chireki	54	NA
1827	chic02	rana	chirikihi	54	NA
1680	chic02	gavilán	xnuuhu	55	NA
1681	chic02	cucaracha	chiraken	57	NA
1682	chic02	chapulín	chukuahha	58	NA
1683	chic02	abeja	xutan	59	NA
1684	chic02	ratón	chuutuha	60	NA
1685	chic02	rata	chuutughui	60	NA
1686	chic02	venado	chutaha	61	NA
1687	chic02	ardilla	chuaa	62	NA
1688	chic02	zorrillo	cháán	63	NA
1689	chic02	mapache	kagu	65	NA
1690	chic02	conejo	chatooha	66	NA
1691	chic02	zopilote	chaatru	67	NA
1692	chic02	perro	chughuee	68	NA
1693	chic02	gato	chiluhu	69	NA
1694	chic02	gallo	daloho	70	NA
1695	chic02	gallina	yuchehe	71	NA
1696	chic02	marrano	chakaha	72	NA
1697	chic02	oveja	chachihi	74	NA
1698	chic02	oveja	matsihi	74	NA
1699	chic02	hormiga	chukua	75	NA
1825	chic02	hormiga	yukuaha	75	NA
1700	chic02	cuerno	kuû	76	NA
1701	chic02	pluma	tooóha	77	NA
1702	chic02	ala	degachi	78	NA
1703	chic02	cola	tuneha	79	NA
1704	chic02	árbol	truun	80	NA
1705	chic02	hierba	kohoa	81	glossed yerba
1706	chic02	pasto	trihi	82	NA
1707	chic02	flor	yaha	83	NA
1708	chic02	raíz	yaáha	85	NA
1709	chic02	espina	tanha	86	NA
1710	chic02	masa	kenha	91	NA
1711	chic02	espiga	kaa	95	NA
1712	chic02	frijol(es)	rrunehe	96	NA
1713	chic02	chilar, pimiento	kohiaáha	98	NA
1714	chic02	sal	yaauha	99	NA
1715	chic02	calabaza	kânha	100	NA
1824	chic02	calabaza	kanmaa	100	NA
1716	chic02	caña	yioho	102	NA
1717	chic02	miel	katsii	103	NA
1718	chic02	grasa	nnami	104	NA
1719	chic02	manteca	nnanúyaha	104	NA
1720	chic02	huevo	trú	105	NA
1721	chic02	jitomate	natsii	106	NA
1722	chic02	camote	mme	107	NA
1723	chic02	plátano	naatoo	109	NA
1826	chic02	plátano	trunnatoo	109	NA
1724	chic02	nopal	tinén	110	NA
1725	chic02	mamey	natorrooho	111	NA
1726	chic02	zapote negro	rrekotrun	111	NA
1727	chic02	hongo	rrâân	113	NA
1728	chic02	carne	nneé	114	NA
1729	chic02	olla	titruha	116	NA
1730	chic02	lumbre	yaghui	118	NA
1731	chic02	fuego	ñiaaha	118	NA
1732	chic02	ceniza	yaaha, yaa	119	NA
1733	chic02	carbón	rrughuíha	120	NA
1734	chic02	humo	katseha	121	NA
1735	chic02	plato	kooha	123	NA
1736	chic02	caja	trûn	126	NA
1737	chic02	hilo	ghueheha	127	NA
1738	chic02	peine	gutsihiha	128	NA
1739	chic02	hoyo	chuúhu	130	NA
1740	chic02	red	nuaha	131	NA
1741	chic02	jabón	mmistila	132	NA
1742	chic02	anillo	tsee	133	NA
1743	chic02	anillo	chunaha	133	NA
1745	chic02	nube	nga	135	NA
1746	chic02	rayo	tughuiiha	136	NA
1747	chic02	relámpago	rrânha	136	NA
1748	chic02	lluvia	kumánha	138	NA
1749	chic02	río	nekîngaha	139	NA
1750	chic02	rocío	niaáha	140	NA
1751	chic02	cerro	kihiha	141	NA
1752	chic02	llano	ta	142	NA
1753	chic02	llanura	tanikó	142	NA
1754	chic02	algodón	kaachihia	144	NA
1755	chic02	papel	nanha	146	NA
1756	chic02	cal	knáaha	147	NA
1757	chic02	cera	yianha	148	NA
1758	chic02	lodo	tsegheha	149	NA
1759	chic02	espuma	yyatan	150	NA
1760	chic02	rojo	mereeha	152	NA
1761	chic02	rojo	ghueeha	152	NA
1762	chic02	verde	meréha	153	NA
1763	chic02	amarillo	guamiaha	154	NA
1764	chic02	negro	nurrnúú	155	NA
1765	chic02	negro	trunma	155	NA
1766	chic02	blanco	kaatsiha	156	NA
1767	chic02	uno	ngo	157	NA
1768	chic02	dos	ghuiiha	158	dictionary
1769	chic02	dos	nghui	158	grammar part
1770	chic02	tres	guanénha	159	dictionary
1771	chic02	tres	guañânha	159	grammar part
1772	chic02	cuatro	kaha	160	grammar part
1773	chic02	cinco	huú	161	dictionary
1774	chic02	cinco	huhu	161	dictionary
1775	chic02	cinco	huhûha	161	grammar part
1776	chic02	seis	guatânka	162	grammar part
1777	chic02	siete	chiha	163	grammar part, dictionary
1778	chic02	ocho	tônha	164	grammar part
1779	chic02	ocho	tênha	164	dictionary
1780	chic02	nueve	hûnha	165	grammar part
1781	chic02	nueve	úú	165	dictionary
1782	chic02	diez	chia	166	grammar part
1783	chic02	diez	chiía	166	dictionary
1784	chic02	quince	chinôônha	167	grammar part
1785	chic02	quince	chinuú	167	dictionary
1786	chic02	veinte	hikoo	168	grammar part
1787	chic02	veinte	kooha	168	dictionary
1788	chic02	pobre	ganikighuaha	169	NA
1789	chic02	rico	chirughueeha	170	NA
1790	chic02	caliente	hiaân	172	NA
1791	chic02	caliente	yiaân	172	NA
1792	chic02	grande	chachiia	173	NA
1793	chic02	pequeño	kuniha	175	NA
1794	chic02	chico	nliha	175	NA
1795	chic02	largo	chihiha	177	NA
1796	chic02	largo	chehea	177	NA
1797	chic02	bueno	saa	179	NA
1798	chic02	bueno	tsaa	179	NA
1799	chic02	bueno	guatsaaha	179	NA
1800	chic02	dulce	tsi tsihi	180	NA
1801	chic02	sabroso	chiiñiaha	183	NA
1802	chic02	ancho	katraa	184	NA
1803	chic02	nuevo	tsinakaha	185	NA
1804	chic02	flojo	rrumii	186	NA
1805	chic02	feo	guakihi	187	NA
1806	chic02	celoso	chikoosi	188	NA
1807	chic02	cerca	nitrûha	189	NA
1808	chic02	cerca, cercado	trunchighuéha	189	NA
1809	chic02	lejos	gânha	190	NA
1810	chic02	liso	nughui	193	NA
1811	chic02	despacio	ninóha	194	NA
1812	chic02	ayer tarde	kukihdinên	195	NA
1813	chic02	año	yioho	196	NA
1814	chic02	noche	niihi	198	NA
1815	chic02	anoche	niihá	199	NA
1816	chic02	día	kuuía	200	NA
1817	chic02	dinero	tsaàha	203	NA
1818	chic02	trabajo	sunha	204	NA
1819	chic02	palabra	ngoánha	205	NA
1820	chic02	culpa	kakenha	206	NA
1821	chic02	sueño	nneheha	207	NA
1822	chic02	cuándo	amaaha	208	NA
1823	chic02	música	tsiañiaha	209	NA
881	coat11	mother	dɨhɨ̄	1	NA
882	coat11	mother!, mom!	ñāâ	2	NA
883	coat11	father	uvā	3	NA
884	coat11	father!, dad!	ūvâ	4	NA
885	coat11	son/daughter, child	ihshá	5	NA
886	coat11	daughter	dyōkó	7	NA
887	coat11	brother of man	ení	9	NA
888	coat11	sister of woman	tahan	10	sister in general?
889	coat11	aunt	ñāná	11	NA
890	coat11	uncle	dītó	12	NA
891	coat11	owner, boss	tōhó	13	NA
892	coat11	priest	dutu	14	NA
893	coat11	hair	idi	17	NA
894	coat11	face	núu	18	NA
895	coat11	mouth	shuhu	21	NA
896	coat11	nose	dítsīn	23	NA
897	coat11	neck	dukun	24	NA
898	coat11	hand	ndaha	25	NA
899	coat11	fingernail	tsiin	26	NA
900	coat11	back	átā	27	NA
901	coat11	foot	dɨ́hɨn	30	NA
902	coat11	disease, illness, sickness	kwíhí	31	NA
903	coat11	herb, medicine	chóhō	32	NA
904	coat11	cloth, clothes	doo	37	NA
