ID	DOCULECT	CONCEPT	FORM	IDlist	NOTES
57	ocot11	caballo	kiti	73	NA
58	ocot11	borrego, oveja	ntikachi	74	NA
59	ocot11	hormiga	choko	75	NA
60	ocot11	cuerno	ntiki	76	NA
61	ocot11	pluma	túmi	77	NA
62	ocot11	cola	nto’o	79	NA
63	ocot11	árbol	yutu	80	NA
64	ocot11	hierba	kù’ù	81	NA
65	ocot11	zacate, pasto	icha	82	NA
66	ocot11	flor	ita	83	NA
67	ocot11	maguey	yàvì	84	NA
68	ocot11	raíz	yo’o	85	NA
69	ocot11	espina	iñu	86	NA
70	ocot11	maíz	nuni	87	NA
71	ocot11	milpa	itu	88	NA
72	ocot11	elote	ntíxi	89	NA
73	ocot11	nixtamal	tsá’á	90	NA
74	ocot11	masa	yutsa	91	NA
75	ocot11	tortilla	staa	92	NA
76	ocot11	surco	yuku	94	NA
77	ocot11	espiga	yòko	95	NA
78	ocot11	frijol(es)	ntuchi	96	NA
79	ocot11	ejote	nchichi	97	NA
80	ocot11	chile	ya’a	98	NA
81	ocot11	sal	iìn	99	NA
82	ocot11	calabaza	iki	100	NA
83	ocot11	chayote	naña	101	NA
84	ocot11	caña	ntòò	102	NA
85	ocot11	miel	ntuxi	103	NA
86	ocot11	manteca	xa’an	104	NA
87	ocot11	huevo	ntívi	105	NA
88	ocot11	camote	ña’mi	107	listed as ña’mi vixi ‘camote dulce’
89	ocot11	aguacate	tichi	108	NA
90	ocot11	plátano	nchikà	109	NA
91	ocot11	nopal	mi’ncha	110	NA
92	ocot11	hongo	tsi’i	113	NA
93	ocot11	carne	kuñu	114	NA
94	ocot11	comal	tsio	115	NA
95	ocot11	olla	kìsi	116	NA
96	ocot11	horno	tsìtù	117	NA
97	ocot11	lumbre, fuego	ñu’un	118	NA
98	ocot11	ceniza	yàà	119	NA
99	ocot11	humo	ñu’ma	121	NA
100	ocot11	basura	mi’í	122	NA
101	ocot11	plato	ko’o	123	NA
102	ocot11	jícara	yatsi	124	NA
103	ocot11	tenate	nto’ó	125	NA
104	ocot11	hilo	yu’va	127	NA
105	ocot11	peine	kuika	128	NA
106	ocot11	cuerda	yo’o	129	NA
107	ocot11	hoyo	yavi	130	NA
108	ocot11	jabón	nama	132	NA
109	ocot11	anillo	xe’e	133	NA
110	ocot11	luna	yòò	134	NA
111	ocot11	nube	víkò	135	NA
112	ocot11	agua	chikui	137	NA
113	ocot11	lluvia	savi	138	NA
114	ocot11	río	yùcha	139	NA
115	ocot11	piedra	yùù	143	NA
116	ocot11	algodón	kàchi	144	NA
117	ocot11	fierro	kaa	145	NA
118	ocot11	papel	tutu	146	NA
119	ocot11	cal	kàkà	147	NA
120	ocot11	cera	ñùma	148	NA
121	ocot11	lodo	nchá’í	149	NA
122	ocot11	polvo	yaka	151	NA
123	ocot11	rojo	kua’a	152	NA
124	ocot11	verde	kui	153	NA
125	ocot11	amarillo	kuan	154	NA
126	ocot11	negro	ncha’í	155	NA
127	ocot11	blanco	yaa	156	NA
128	ocot11	uno	in	157	NA
129	ocot11	dos	uvi	158	NA
130	ocot11	tres	ùni	159	NA
131	ocot11	cuatro	kùmi	160	NA
132	ocot11	cinco	u’un	161	NA
133	ocot11	seis	ìñu	162	NA
134	ocot11	siete	utsa	163	NA
135	ocot11	ocho	ùna	164	NA
136	ocot11	nueve	ììn	165	NA
137	ocot11	diez	utsi	166	NA
138	ocot11	quince	tsa’un	167	NA
139	ocot11	veinte	oko	168	NA
140	ocot11	pobre	nta’vi	169	NA
141	ocot11	hace frío	vítsi	171	NA
142	ocot11	está caliente, caliente	i’ni	172	NA
143	ocot11	grande.SG	ka’nu	173	NA
144	ocot11	pequeño.SG, chico.SG	luu	175	NA
145	ocot11	largo.SG	kani	177	NA
146	ocot11	bueno	va’a	179	NA
147	ocot11	dulce	vixi	180	NA
148	ocot11	salado	u’a	181	NA
149	ocot11	amargo	uva	182	NA
150	ocot11	sabroso	ási	183	NA
151	ocot11	ancho	ntika	184	NA
152	ocot11	nuevo	tsaà	185	NA
153	ocot11	feo	kíni	187	NA
154	ocot11	celoso	kuiñu	188	NA
155	ocot11	cerca de, está cerca	yachi	189	NA
156	ocot11	pesado	vee	191	NA
157	ocot11	crudo	i’i	192	NA
158	ocot11	liso, resbaloso	ntii	193	NA
159	ocot11	despacio	kue kueni ~ kueni kueni	194	NA
160	ocot11	ayer	kúni	195	NA
161	ocot11	año	kuia	196	NA
162	ocot11	ahora, hoy	vichi	197	NA
163	ocot11	noche	tsikua	198	NA
164	ocot11	día	kii	200	NA
165	ocot11	de día, todo el día	ntuu	201	NA
166	ocot11	mitad	sava	202	NA
167	ocot11	dinero	xu’un	203	NA
168	ocot11	trabajo	chuun	204	NA
169	ocot11	palabra	tu’un	205	NA
170	ocot11	sueño	mà’na	207	NA
171	ocot11	cuándo	na	208	NA
172	ocot11	música	yáá	209	NA
