IDlist,CONCEPT,FORM,ID,,NOTES,DOCULECT,
92,"furrow, planting row",yūkun,803,804,only as part of ndu-yūkun ‘will become a row’,ayut11,
93,"tassel, maize spike",$,,1,,ayut11,
94,bean,nduchīh,804,805,,ayut11,
95,green bean,$,,1,,ayut11,
96,chili pepper,yahāh,805,806,,ayut11,
97,salt,īīnh,806,807,,ayut11,
98,squash,$,,1,,ayut11,
99,chayote squash,$,,1,,ayut11,
100,sugar cane,$,,1,,ayut11,
101,honey,$,,1,,ayut11,
102,"fat, lard, grease",$,,1,,ayut11,
103,egg,ndīvih,807,808,,ayut11,
104,tomato,tinanah,808,809,,ayut11,
105,edible tuber,$,,1,,ayut11,
106,avocado,tichīh,809,810,,ayut11,
107,banana,chītya,810,811,,ayut11,
108,prickly pear cactus,$,,1,,ayut11,
109,mamey,$,,1,,ayut11,
110,custard apple,$,,1,,ayut11,
111,mushroom,$,,1,,ayut11,
112,meat,ndeih,811,812,,ayut11,
113,griddle,$,,1,,ayut11,
114,clay pot,kisi,812,813,,ayut11,
115,oven,$,,1,,ayut11,
116,fire,nūhu,813,814,,ayut11,
117,ash,$,,1,,ayut11,
118,charcoal,$,,1,,ayut11,
119,smoke,$,,1,,ayut11,
120,"garbage, trash",mihīh,814,815,,ayut11,
121,plate,$,,1,,ayut11,
122,"gourd, gourd bowl",yashīnh,815,816,,ayut11,
123,basket,$,,1,,ayut11,
124,box,shātunh,816,817,,ayut11,
125,thread,$,,1,,ayut11,
126,comb,$,,1,,ayut11,
127,rope,yohōh,817,818,,ayut11,
128,hole,$,,1,,ayut11,
129,net,$,,1,,ayut11,
130,soap,nāmah,818,819,,ayut11,
131,ring,$,,1,,ayut11,
132,moon,yōoh,819,820,,ayut11,
133,cloud,vīkoh,820,821,,ayut11,
134,lightning,$,,1,,ayut11,
135,water,tikwī,821,822,,ayut11,
136,rain (precipitation),sāvih,822,823,,ayut11,
137,river,itya,823,824,,ayut11,
138,dew,$,,1,,ayut11,
139,mountain,ikūh,824,825,,ayut11,
140,"plain, flatland, lowland",$,,1,,ayut11,
141,stone,yūuh,825,826,,ayut11,
142,cotton,$,,1,,ayut11,
143,metal,kaa,826,827,,ayut11,
144,paper,tutu,827,828,,ayut11,
145,lime (material),kaka,828,829,,ayut11,
146,"beeswax, wax",ñūhmah,829,830,,ayut11,
147,mud,ndēhi,830,831,,ayut11,
148,foam,$,,1,,ayut11,
149,dust,$,,1,,ayut11,
150,red,$,,1,,ayut11,
151,green,kwīih,831,832,,ayut11,
152,yellow,kwāān,832,833,,ayut11,
153,black,$,,1,,ayut11,
154,white,yaa,833,834,only as part of nda-sa-yaa ‘will rewhiten’,ayut11,
155,one,iin,834,835,,ayut11,
156,two,ūvi,835,836,,ayut11,
157,three,ūni,836,837,,ayut11,
158,four,kumīh,837,838,,ayut11,
159,five,ūhun,838,839,,ayut11,
160,six,īñu,839,840,,ayut11,
161,seven,ūsha,840,841,,ayut11,
162,eight,ūnya,841,842,,ayut11,
163,nine,īīn,842,843,,ayut11,
164,ten,ūshi,843,844,,ayut11,
165,fifteen,shāhun,844,845,,ayut11,
166,twenty,ōko,845,846,,ayut11,
167,poor,ndāhvī,846,847,,ayut11,
168,rich,vīkāh,847,848,,ayut11,
169,cold,vishin,848,849,,ayut11,
170,hot,ihnīh,849,850,,ayut11,
171,big.SG,chīe,850,851,,ayut11,
172,big.PL,nāhnūh,851,852,,ayut11,
173,small.SG,lūlū,852,853,,ayut11,
174,small.PL,kwālīh,853,854,,ayut11,
174,small.PL,kwāchīh,854,855,,ayut11,
175,long.SG,kānih,855,856,,ayut11,
176,long.PL,nānih,856,857,,ayut11,
177,good,vaha,857,858,,ayut11,
178,sweet,vīshi,858,859,only as part of ku-vīshi ‘will become sweet’,ayut11,
179,salty,$,,1,,ayut11,
180,bitter,$,,1,,ayut11,
181,delicious,āsinh,859,860,,ayut11,
182,wide,ndīká,860,861,only as part of sa-ndīká ‘will widen’,ayut11,
183,new,shaāh,861,862,,ayut11,
184,lazy,sūshānh,862,863,,ayut11,
185,ugly,$,,1,,ayut11,
186,jealous,$,,1,,ayut11,
187,near,yatin,863,864,,ayut11,
188,far,shīkāh,864,865,,ayut11,
189,heavy,vīe,865,866,,ayut11,
190,raw,īhīn,866,867,,ayut11,
191,smooth,ndiih,867,868,only as part of sa-ndiih ‘will smooth’,ayut11,
192,slow,kwīē,868,869,,ayut11,
193,yesterday,iku,869,870,,ayut11,
194,year,kwīya,870,871,,ayut11,
195,"now, today",vitin,871,872,,ayut11,
196,night,ñuū,872,873,,ayut11,
197,night time,niñu,873,874,,ayut11,
198,day,kīhvih,874,875,,ayut11,
199,day time,nduvīh,875,876,,ayut11,
200,"half, middle",sava,876,877,,ayut11,
201,money,shuhūnh,877,878,,ayut11,
202,work,chuun,878,879,,ayut11,
203,word,$,,1,,ayut11,
204,"fault, blame, sin",kwachi,879,880,,ayut11,
205,dream,$,,1,verb is listed,ayut11,
206,when,ama,880,881,,ayut11,
207,"song, music",$,,1,,ayut11,
