Verb,VerbClass,Description
dugua'yu'?*,ví,lo ahorcamos[dugua'yuj**]
du*guco!'?,vr,lo vamos a colgarDuguco'?** sij? rian?* rugutsió?. Locolgaron en la cruz. [duguco!?**]
du*guchre'*,yr,"lo vamos a mojar,remojar, empapar [duguchre?!]"
du“gumi'?,yr,"lo vamos a Cuidar,mantener, vigilar [dugumi?*]"
du*gunun'?,ví,lo vamos a hacer correr[dugununj?]
dugunun'?,yí,lo menea Dugunun? xuhue? dune'?* xuj?. El perro meneala cola. [dugunun?]
du*guto'?,yr,lo vamos a pegarDuguto'? nacaja yanj?. Vamos apegarlo con pegol. [duguta?]
dugutsié,ví,le da de mamar
du*gutsi'?,vt,le vamos a hacercosquillas [dugutsij*]
du*guyun'9*,yr,lo vamos a limpiar(frijol o maíz)
du*guyun'**,yr,lo vamos a hervir(agua) [duguyanj**]
du*tguyu'?,ví,lo vamos a doblar[duguyu* ]
dugu'ni'?,ví,"1. hacemos fuerza2. intentamos3. nos apuramos, nos apresuramos[dugu'ni!35]"
du*gu*tno',vt,le vamos a ponernombre [dugu'naj*]
du*gúe'?,vr,lo vamos a aventar[duguej?]
dugiúe'e'?,yi,"lloramos, chillamos[dugúe'e?]"
duthui!?,yf,lo vamos a batir [duhui'?**]
dutni'?,yt,"lo vamos a bajar, descolgar[dunij?]"
dutno'?,vt,"lo vamos a dejar, abandonar[dunaj?]"
dutno'?o0',vt,lo vamos a apagarDuno*?o' yan'an*. Apagamos lalumbre [duna'aj**]
dutré'?,vr,"lo vamos a deshacer,destruir, borrar, echar a perder[duré*31]"
dutruntun'?*,y:,lo vamos a hacer quebaile Duran'anj?** nej? sij? yantanjtan. Ellos hacen que lasimágenes bailen. [duran'anj**]
du*siqui'?,vr,lo vamos a moverGuido'o'* cajia dusiqui'?. Vamos aagarrar esta viga y moverla. [dusiqui*?*]
dutsit?,yr,lo vamos a completar[dusij?] ga** chrun* ro!?
dutto'?,vr,"lo vamos a amarrar Duto*? ya!a*, Amarramos bejuco. [dutaj?]"
dutxo'?,vr,lo vamos a alimentar[duxa?3]
dutxutuit?,yr,"lo vamos a espantar,sorprender, asombrar [duxu'ui'?*]"
du'na*,vi,da comezón
gatco!?,vt,vamos a cortar (pelo)Gaco!? duto!'? Nos rasuramos. Gaco!'? ahui'? Nos cortamos el pelo. [aca?]
gatco!?*,vr,lo vamos a colar 1. gaco!**café colamos (café)2. gaco!** nne** filtramos (agua)[aca**]
gacuan!'?,vi,vamos a apurarnosGacuan'? so' ni* gun'*. Apúrate yvamos.
gatche!?,vi,"vamos a pasear, caminar,andar [ache!]"
gachin'*,yt,"lo vamos a cruzar, pasar,atravesar [achin?3]"
gachin',ví,"lo vamos a enterrar,sepultar [achin*?]"
gachin'3,ví,lo vamos a pedir [achin!]
gachi'*,vi,vamos a crecer [achij3*]
gachri'*,ví,1. vamos a untar Gachri??*gono!to?. Untamos la medicina.2. vamos a clavar Gachri'** gaqui'. Clavamos el clavo.3. vamos a regar Gachri'** nne**. Regamos con agua. [achrij?!]
gatchro!?,vt,1. lo vamos a poner2. lo vamos a llenar [achra!]
gachro!'*,vi,vamos a cantar [achra!]
gagun'*,yf,vamos a tocar uninstrumento (como el tambor)[agan'**]
gagun'*,yf,vamos a vaciar un poco (dealgo muy lleno) [agan'?*]
ga*huin'?,vi,"vamos a llegar a ser,seremos A'ngo? yo!'o ni* ga*huin*'? sil nicaj?* sun**, El año que vieneseremos las autoridades. [huuin?]"
gahui'*,yí,1. vamos a salir2. vamos a subir [ahui3*]
gaman'?,vi,va a llover
ganahui?,vi,se acabó
ganani'**,yi,"nos escapamos (de unaenfermedad o accidente, etc.)[nani**]"
ganatu'?,vi,nos caímos [matuj?]
gana'ni'?,vi,vamos a resucitar[gana?'nij*]
gane*,ys,desbarrancadero
gane'*,vi,vamos a bañarnos [ane*!]
gane'*,yr,lo vamos a mascar [ane?*]
gane'*,vr,lo vamos a vender [anej**]
ganico'*,vi,vamos a dar una vueltaGanico'* ane! din'?* man? sil uni'*ngo'. Vamos por otro lado porqueahí está nuestro enemigo. [anicaj*]
ga'ni'yun'?*,vr,lo vamos a abrazarAni'yun'?* ne'?%e. Abrazamos albebé. [ani'yan**]
ganió,ví,1. brota 'na'* gani? yajéabrota la flor2. truena ganié bete tronó el cohete
gaíni'?,vt,lo vamos a exprimir [ani?*]
gani'*,vr,lo vamos a parar Gani'*'ngo* chrun?. Vamos a parar unpalo.
gaínuco!'?**,ví,"lo vamos a arrastrar, jalar[anucuaj?+*]"
ganun'*,yr,lo vamos a tejer [ananj?]
ganun'*,yr,lo vamos a abrazar (un libroo una criatura) [anan?*]
ganun'?,yr,vamos a lavarnos la cara[anan* ] lo vamos a esperar gan!*
"gaquin'""",yt,lo vamos a llamar [aquin!]
garasun'*,yf,"lo vamos a ocupar, usar,emplear [arasun?*]"
gara'aj?,vi,hace ruido (ruido mássuave) Véase garin**
gaíratue'*,yt,vamos a detener[gara'ue'*]
garin?*,yi,hace ruido (ruido fuerteVéase gara!aj?
gati',yr,lo vamos a rascar [ati'?*)
gaíto'?,vr,"lo vamos a cargar, llevar(sobre la espalda) [ata?]"
gato'*,vt,"le vamos a decir, manifestar[taj**]"
gato'*,vi,vamos a dormir Nun? gato!?*ni. Nos desvelamos anoche. [atoj?*]
gatu!5,vi,vamos a entrar [atuj?]
gattsi?,yr,lo vamos a tentar [atsij?]
gaxi'i',vr,"lo vamos a empezar,comenzar, emprender, principiar[gaxiti*]"
gayo'*,vt,lo vamos a leer [aya?*!]
gayo'*,yr,lo vamos a agujerar [aya!*)
gayun'*,yt,lo vamos a tirar [ayanj**]
ga'taj?,vi,disminuye (un dolor) 'Na'*ga'aj* si? a'ngaj** ahuil. Me estádisminuyendo el dolor de cabeza.
ga'mi'*,vi,"vamos a hablar, platicar,conversar [a'mi**]"
ga'mun'9,yí,"lo vamos a taladrar, levamos a hacer un agujero [a'man'3*]"
ga'ne'*,yr,"lo vamos a quitar, derribar[a'nej*]"
ga'ne'5,yf,lo vamos a cortar [a'ne'*1]
ga'nga?*,vi,nace
ga'ngo'*,vt,"lo vamos a raspar, labrar[a'ngaj*]"
ga'tngo!*,vi,vamos a reímos [a'nga!?]
ga'no'*,vi,vamos a venir aquí ['na'35]
ga'nun',yi,vamos a enfermarnos[a'nan?>5]
gatue?,vi,"se puede, está conforme, sí(en respuesta)"
gatue'*,vt,1. lo vamos a permitir2. lo vamos a obedecer3. lo vamos a aceptar [atuej**]
gatui'?,yr,"le vamos a dar, ofrecer,despachar (a una tercera persona)[atuit95]"
ga'yo!*,vt,lo vamos a pelar Ga!yo!*nnij? nato*. Pelamos el plátano.[a*yoj?]
ga'yun'*,vt,1. vamos a soplarGa'yun'* yan'an*. Vamos a soplarlea la lumbre.2. vamos a tocar Ga!'yun'* chrun*a?!yanjsan. Vamos a tocar uninstrumento. [atyanj?]
go'*,vt,vamos a desgranar Go!! tan'an. Vamos a desgranar lamazorca. [oj?]
go'*,vt,vamos a moler Go!* niyajta. Vamos a moler nixtamal. [huaj?]
go!to!?,vt,"lo vamos a tomar, beber[goto**]"
go'o!*,yr,lo hilamos [huata??]
guchi'*,ví,vamos a llegar a un lugar(que no es nuestra casa) [uchi'**]
guchre?*,vi,se mojó
guchro'?,ví,"lo vamos a quebrar, rajar[uchra*?1]"
guchrun'*,vi,vamos a vomitar[uchran!]
gutdadu'?,vi,vamos a tener cuidado[gudadu?*]
guíduco'?,ví,lo vamos a colgar[duco!31]
gudu'ue'*,yr,lo vamos a vender[du'uej?]
guduhui'*,vr,1. lo vamos a batir2. lo vamos a arrugar [duhui'**]
guido'o'*,vt,"1. lo vamos a agarrar,detener, cojer2. lo vamos a recibir [data?**]"
guinaj?,vi,"sobraguitnan'ani ro'? vamos a enojarnos,tener cólera [nan'an? ruhua?*]"
guini%,yi,"se hace tarde, anocheceguiínico'? vt 1. lo vamos a seguir,perseguir Nico'? xuhue? xato?. Elperro sigue al conejo.2. vamos a pertenecer Nico!?5Xuman'ían Ngaj?. Chicahuaxtlapertenece a Putla. [nico!35]"
"guiínino'""*",vi,nos vamos a cansar[ninaj**]
guitni'9*,vi,vamos a caer [guinij?*]
guitni'i'?,yt,1. lo vamos a saber2. lo vamos a ver [niti?]
guitni'yo'**,vt,"lo vamos a mirar, ver[ni""yaj**]"
guitnityun'?,vi,lo vamos a olvidar[ni'yun?*]
guino'*,yi,vamos a quedarnos [guinaj?])
guinun'*,ví,lo vamos a lavar (ropa)[nan!]
guirio'*,vt,lo vamos a arrancar [riaj?]
guirio!',yr,lo vamos a disparar [ria'**)
guitriun'**,yt,"lo vamos a pesar, medir[riun**]"
guiriu'*,vi,vamos a chiflar [riuj?]
guiri'*,yr,"1. lo vamos a lograr, hallar,adquirir, obtener2. lo vamos a sacar [ri'**]"
gui*ritit9%,yi,"vamos a temblar, orinar[ri'ij*]"
guirityun'*,yf,lo vamos a cocer en olla[rityanj*]
guitrin'in'**,vr,vamos a ocupar a unapersona (pagándole) [rin'imj**]
guirun'*,yf,lo vamos a comprar [ranj?]
guiruntun'*,vi,vamos a bailar[ran*'anj*]
guisij?,vi,1. alcanza Guisij? 'nF. Alcanzó el maíz.2. llegar A' guisij? ora?. Ya llególa hora.
guisinun'?,vi,estamos locos [sinun!]
guisi'*,yr,lo vamos a cumplir [sij?]
guixiguin*,vi,amaneció el día
guixitu'*,yr,lo vamos a romperGuixi*tu* globo guitya! re'. Ud. rompió el globo. [utu*]
guitxitne'*5,yt,lo vamos a romperGuixi'ne'?> nne'%e guityaj? ro?. Eltoro rompió el mecate. [xi'net35]
guixi'nun'*,yi,"vamos a abundar,aumentarnos [guixi'nanj!]"
guittyo!?,vr,"1. lo vamos a hacer, lovamos a construir, lo vamos a crear,2. lo vamos a causar [!yaj?]"
guin'?,yí,huele 1. Guin'? daj* Huelebien.2. Ni'5 guin'?. Huele mal.
guími'?,y:,lo vamos a amarrar Gumi? re' xuj? daquin'? chrun? danj?. Amarre usted el animal a ese palo. [umij?]
gune'?,ví,"lo vamos a asentar, poner ensu lugar [une'*1]"
guíni'?,yt,"lo vamos a oír, entender,escuchar [uni?]"
guni'*,yi,1. vamos a reñir2. vamos a pelear (con palabras)[uni+95]
gutnuco!'?,yr,"1. lo vamos a poder2. lo vamos a aguantar3. lo vamos a vencer, lo vamos adominar [gunucuaj**]"
gutnumi'?,ví,lo vamos a amarrar[anumi?]
gunumun'?,vi,vamos a venir de regreso[numan?” ]
gunun'*,vi,"vamos a correr, huir,escapar [unanj?)"
gunun'*,y;,lo vamos a sembrar[unun?*]
gun'í,vi,"vamos, vámonos [gan'anj?*; huaj**]"
gun',yr,lo vamos a escarbar Huan! sij? yutujtu. El escarba un hoyo. [huan!]
guruhui'*,yr,"lo vamos a asar, cocer enla lumbre (sin olla)"
gurunun'!,ví,"1. lo vamos a pintar,colorear, iluminar2. lo vamos a manchar [runun?]"
gurun'*,yí,"lo vamos a pisar, aplastar[urun?]"
gurutue'*,yí,lo vamos a pagar[du'uej?]
gutin'*,vt,"1. lo vamos a despedazarGutin'* yoto!. Vamos a despedazarla tierra.2. lo vamos a gastar Gutin'""san'anjtan. Vamos a gastar dinero.3. lo vamos a masticar Gutin'*ninun'* chra?. Vamos a masticarbien la tortilla. [utim!35]"
guíto!?,vt,lo vamos a acarrear [ata?*]
guto'*,yt,"lo vamos a regar, rociar[utaj?]"
guto'*,vr,1. pelear Guta'? ngúejs si! danj?. Los dos pelearon.2. poner Guta'* sij? 'ngo* yanj*rian** mesa. Puso un papel sobre lamesa.3. apuntar Guta'* sij? si-xugúi? so!? gu'yun'* rian** yanj?. Apuntó el nombre de élen el papel. [uta?35]
guttun'?,vi,lo chupamos [utam*]
gutu',yí,lo rompemos Gutu'? yanj?. Rompemos el papel. [utu*]
gutsié,vi,mama Utsii nme'e. El nenemama.
guíxutui'?,vi,"tememos, nos espantamos[xu'ui!34]"
guxxun'*,yr,1. vamos a poner a unlado Guxxun? ane'? cajéa. Vamos aponer la viga a un lado.2. vamos a retirarnos Guxxun!! muntun'? gun'*. Vamos a retirarnos. [xxun**]
gu'naj?,vi,se llama Gu'naj' sij? Pablo. Se llama Pablo. [gu'naj*] gu'nit'* yí 1. nos atoramos U'ni***xio!?. Se me atoró.2. atascarse Gu'ni'?* carru? ruhua?? chrejie. Se atascó el carro en elcamino.
gutya*,vi,"avanza Natue? gu'ya*gun'*, No avanza el trabajo."
gu'yun'*,yi,"1. nos vamos a hallar,acostumbrarnosgúej? yan'an! 2. nos vamos a aclimatar [u'yun?*]"
gúe'*,ví,"vamos a saltar, brincar [huej?]"
hua?*,vi,hay Hua?! ga'ió. Haymuchos.
huaj?,vi,hay
huan'anj?,vi,va de costumbre
huej?,vi,1. brincar Huej? silij? danj?. El muchacho brincó.2. latir Huej? yoto'*. La arteria late.
huuin?,vi,"es, está Sil tu* huuin* sij?. El es ladrón."
jnahui',vr,"lo vamos a amontonar(maíz, cobijas, etc.) [jnahui**]"
jnanico'*,yr,lo vamos a voltear[jnanicaj*]
jna*yo'**,vt,lo vamos a rebajarJna*yo'? doj%* 'ni. Vamos a rebajar el maíz (si está muy llena la medida). [jnaya**]
man,yi,hay Man' xucu? riqui? quij*i. Hay animales en el monte.
naca?*,vt,lo cuece (cosas de alfarería)Naca?* sij? ruj?. El cuece las ollas.
naítco!?,vt,lo vamos a secar [naco*]
naco!*,vt,lo vamos a recoger [nacaj**]
naco'?,yf,vamos a chaponear [naca!**]
na*chet?*,yr,"lo vamos a revolver,mezclar, arar [nachej3*]"
natchit'?,yi,vamos a levantarnosNa*chi'? hua?** nigan'* chre?. Vamosa levantarnos temprano. [nachi?]
na*chi'?,y:,"lo vamos a desatar, soltarNatchi'? xuj?. Vamos a desatar elanimal. [nachi?]"
nachit'*,vt,lo vamos a trasplantar[nachij?]
na*chro'?,vf,lo vámos a rellenar[nachra?]
nachro'*,vr,"lo vamos a armar,componer [nachraj?]"
na*do!o!?*,ví,"lo vamos a recibir,agarrar [nada'a**]"
na*tdugo'?,vt,lo vamos a bajar despacio[nadugua'?1]
naduno!'?,ví,"1. lo vamos a cambiar,variar2. lo vamos a atravesar Naduna??"
na*duré'?,vt,lo vamos a tachar[naduré'?+]
nadu'ue'*,ví,lo vamos a revender[nadu'ue**]
na“gane'?,vi,volvemos a sentarnosNagane* yun? sij? ducua? ga'a. Otra vez fue a la cárcel. [nagane?]
naga'no'*,ví,lo vamos a espiar[naga'naj?*]
nagatui'*,yr,"lo vamos a entregar,devolver [naga'ui!?35]"
na*guchro'?,vr,lo vamos a abrirNa*guchro*? du'o!?. Abrimos laboca. [naguchra!?*]
na*gui'yo'?,yt,"1. vamos a componer,arreglar2. lo vamos a corregir, resolver[nagui'yaj*]"
na*gune?*,ví,"se va a deshacer, derretirNagune*! 'ue'*e. Se derrite el hielo."
naguni'?,vi,nos emborrachamos[naguni??]
na*gunun!'?,yr,"lo vamos a sacudir,agitar [nagunan!**]"
na*gu'nu'?,yr,lo vamos a doblarNagu'nu'?** gúió9 xana? reto*. Lamujer dobla la cobija. [nagu'nu!?*]
nagilej?,vi,se encoge Nagúej? atsijói. Se encoge la ropa.
nagúi'*,vr,lo vamos a escoger[nagui?*]
nahui'*,yt,lo vamos a escarbar (con lamano)
nami'?*,yi,engordamos [namij**]
nanatui'$,yi,vamos a rezar Nana*'uij5sij? rianó* yan'anjían. El reza alsanto. [nana'uij*]
nana'ui'?,yt,lo vamos a buscarNana'ui'9* sijé xuj?. El busca alanimal. [nana'ui'3+]
nane?,yi,se inflama [la herida]
nanico!,vi,1. vamos a regresarNanico!* chrejde. Regresamos (enmedio camino)2. vamos a voltearnos Nanicaj' re'*ngaj? nitu* re' doj*?. Volteese Ud. boca abajo. [nanicaj*]
nanij?*,vi,1. baja2. enraíza Nanij** yata* chrun?. Elpalo enraíza.
na*niquin'?,vi,nos vamos a parar (parahablar en público) [naniquin'*]
nani'?,yí,vamos a bajar Nani'* ra?! chrun?. Vamos a bajar del palo. [nanij**]
nani!,yi,"nos salvamos, nos escapamosNani'** rian** guman. Nosescapamos del aguacero [nani**]"
naéni'i'?,yt,lo vamos a reconocer[nani'i9]
nanityo!*,vt,vamos a lavar (las manos)[nanitya!35]
nani'*,yt,"vamos a contar, narrarNani'* 'ngo* gúentu?. Vamos acontar un cuento [nani?]"
nani!*,yt,lo vamos a parar Nani'*'ngo* chrun?. Vamos a parar unpalo. [nani?*]
nanuo'5,yt,"lo vamos a coser, remendar[nanuhua?]"
nantan?,vi,arde Nan'ani riquij?. Mearde el estómago.
naqui'*,yf,lo vamos a enrollar
"naquin'""",yr,lo vamos a llamar[naquin!]
na*riun'?*,yt,lo vamos a menear (elcaldo) [nariun?*]
nari'*,yt,"1. lo vamos a encontrar,hallar2. lo vamos a alcanzar [nari**]"
na*ruhui'?,yt,lo vamos a borrar[naruhui?]
na*rumit?,yr,lo vamos a hacer rodar[narumi?]
narutue'*,yf,"vamos a liquidar unacuenta, pagar una deuda [naru'ue?*]"
masi'?,vi,vamos a llegar (de abajo[nasij?]
natu?,vi,tropezamos
naxichra'?,vi,brota (la flor o laplantita de la milpa)
naxichru'*,vi,vamos a tropezar[naxichru'35]
naxiguin%,vi,reluce (el sol)
naxumun'!,vi,vamos a pararnos[(na?xuman:]
nayo!'*,vt,lo vamos a contar Nayo!*sisi? nasij? xuj?. Vamos a contar losanimales para ver si están completos. [naya**]
na!'aji*,vi,se apaga Nataj** yan'an!. Se apaga la luz.
na'mi'*,yi,vamos a hablar de nuevo(después de pelear) [na'mi?**]
na*'mun'?,yt,lo vamos a recalentarNa*'mun'? chra?. Vamos a recalentarlas tortillas. [na'man?]
na'mun'*,yf,lo vamos a enfriarNa'mun'* nne??. Vamos a enfriar elagua. [na'man?*!]
na'ne'*,vt,"1. lo vamos a desarmar2. lo vamos a desenredar, desatar[na'man*+*]"
na*'ngo**,yt,lo vamos a exigirNa'ngo'** rian** sij?. Exigimos quetrabaje.
na'ngo!*,vf,vamos a sacar punta[na*'ngaj*]
na'nij*,vr,"lo guardamos, lo conservamos"
na'ni'*,vt,1. lo vamos a abrir2. lo vamos a destapar [na?*'nij*]
na'ni'%,yt,"vamos a lavar 1. (trastes)Na'ni'* goto?. Vamos a lavar losplatos.2. (la boca) Na'ni' duto'?, Vamosa lavar la boca. [natni'95]"
na'ni',ví,lo vamos a reponer Na'ni'*san'anjan. Vamos a reponer eldinero. [na'ni!]
na'no'*,vi,vamos a venir (a nuestracasa) [na'tna'?!*)
nalue'*,yr,lo vamos a oponer[na'uej3*]
na*'ui'?,vr,lo vamos a limpiar (con untrapo) [natui*]
ngaj*,vi,está acostado (una sola cosa opersona)
ngo'?,vi,nos acostamos [ngaj*]
nico'*,vi,vamos a tener Nico!'* huuij*ro?. Vamos a tener dos toros. [nicaj3*]
nico!*,vt,lo vamos a llevar Nico!'*'ngo* stane* gun'* ra'ue? gudu'ue'!. Vamos a llevar un chivo a la plazapara venderlo. [nicaj?**]
nico'?*,vi,1. pertenecer Nico!'* Ngaj?. Pertenecemos a Putla. 2. colgar Nico'? yo? xata!*a. Eltenate está colgado del techo. [nico'?5]
ni*chre'?,yí,lo vamos a aflojarNichre'? gaqui'. Aflojamos el clavo. [nichre?*]
nigui'i'*,vi,nos vamos a acordar Nun?
nino'?*,yi,estamos cansados [ninaj3*]
nittin'?,vt,"lo vamos a tostar, asar[nitim?]"
ni'i'?,vt,"lo sabemos, lo conocemos[niti3]"
nityanj?,vi,se entumece Nahuin'
ni'yo'*,vt,lo miramos [nityaj**]
nityun'**,yi,1. servimos Nitaj* si?
no!o'*,vi,"tenemos pena, vergúenza[na'aj*]"
nuhuit,yí,se mueve Nun? gahui'*5sij? din'?* ni'* nuhui'? sij?. No hamuerto porque se mueve todavía.
numi'?,yi,entumido Numi'? daco!*?. El pie está entumido. [numi'**]
numun'?,yi,regresamos (de ir a unlugar) [numan?*]
nunun'*,yf,lo resembramos [nunun?!]
nun'*,vi,"vamos a regresar (a nuestropueblo) [nan'*""]"
nuqui'?,vi,regresamos a nuestra casa[nuqui*?1]
nuto!'3,yr,lo vamos a reponer [nuta!*]
mne'?,vi,"1. estamos sentados, presentes2. vivimos [nne*]"
raco!*?,yt,lo vamos a desplumar[racoj?]
ranga!'!,vi,se ve Hua** ni'nij? rian?**hue*e ni? ranga'? ruhua?? hue'*e. La puerta está abierta y se ve adentrode la casa.
rafra!o'?,vi,"nos casamos, celebramos laboda, nos unimos en matrimonio[rara'a?]"
raruo!'?,vi,almorzamos [ruhua?*]
riaj?,vi,limpia (espiritual) Riaj? si! gono'o? tngo* xuche* sil a'nan'*an. Está limpiando al enfermo con unagallina. (el curandero)
rini'?,vt,lo espantamos 'Ngo* rutsi?
rini'?,vi,gemimos [rinij?]
rio'?,vt,lo tallamos (limpiando) [riaj?]
riqui?,yt,le da (a la persona con quiense habla)
"ri'""*",yr,1. lo conseguimos2. lo pescamos [ri**]
ri'yun'*,yr,la vamos a envolver (ropa)[rityanj?]
ro!'?,vt,lo queremos [ruhua?3]
rugúi'3*,yi,"se ve, es visible Rugúi'?*nityo!?* ane!. Es transparente."
ruhua?,vt,lo queremos Ruhuaj? 'ngo*nato*. Quiero un plátano.
run'?,yr,1. lo regañamos2. lo ofendemos [ran'31]
run'tun'**,y;,"bailamos, danzamos[ran'anj**]"
stunió,vi,se persigna
to!,vi,estamos encima [taj*]
uchrun'*,vi,huele Uchrun'* daqui*ruj?. Huele el fondo de la olla.
umi'?,yt,"lo amarramos (leña, cajas,etc.) [umij?]"
unanj?,vi,corre
unyan?,vi,hierve Dugunyanj! sini*re'* nne** nga* guisij? ni* gatuit*re! goto* ne'%e. Hierva primero elagua y después désela al niño.
xaco'*,vt,1. vamos a traerxaco!'5 nico!*2. lo vamos a comprar Gan'anj*xacaj* re! doj9* 'nil ni? ga'tna'*re'. Vaya a traer un poco de maíz.[xacaj**]
xahui'*,yf,lo lamemos [xahui?!])
xahui'*,ví,lo escarbamos (encima de latierra) [xahui**]
xamun',vr,lo vamos a tragar[xamanj?*]
xango',vi,1. somos cumplidos2. somos sinceros [xanga'*]
xataj?,vt,pica Xataj? xuj* yunj!. Elanimal me picó.
xayun?3,vi,se tapa Xayun*” tu! xio!?. Se tapó la garganta.
xatnió,yt,"1. difundir Xa'ni giendu? ni' gachra'. Difundimos la noticiaa todas partes.2. sembrar Xa'ni' can?*,semillas (como trigo)."
xichra'?,yi,"1. nace, germinaXichra!* nna*. Nace la milpa.2. se quiebra Xichra'* ruj?. Sequebró la olla."
xinga'?,vi,se oye
xi'nanj?*,vi,abunda Xi'nanj?** xuj?. Los animales abundan.
xi'ne'*,vi,se reventó
"xi'ni""*",vi,se reventó Xi'ni'?* nne'*e. Se reventó el mecate.
xo'*,vt,1. lo comemos Xa?” sij? chra?. El come tortillas.2. lo machuca Xa?* carru? sij?. Lomachucó un carro. [xa?3] xucua' gaj*
xutui'?,yi,"tenemos miedo, susto, nos espantamos [xu'ui!*1]"
tn?,vi,"cuesta, vale"
tnij,vi,está 'Nij9* si? ruhua?
tno!',vi,llegamos yan?! tno' guquí. lugar al que llegamos ayer (y nosabemos cómo se llama) [tna'*]
ani?_ro!?,vi,1. pensamos2. sospechamos
ga*huin*?_chrun'*,vi,vamos a aprenderVéase sil 'na'?* ga*huin? chrun*[huuin? chrun!*]
nga?_conj,"y,","e, con"
"guini%_yi_se_hace_tarde,_anocheceguiínico'?",vt,"1. lo vamos a seguir,perseguir Nico'? xuhue? xato?. Elperro sigue al conejo.2. vamos a pertenecer Nico!?5Xuman'ían Ngaj?. Chicahuaxtlapertenece a Putla. [nico!35]"
gu'naj?_vi_se_llama_Gu'naj'_sij?_Pablo._Se_llama_Pablo._[gu'naj*]_gu'nit'*,yí,1. nos atoramos U'ni***xio!?. Se me atoró.2. atascarse Gu'ni'?* carru? ruhua?? chrejie. Se atascó el carro en elcamino.
nica?_1._adj_derecho_Hua?!_nica!_cajéa._La_viga_está_derecha._2.,vt,enderezar Na*gui'yaj? nico'!*chrun?. Vamos a enderezar el palo.
