LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V028_kua'a,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ɕ_5 ⇌ kʷ_3 / _[a-e-i]_[g-k-p-t-ð-ʔ-kʷ][a-e-i-m-n-o-r-w-ã-õ-ĩ-ɲ-ẽ][-cons +son]3?,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3]
V029_kivi,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ɕ_5ʔ_1 ⇌ k_3β_3 / _i_i_,i1ɕ_1ʔ_1 ⇌ k_3β_3 / _i_i_
V030_ko'o,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ɕi5_i ⇌ ko3_o / _ʔ_3,i1ɕi_i ⇌ ko_o / _3ʔ_3
V031_chi'i,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V032_ntachi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V033_sakusivi,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_, ⇌  / X*[+syll][1-3-5],i1_3_3 ⇌ _5_5 / _sa5ko3si_βi_
V034_ka'mi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ɕ_5 ⇌ k_3 / _[a-e-o]_[-syll -strid -lat -long][a-e-i-m-n-o-r-w-ã-õ-ĩ-ɲ-ẽ][-cons +son][3-5]?,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5]
V035_nte'e,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V036_kuiin,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ɕ_5 ⇌ ko3_3 / _ĩ_ĩ3,i1ɕ ⇌ ko3 / _ĩ3ĩ3
V037_sakana, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V038_chiti,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V039_kaita'an,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V040_ntikani,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V041_ki'vi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V042_kukuachiini,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V043_sa'a, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V044_kuntxaa,_5_5 ⇌ i1ɕi1_3_3 / _[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i]_[-cg -lat -nas -long]+_,_5_5 ⇌ ko3_3_3 / _[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i]_[-cg -lat -nas -long]+_,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V045_ka'ni,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,ɕ_5_5 ⇌ k_3_3 / _[a-e]_[-strid -lat -long]+_,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5]
V046_kuniñu'u,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ɕi ⇌ ko / _[+son -syll]*[-cons +son][-syll][e-i-o-w-ã-õ-ĩ-ɲ-ẽ][-cons +son]+[1-3-5-ʔ][e-i-o-õ-ĩ-ẽ][1-3-5],i1ɕi1 ⇌ ko5 / _ni5ɲo5ʔo5
V047_kua'nu,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ɕ_5 ⇌ kʷ_3 / _[a-e-i]_[g-k-p-t-ð-ʔ-kʷ][a-e-i-m-n-o-r-w-ã-õ-ĩ-ɲ-ẽ][-cons +son]3?,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3]
V048_kunii,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V049_koan, ⇌ i1 / _X*,i_βi ⇌ o_ã / k_3_3,i1_i_βi ⇌ _o_ã / _k_3_3
V050_ichi,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V051_tu'un,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V052_kasini,_ĩ_ ⇌ i1_i_ni1 / _si5s_3_,_5sĩ3 ⇌ ka5_3ni1 / _si_,i1si ⇌ ka / _5si3ni1
V053_suva'a, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V054_ntikoo,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V055_kuni,ɕ_3to3ⁿd͡ʑe3ʔe ⇌ _1ɕi1ni / _i_3,ɕi3t_ⁿd͡ʑe3ʔe ⇌ k_ni / _o3_3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V056_kashi,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ʃ_5 ⇌ k_1 / _a_ʃi1,i1ʃ ⇌ k / _a1ʃi1
V057_tashi,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V058_sakuchi, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V059_kuchi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ʃi5 ⇌ ko3 / _t͡ʃi3,i1ʃi ⇌ ko / _3t͡ʃi3
V060_kunani, ⇌ i1ɕi1 / _na3ni5, ⇌ ko3 / _k?[-cg -strid -lat -long][-cons +son]+[-syll]?[a-e-i-ã-ĩ-ẽ]5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V061_saka,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,5_5 ⇌ 3_3 / [+cons -son -syll -cg -lat -long][a-e-i-ã-ĩ-ẽ]_X+_,i1 ⇌  / _X*[+syll][1-3-5]
V062_chikaa,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V063_kutxiya'a,_3 ⇌ i1ɕi1_1 / _ko_t͡ɕi5ʒa5ʔa5, ⇌  / X*[+syll][1-3-5],i1ɕi1_1 ⇌ _3 / _ko_t͡ɕi5ʒa5ʔa5
V064_tava,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,5_5 ⇌ 3_3 / [+cons -son -syll -cg -lat -long][a-e-i-ã-ĩ-ẽ]_X+_,i1 ⇌  / _X*[+syll][1-3-5]
V065_ntikatxa,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V066_koxoo,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V067_taan,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V068_ntova,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V069_kuñu'un,_5 ⇌ i1ɕi1_3 / _[+cons -syll -cg -strid -lat -long][a-e-i-o]_[-lat][-cons +son][3-5]?,_5 ⇌ ko3_3 / _[+cons -syll -cg -strid -lat -long][a-e-o]_[-strid -lat -del.rel -long]X[-cons +son]?3?,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V070_yakua,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V071_nuna,_5_5 ⇌ i1_1_1 / _[+cons -syll -cg -strid -lat -long][a-e-o]_[g-m-n-r-w-ð-ɲ-ɾ-ʔ-ⁿd][g-m-n-r-w-ð-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd]?[a-e-i]_,5_5 ⇌ 1_1 / [+cons -syll -cg -strid -lat -long][a-e-o]_[g-m-n-r-w-ð-ɲ-ɾ-ʔ-ⁿd][g-m-n-r-w-ð-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd]?[a-e-i]_,i1 ⇌  / _X*[+syll][1-3-5]
V072_kuna,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ɕ_5 ⇌ k_3 / _[a-e-o]_[-syll -strid -lat -long][a-e-i-m-n-o-r-w-ã-õ-ĩ-ɲ-ẽ][-cons +son][3-5]?,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5]
V073_kixa'a,_3 ⇌ i1_1 / _[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-o]_[-cg -strid -lat -long][-cons +son]X*[-cons +son]*,3 ⇌ 5 / k?[a-e-i-o-w-ɕ][-cons +son][-syll][a-e-o]_[-cons]*,i1_1_3 ⇌ _3_5 / _ki_ɕa_ʔa5
V074_ntantoso,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V075_kuntxi'i,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V076_kotontoso,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ɕi5 ⇌ ko3 / _X*[e-i-o][3-5],i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V077_kumani,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V078_kotoo,_3 ⇌ i1_5 / _k?[a-e-i-o-w-ɕ][-cons +son][-syll][a-e-o]_[-cons +son]*,3 ⇌ 5 / k?[a-e-i-o-w-ɕ][-cons +son][-syll][a-e-o]_[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V079_kasun,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,5_5 ⇌ 3_3 / [+cons -son -syll -cg -lat -long][a-e-i-ã-ĩ-ẽ]_X+_,i1 ⇌  / _X*[+syll][1-3-5]
V080_sakasun, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V081_kutxaki,_5_5 ⇌ i1ɕi1_3_3 / _[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i]_[-cg -lat -nas -long]+_,_5_5 ⇌ ko3_3_3 / _[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i]_[-cg -lat -nas -long]+_,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V082_koo,ĩ5ĩ ⇌ i1ɕo1o / _3,ĩ5ĩ ⇌ ko3o / _3,i1ɕ_1 ⇌ k_3 / _o_o3
V083_txe'i,_5_5 ⇌ i1_1_1 / _[+cons -syll -cg -strid -lat -long][a-e-o]_[g-m-n-r-w-ð-ɲ-ɾ-ʔ-ⁿd][g-m-n-r-w-ð-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd]?[a-e-i]_,5_5 ⇌ 1_1 / [+cons -syll -cg -strid -lat -long][a-e-o]_[g-m-n-r-w-ð-ɲ-ɾ-ʔ-ⁿd][g-m-n-r-w-ð-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd]?[a-e-i]_,i1 ⇌  / _X*[+syll][1-3-5]
V084_kagua,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V085_ntataka,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V086_santuvi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*, ⇌  / X*[+syll][1-3-5],i1_3 ⇌ _5 / _sa_ⁿdo3βi3
V087_kuchuun, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V088_ntiki,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V089_saka'a,_3 ⇌ i1_1 / _[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-o]_[-cg -strid -lat -long][-cons +son]X*[-cons +son]*,3 ⇌ 1 / X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-o]_[-cg -strid -lat -long][-cons +son]X*[-cons +son]*,i1 ⇌  / _X*[+syll][1-3-5]
V090_ntika'nu,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V091_kachi,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,5_5 ⇌ 3_3 / [+cons -son -syll -cg -lat -long][a-e-i-ã-ĩ-ẽ]_X+_,i1 ⇌  / _X*[+syll][1-3-5]
V092_ntachinuu,_5_5 ⇌ i1_3_3 / _[t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ][a-e-i]_[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][e-i-o]X+[-syll][a-e-i-o]_,5_5 ⇌ 3_3 / [+cons -son -syll -cg -lat -long][a-e-i-ã-ĩ-ẽ]_X+_,i1 ⇌  / _X*[+syll][1-3-5]
V093_santoko, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V094_kotuntxe'e,_5 ⇌ i1ɕi1to3_3 / _ⁿd͡ʑe_ʔe5,_5 ⇌ ko3to3_3 / _ⁿd͡ʑe_ʔe5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V095_ntiyaa,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V096_txitxiin,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V097_txiin,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V098_kunti'i,_5 ⇌ i1ɕ_1 / _i_ⁿdi3ʔi1,i5 ⇌ ko3 / _[t-ⁿd][a-e-i]3[g-k-p-t-ð-ʔ-kʷ][a-e-i][1-3],i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V099_nu'un, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V100_ntake'e,_5_5 ⇌ i1_3_3 / _[t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ][a-e-i]_[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][e-i-o]X+[-syll][a-e-i-o]_,5_5 ⇌ 3_3 / [+cons -son -syll -cg -lat -long][a-e-i-ã-ĩ-ẽ]_X+_,i1 ⇌  / _X*[+syll][1-3-5]
