Index,Verb.IMPF,VerbClass,Spanish,Example,Verb.IRR,Verb.PFV
10,cáan yo,vi,acostumbramos,Caan xaan yu tsatsí yu yaha. Estoy muy acostumbrado a comer chiles.,cuá cáán yo,cáán yo
11,caán yo,vt,"calamos, hacemos agujeros","Caán yo yutun ticoho pila. Estamos calando madera, para hacer moldes para piloncillo.",cuá caán yo,caán yo
12,caca iñi yo [futuro de tsicá iñi yo] pensaremos cacú yo (cácú yó),vi,nacemos,Icu cacu ¡in indiqui luhlu. Ayer nació un becerro.,cuá cacu yo,cáacú yo
13,cácu yo,vi,estamos salvados,"Cacu ndivi jana yu tsitsi cuhu, tyin nduve maa cuehe ican. Mis pollos están a salvo en el monte, por allá no hay enfermedad.",cua cacú yo,cácú yo
14,cahán yo [pretérito de caahán yo] hablamos cahán nuu yo (cáhán nuú yó),vi,NA,NA,tenemos vergienza Cahán kaan nuu yu tyin peehe xaan yu. Tengo mucha vergúenza,"porque estoy muy flaca. Icuà ndùcàhàn nùù yò, ndùcàhàn nùù yòl"
15,jacahnú yo,vt,NA,NA,NA,adoramos
16,cáhví yó,vt,1. contamos,"Nacahvi pan ican, ¿nacaa cuú can? Cuenta los panes, ¿cuántos son? 2. leemos, estudiamos Cuiya ihya ña, cahvi yu tan cua quita yu sexto  año. Nada más estudio este año y salgo de sexto año.",cuá cahvi yo,cáhvi yo
17,cáhyi yó,vt,NA,"pintamos, teñimos ¿Nacuenda cahyí un nuu un? ¿Por qué te pintas la cara?",cua cahyi yo,cáahyi yo
18,cáhyi tsi,vi,"se pinta, se tiñe","Cua cahyi yuhva yu, tyin cua quee tuhun tsehe yu. Se va a teñir mi hilo porque se va a hacer mi enagua.",cua cahyi tsi,cahyi tsi
19,cánáá yó,vt,levantamos,"Canaa yo yutun can tyin ndihi cuii tun tyií tan cua tyahyu tun. Levantamos ese palo, porque se mojó todo y se va a pudrir.",cuá canaa yo,canaa yo
20,cáná tsí,vi,1. se sale,Quini jana yu jucun ti caná xaan cuiñu. A mi marrano le sale una hinchazón en el cuello. 2. brota Cuaha xaan ti ita caná tsa cuví tyembu primavera. En primavera brotan muchas matas de flores.,cuá cana tsi,cana tsi
21,cáná yó,vt,llamamos,"Cana tsi ra cuatyi tyin catsi ra naha ixta. Llame a los muchachos, para que coman.",cuá cana yo,cana yo
22,"cánácává yó, nácává yó",vi,nos caemos (de arriba),Sucun xaan canacava ra tsahnu jiñi vehe. El señor se cayó de una azotea muy alta.,cuá canacava yo,canacava yo
23,cáná íñi y0,vt,nos atrevemos,"Na caná iñi ti catsi ti tyin ihñi tsi. No se atreve a comerlo, porque está caliente.",cuá cana iñi yó,cana iñi yo
24,cáná tsáá yo,vi,gritamos,"Tsa tsiñí iin rayii caná tsaa ra. Cuando un hombre está borracho, grita.",cuá cana tsaa yo,cana tsaa yo
25,candá yo,vi,nos movemos,"Candá xaan yo tu vatsí tsa taan ñihi xaan. Si viene un temblor fuerte, nos movemos mucho.",cua candá yó,canda yo
26,cányíi yo,ve,NA,NA,1. estamos acostados Tsa quixí yu tsacuaa,"canyii yu. Cuando duermo de noche, estoy acostado. 2. canyii tsi está tirado lin coo tsihi canyii yuhu ityi. Una víbora muerta está tirada a la orilla del camino."
27,cáñí yo,vt,"1. pegamos, golpeamos",Cañi yo quini tyin tsahá xaan ti tisihi. Les pegamos a los marranos porque nos molestan mucho. 2. tiramos Cañi ra yuu tsi ina. Le tiró una piedra al perro. 3. tocamos (instrumentos como la guitarra) Vaha xaan cañí ra ican guitarra. Ese hombre toca muy bien la guitarra.,cuá cañi yo,cañi yo
28,nañí tsi,vi,NA,NA,se golpea,"se pega, atropella (sin intento)"
29,cáñíhí yó,vt,levantamos,Ña cuví cañihi yu tsehe; tsa vee xaan tsi. No puedo levantar esto; está muy pesado.,cuá cañihi yo,cañihi yo Sinón canaá yo
30,cáñí jihñi yo,vt,"botamos, aventamos",Cañi jihñi yu tujuhma can nu ñubu. Aventé al alacrán en el fuego.,cuá cañi jihñi yo,cáñi jihñi yo
31,cáñí ndáhá yó,vt,NA,tocamos (la puerta) ¿A ñavi yooho quitsi cañi ndaha yuvehe yu cuñi? ¿No fuiste tú quien vino anoche a tocar a la puerta?,cuá cañi ndaha yo,cañi ndaha yo
32,cáñí táhán yó,vt,peleamos,"Cua cañi tahan yo tsihin ra nyacú can tyin tsahá xaan ra naha tisihi. Vamos a pelear con aquellos que están allí, porque nos molestan.",cuá cañi tahan yo,cañi tahan yo
33,"catsáhá yó,  catyi  quítsáahá yó 1. v",aux,empezamos,Catsaha yo tatsi yo ti ita nyihi. Empezamos a sembrar matitas de flores.  2. vi empezamos ¿Naa cuhva cua  catsaha yaa? ¿A qué hora va a empezar el baile?,cuá cátsaha yó,catsaha yó
33,"catsáhá yó,  catyi  quítsáahá yó 1. v aux empezamos Catsaha yo tatsi yo ti ita nyihi. Empezamos a sembrar matitas de flores.  2.",vi,NA,empezamos ¿Naa cuhva cua  catsaha yaa? ¿A qué hora va a empezar el baile?,cuá cátsaha yó,catsaha yó
34,catsiyó yó,vi,"nos quitamos, nos hacemos a un lado",Catsiyo tsi un tyin yaha cuayu. Quítate para que pase el caballo.,cuatsiyo yo,cuá catsiyo yo; catsiyo yo
35,jatsiyó yo,vt,NA,NA,NA,quitamos
36,catyí yo,vt,"decimos, declaramos",Catyí ra maestru tyin cuhun un catsi un ixta. Dice el maestro que vayas a comer.,cuá catyi yo,catyi yo
37,nacatyí yo,vt,NA,NA,NA,relatamos catyi (catyi) s el algodón Ni ñaha ñuu ihya tsityiñú xaan ñi catyi tsa jaquee ñi jahma ndaha. Las mujeres de este pueblo usan mucho algodón para hacer servilletas.
38,catyíhí yó,vt,atropellamos,"Jaxiin tsi un, coto catyihi carru tsi un. Hazte a un lado, no sea que te atropelle un carro.",cuá cátyihi yo,catyihi yo
39,catyín tsi,vi,1. zumba,"Nihi xaan catyín carru vatsí ican. Ese carro que viene allí zumba muy fuerte. 2. arranca (el carro) Cuaha xaan tsa ica ndi tsihin carru ihya, ta ña catyin maa can. Le hemos hecho muchas cosas a este carro, pero no arranca. 3. late (corazón) Tatu tsinu xaan yo quita tyeen yo tan catyin ñihi xaan añima yo. Si corremos mucho, sudamos y late el corazón muy fuerte.",cuá catyin tsi,catyin tsi)
40,cavá yo 1.,vt,"torcemos, giramos","Cava ra yuhva nu tsinú ticatyi tsihin máquina. El torcía hilo en la fábrica donde hacen cobijas con máquinas. 2. vt molemos (la caña) Tsitsi cuhu cavá ra ndoo; tsiñí yo tsacú catya. El está moliendo caña en el monte; oímos el ruido del trapiche. 3. cavá tsi vi se tuerce, se gira lin tsaha cañi xaan tsica yu tan ña tsito yu caca yu tacan, cava xaan nu tsaha yu jaha tatu. Una vez caminé hasta muy lejos y como no estaba acostumbrado a andar tanto se me torcían mucho los pies por el cansancio. 4. vi se muele Javahá ñi pila tsitsi cuhu nu cavá ndoo. Están haciendo piloncillo en el monte, donde se muele la caña.",cuá cavá yo,cavá yo
40,"cavá yo 1. vt torcemos, giramos Cava ra yuhva nu tsinú ticatyi tsihin máquina. El torcía hilo en la fábrica donde hacen cobijas con máquinas. 2.",vt,molemos (la caña),"Tsitsi cuhu cavá ra ndoo; tsiñí yo tsacú catya. El está moliendo caña en el monte; oímos el ruido del trapiche. 3. cavá tsi vi se tuerce, se gira lin tsaha cañi xaan tsica yu tan ña tsito yu caca yu tacan, cava xaan nu tsaha yu jaha tatu. Una vez caminé hasta muy lejos y como no estaba acostumbrado a andar tanto se me torcían mucho los pies por el cansancio. 4. vi se muele Javahá ñi pila tsitsi cuhu nu cavá ndoo. Están haciendo piloncillo en el monte, donde se muele la caña.",cuá cavá yo,cavá yo
40,"cavá yo 1. vt torcemos, giramos Cava ra yuhva nu tsinú ticatyi tsihin máquina. El torcía hilo en la fábrica donde hacen cobijas con máquinas. 2. vt molemos (la caña) Tsitsi cuhu cavá ra ndoo; tsiñí yo tsacú catya. El está moliendo caña en el monte; oímos el ruido del trapiche. 3. cavá tsi",vi,"se tuerce, se gira lin tsaha cañi xaan tsica yu tan ña tsito yu caca yu tacan, cava xaan nu tsaha yu jaha tatu.","Una vez caminé hasta muy lejos y como no estaba acostumbrado a andar tanto se me torcían mucho los pies por el cansancio. 4. vi se muele Javahá ñi pila tsitsi cuhu nu cavá ndoo. Están haciendo piloncillo en el monte, donde se muele la caña.",cuá cavá yo,cavá yo
40,"cavá yo 1. vt torcemos, giramos Cava ra yuhva nu tsinú ticatyi tsihin máquina. El torcía hilo en la fábrica donde hacen cobijas con máquinas. 2. vt molemos (la caña) Tsitsi cuhu cavá ra ndoo; tsiñí yo tsacú catya. El está moliendo caña en el monte; oímos el ruido del trapiche. 3. cavá tsi vi se tuerce, se gira lin tsaha cañi xaan tsica yu tan ña tsito yu caca yu tacan, cava xaan nu tsaha yu jaha tatu. Una vez caminé hasta muy lejos y como no estaba acostumbrado a andar tanto se me torcían mucho los pies por el cansancio. 4.",vi,se muele,"Javahá ñi pila tsitsi cuhu nu cavá ndoo. Están haciendo piloncillo en el monte, donde se muele la caña.",cuá cavá yo,cavá yo
41,cayú yo,vi,nos quemamos,Cayú tsahan. La basura se está quemando.,cuá cayú yo,cayú yo
42,cayúcú yó,ve,NA,NA,estamos acostados (juntos en un lugar) Jataca tyehe ndivi cayucu ican,"tan cujavita un. Recoge esos cascarones de huevo que están ahí, y tíralos."
43,cócón yó,vt,tragamos,"Cocón yo numeri tu cuuhví yo. Si estamos enfermos, tomamos medicina. (lit: tragamos)",cuá cócon yó,cócon yó
44,cóyó yó,vt,"vaciamos, vertemos, derramamos","Cuñí yu coyo yu ndutya ñuhú tsitsi caa luhlu inga caa cahnu ihya. Quiero vaciar el agua que está en la cubeta chica, en esta cubeta grande.",cua coyo yo,coyo yo
45,cuá part Indica el tiempo futuro. Ityaan cua cuhun yo Noco. Mañana vamos a Pinotepa Nacional. Véase Gram 4.1. cuaá yo (cuáá yó),vi,estamos ciegos,"Ihya iyó intuhun ñahnu tsa cuaá, ña nditsin nyehé ña. Aquí hay una señora que está ciega, no puede ver.",cuá cuáa yo,cuáa yo
46,cuahán yo 1.,vi,vamos,"Yuhu cuhun yu, soco ra can ña cua cuhun ra. Yo voy a ir, pero él no va a ir. 2. v aux vamos Cuahán ra cua jatyiñu ra. Fue a trabajar. 3. cuahán v aux continúa, sigue Cuahán cutuhvá ra cata ra. Sigue aprendiendo a cantar.",cuá cúhún yo,"tsáahán yo; la persona imperativa: cóhón yo; habitual: tsaahán yo; imperativos: cuaahán, cuátyi"
46,"cuahán yo 1. vi vamos Yuhu cuhun yu, soco ra can ña cua cuhun ra. Yo voy a ir, pero él no va a ir. 2. v",aux,vamos,"Cuahán ra cua jatyiñu ra. Fue a trabajar. 3. cuahán v aux continúa, sigue Cuahán cutuhvá ra cata ra. Sigue aprendiendo a cantar.",cuá cúhún yo,"tsáahán yo; la persona imperativa: cóhón yo; habitual: tsaahán yo; imperativos: cuaahán, cuátyi"
46,"cuahán yo 1. vi vamos Yuhu cuhun yu, soco ra can ña cua cuhun ra. Yo voy a ir, pero él no va a ir. 2. v aux vamos Cuahán ra cua jatyiñu ra. Fue a trabajar. 3. cuahán v",aux,"continúa, sigue",Cuahán cutuhvá ra cata ra. Sigue aprendiendo a cantar.,cuá cúhún yo,"tsáahán yo; la persona imperativa: cóhón yo; habitual: tsaahán yo; imperativos: cuaahán, cuátyi"
47,cuanáá yo,ve,NA,NA,NA,estamos perdidos Ihya quitsi yu tsaha cuanaa xuhun yu. Vine aquí y entonces se me perdió mi dinero. (Lit: mi dinero está perdido)
48,cuanúhú yó,vi,"regresamos, vamos otra vez",Tsa cuanuhú yu yuvehe yu. Ya voy de regreso a la casa.,cuá cúnuhu yo,tsinuhu yo
49,"cuanda conj hasta que, hasta Cua jatyinyee yu tsi un nu cuahán ca yo ityi nuu ca cuanda cuahnu sehe un. Te voy a ayudar de aquí en adelante hasta que crezcan tus hijos. Sinón ndacua cuañi yo (cuañi yo) [futuro de tsañí yo] 1. pisaremos 2. bailaremos cuañu (cuañu) s la ardilla cuatu yo (cuatu yo) [futuro de ndatú yo] esperaremos cuatsiyo yo, catsiyo yo (cuátsiyo yo, cátsiyo yo) [futuro de catsiyó yo] nos quitaremos cuatyi (cuátyí) adv en pedazos, en piezas chiquitas Cahnya cuatyi yo intuhun ixta, tan cuhva yo catsi lee. Vamos a hacer pedazos chiquitos de una tortilla para dar de comer al niño. ra cuatyi s los jovenes, los muchachos (masculino) tucuatyí tsi",vi,NA,NA,NA,se tira (cosas chiquitas)
50,"cuátyi [imperativo de cuahán yo] vete,",ve,NA,NA,Cuatyi cuquihin un jahma yu ndoo yuhu yutya ndacan,"Luvinu. Delfino, ve tú a traer mi ropa que se quedó en la orilla del río."
50,"cuátyi [imperativo de cuahán yo] vete, ve Cuatyi cuquihin un jahma yu ndoo yuhu yutya ndacan, Luvinu. Delfino,",ve,NA,NA,NA,tú a traer mi ropa que se quedó en la orilla del río.
51,cúcútú yó,vi,"nos adornamos, nos arreglamos","Tsa cuñí tsi cucutu un tyin tsa cua tahan tsi cuhva cua cuañi un yaa. Ya necesitas arreglarte, porque ya va a ser la hora del baile.",cuá cúcuútú yó,cúcutú yó
52,"cuetá, cuitá, cuitf adv mero Nyehe yu intuhun tyityi nu tsahan yu cuhu tan cañi juhva yu tsi ti, cueta ñi maa jiñi ti nañi yuu. En el monte, en el lugar a donde fui,",vi,NA,NA,NA,una iguana y le pegué con una piedra en la mera cabeza.
53,cuiñu s 1. la papera Ra luhlu sehe yu iyó xaan caá ra jaha cuiñu. Mi niño se,ve,NA,NA,muy feo porque tiene paperas. 2. la hinchazón (causada por enfermedad o infección) Na cuví maa caca ra Marianu tyin uhvi xaan sihin ra nu nyaá cuiñu. Mariano no puede andar porque tiene hinchazón en su pierna,y le duele mucho.
54,cúmañi tsi,vi,"hace falta, se escasea lin ra tsa vatsí tsicán nuu ra xuhun tsi yu tan catyí yu tsihin ra: —Cuhva maa yu tsi un tu tsa nyií, soco vityin cumañí tsi.","Un hombre vino a pedirme dinero  cunú yo  prestado y le dije: —Si yo tuviera, te daría, pero ahora me hace falta.",cuá cúmáñi tsi,cúmañi tsi
55,cúmí yó,vt,tenemos,Cumí yu intuhun tutsii vaha xaan tsa cuaha tyiru. Tengo un fusil muy bueno de muchos cartuchos.,cua cúcúmi yo,tsicúmi yo
56,cúmi cuéndá y0,vt,cuidamos,"Cumí cuenda yo vehe ñi tyin nduvé ñi. Cuidamos la casa de ellos, porque no están.",cuá cúmi cuendá yó,"cúmi cuendá yo Sinón cumí yo, jahá cuenda yo"
57,cunaahá,vi,entra la noche,"Vityin ya, naa xaan tsa cunaaha, tyin maa ñuu cana yoo. Ahora al anochecer está muy oscuro, porque la  luna no sale hasta la medianoche. (lit: ahora que entra la noche)",cua cunaahá,cunaahá; no usa pronombres
58,cúnú yó 1.,vt,tejemos,Cunú yo jahma ndaha tsihin yuhva vela. Tejemos servilletas con hilo vela para bordar. 2. cunú tsi vi se teje Cunú xaan isa vehe ña María. Se está tejiendo cunu  un telar en la casa de María.,cua cunu yo,cúnú yo a
58,cúnú yó 1. vt tejemos Cunú yo jahma ndaha tsihin yuhva vela. Tejemos servilletas con hilo vela para bordar. 2. cunú tsi,vi,se teje,Cunú xaan isa vehe ña María. Se está tejiendo cunu  un telar en la casa de María.,cua cunu yo,cúnú yo a
59,cundáa tsi,vi,se arregla,Tsa cundaa tyiñu tsa quihvi ndutya yuvehe yu. Ya se arregló el trabajo de meter el agua a mi casa.,cuá cundaá tsi,cundáá tsi
60,cundaahví íñi y0,vt,"tenemos compasión, compadecemos, nos apiadamos de","Cundaahví xaan iñi yu tsi ndivi nyihi jana yu, tyin  maa ti xuhun cuví ti. Tengo compasión de mis pollitos porque son dinero.",cuá cúndahvi íñi yo,cúndahvi íñi yo Véase ndaahvi Sinón nyehé ndaahvi yo
61,"cúnditsá íñi yo, ndítsá íñi yó, cúnyitsá íñi yO, nyítsá íñi y0",vi,estamos conformes,"Na cunditsa iñi yu cuanda tsa jata yu jahma yu tsa cuvi vico ihya. No quedé comforme hasta que me compré mi ropa, cuando la fiesta fue aquí.",cuá cúnditsa iñi yo,cúnditsa iñi yo
62,cúnyéé íñi y0,vt,aguantamos,"Cunyeé yu caca yu cuhu, vasu ndi maa cañi. Aguanto andar en el monte, aunque está lejos.",cua cúnyee iñi yo,cúnyee iñi yo Véase nyee
63,cúnyihi tsi,vi,se muele,"Nyuu ndivi can cuví tsi tumaa cuví molino, ican cunyihí nuñi tsa tsatsí ti. La molleja del pollo es como un molino; allí muele el maíz que come.",cuá cunyihi tsi,cúnyihi tsi Véase luhlu
64,cuñí yo 1.,vt,"queremos, amamos","Cuñí yo ñayivi yo. Queremos a nuestras familias. 2. vt pensamos Tumaa tyin quihvi intuhun nyivi tsitsi vehe ihya cuñi yu. Soco yoñi maa nyehe yu. Pensé que alguien había entrado aquí a la casa, pero no vi a nadie. 3. vi nos sentimos (en nuestra mente) Cutuñú xaan cuñí yu, ña tsitó yu nacuenda. Me siento preocupado, pero no sé por qué. 4. v aux queremos Cuñí ra cuhun ra tsihin ndo. El quiere ir con ustedes.  . cuñí tsi vi es necesario Cuñí xaan tsi jata yo iin vehe tyin nduve  cusoco yo  nu coo yo. Es muy necesario que  compremos una casa, porque no  tenemos dónde vivir. 6. cuñí v aux estamos para, casi (no  usa pronombres) Cuñi cuu cuii ña  yu, ndihi cuii yu ndupeehe. Casi me muero, porque estaba muy débil.",cua cúñi yo,cúñi yo
64,"cuñí yo 1. vt queremos, amamos Cuñí yo ñayivi yo. Queremos a nuestras familias. 2.",vt,pensamos,"Tumaa tyin quihvi intuhun nyivi tsitsi vehe ihya cuñi yu. Soco yoñi maa nyehe yu. Pensé que alguien había entrado aquí a la casa, pero no vi a nadie. 3. vi nos sentimos (en nuestra mente) Cutuñú xaan cuñí yu, ña tsitó yu nacuenda. Me siento preocupado, pero no sé por qué. 4. v aux queremos Cuñí ra cuhun ra tsihin ndo. El quiere ir con ustedes.  . cuñí tsi vi es necesario Cuñí xaan tsi jata yo iin vehe tyin nduve  cusoco yo  nu coo yo. Es muy necesario que  compremos una casa, porque no  tenemos dónde vivir. 6. cuñí v aux estamos para, casi (no  usa pronombres) Cuñi cuu cuii ña  yu, ndihi cuii yu ndupeehe. Casi me muero, porque estaba muy débil.",cua cúñi yo,cúñi yo
64,"cuñí yo 1. vt queremos, amamos Cuñí yo ñayivi yo. Queremos a nuestras familias. 2. vt pensamos Tumaa tyin quihvi intuhun nyivi tsitsi vehe ihya cuñi yu. Soco yoñi maa nyehe yu. Pensé que alguien había entrado aquí a la casa, pero no",vi,a nadie. 3. vi nos sentimos (en nuestra mente),"Cutuñú xaan cuñí yu, ña tsitó yu nacuenda. Me siento preocupado, pero no sé por qué. 4. v aux queremos Cuñí ra cuhun ra tsihin ndo. El quiere ir con ustedes.  . cuñí tsi vi es necesario Cuñí xaan tsi jata yo iin vehe tyin nduve  cusoco yo  nu coo yo. Es muy necesario que  compremos una casa, porque no  tenemos dónde vivir. 6. cuñí v aux estamos para, casi (no  usa pronombres) Cuñi cuu cuii ña  yu, ndihi cuii yu ndupeehe. Casi me muero, porque estaba muy débil.",cua cúñi yo,cúñi yo
64,"cuñí yo 1. vt queremos, amamos Cuñí yo ñayivi yo. Queremos a nuestras familias. 2. vt pensamos Tumaa tyin quihvi intuhun nyivi tsitsi vehe ihya cuñi yu. Soco yoñi maa nyehe yu. Pensé que alguien había entrado aquí a la casa, pero no vi a nadie. 3.",vi,nos sentimos (en nuestra mente),"Cutuñú xaan cuñí yu, ña tsitó yu nacuenda. Me siento preocupado, pero no sé por qué. 4. v aux queremos Cuñí ra cuhun ra tsihin ndo. El quiere ir con ustedes.  . cuñí tsi vi es necesario Cuñí xaan tsi jata yo iin vehe tyin nduve  cusoco yo  nu coo yo. Es muy necesario que  compremos una casa, porque no  tenemos dónde vivir. 6. cuñí v aux estamos para, casi (no  usa pronombres) Cuñi cuu cuii ña  yu, ndihi cuii yu ndupeehe. Casi me muero, porque estaba muy débil.",cua cúñi yo,cúñi yo
64,"cuñí yo 1. vt queremos, amamos Cuñí yo ñayivi yo. Queremos a nuestras familias. 2. vt pensamos Tumaa tyin quihvi intuhun nyivi tsitsi vehe ihya cuñi yu. Soco yoñi maa nyehe yu. Pensé que alguien había entrado aquí a la casa, pero no vi a nadie. 3. vi nos sentimos (en nuestra mente) Cutuñú xaan cuñí yu, ña tsitó yu nacuenda. Me siento preocupado, pero no sé por qué. 4. v",aux,queremos,"Cuñí ra cuhun ra tsihin ndo. El quiere ir con ustedes.  . cuñí tsi vi es necesario Cuñí xaan tsi jata yo iin vehe tyin nduve  cusoco yo  nu coo yo. Es muy necesario que  compremos una casa, porque no  tenemos dónde vivir. 6. cuñí v aux estamos para, casi (no  usa pronombres) Cuñi cuu cuii ña  yu, ndihi cuii yu ndupeehe. Casi me muero, porque estaba muy débil.",cua cúñi yo,cúñi yo
64,"cuñí yo 1. vt queremos, amamos Cuñí yo ñayivi yo. Queremos a nuestras familias. 2. vt pensamos Tumaa tyin quihvi intuhun nyivi tsitsi vehe ihya cuñi yu. Soco yoñi maa nyehe yu. Pensé que alguien había entrado aquí a la casa, pero no vi a nadie. 3. vi nos sentimos (en nuestra mente) Cutuñú xaan cuñí yu, ña tsitó yu nacuenda. Me siento preocupado, pero no sé por qué. 4. v aux queremos Cuñí ra cuhun ra tsihin ndo. El quiere ir con ustedes.  . cuñí tsi",vi,es necesario,"Cuñí xaan tsi jata yo iin vehe tyin nduve  cusoco yo  nu coo yo. Es muy necesario que  compremos una casa, porque no  tenemos dónde vivir. 6. cuñí v aux estamos para, casi (no  usa pronombres) Cuñi cuu cuii ña  yu, ndihi cuii yu ndupeehe. Casi me muero, porque estaba muy débil.",cua cúñi yo,cúñi yo
64,"cuñí yo 1. vt queremos, amamos Cuñí yo ñayivi yo. Queremos a nuestras familias. 2. vt pensamos Tumaa tyin quihvi intuhun nyivi tsitsi vehe ihya cuñi yu. Soco yoñi maa nyehe yu. Pensé que alguien había entrado aquí a la casa, pero no vi a nadie. 3. vi nos sentimos (en nuestra mente) Cutuñú xaan cuñí yu, ña tsitó yu nacuenda. Me siento preocupado, pero no sé por qué. 4. v aux queremos Cuñí ra cuhun ra tsihin ndo. El quiere ir con ustedes.  . cuñí tsi vi es necesario Cuñí xaan tsi jata yo iin vehe tyin nduve  cusoco yo  nu coo yo. Es muy necesario que  compremos una casa, porque no  tenemos dónde vivir. 6. cuñí v",aux,"estamos para, casi (no  usa pronombres)","Cuñi cuu cuii ña  yu, ndihi cuii yu ndupeehe. Casi me muero, porque estaba muy débil.",cua cúñi yo,cúñi yo
65,cúrúmúsá yó,vi,almorzamos,Tsa tahan tsi cuhva curumusa yo. Ya es la hora de almorzar.,cuá cúrúmúsa yó,cúrúimiúsa yo
66,"curuú s la tórtola, la tortolita cusamá yo (cúsamá yo)",vi,comemos la  comida,"Tsa tyihyo ndutyi jaha yu  tsa cua catsi yo, tsa cusama yo. Ya cocí los frijoles para la comida. (lit: comeremos, comeremos la comida)",cuá cúsama yó,cúsáma yo
67,cúst+ iñi yO,vi,nos alegramos,Yaha xaan cusii iñi ña  Cirila tsa cuvi vico tsitoho ña. Cirila se alegró mucho cuando fue el  día de su santo.,cuá cusii íñi yó,custi íñi yo
68,cútáhán yó,vt,ayudamos,"Cubva nuu toro jana un tsi yu, cutahan ti tsihin toro jana yu tahvi ti ñuhu. Préstame tu toro para que ayude a mi toro a arar.",cuá cútahan yo,cútahan yo Sinón jatyinyeé yo
69,cútáxin yó,vi,nos callamos,Taxin ñi ndo; ña cahan ndo naa cuvi tsa tsiñí ndo. Cállense; no digan nada de lo que han oído.,cuá cútaxin yo,cútaxin yo; imperativo: taxin
70,cútúhva yo,vt,aprendemos,Cutuhva xaan yu libru can. Aprendí mucho de ese libro.,cuá cútuhva yo,cútúhva yo
71,cútúñi íñ1 y0,vt,"comprendemos, entendemos","Na cutuñí iñi yu naa tsa cuñí un. ¿A cuñí un cuhun yo Noco vityin, a cuñí un cuhun yo nda ityaan? No entiendo qué quieres. ¿Quieres que vayamos a Pinotepa Nacional hoy o quieres que vayamos mañana?",cuá cutuñí iñi yó,cutuñí iñi yo
