,code(s),citekey,title,gl_author,gl_year,med_type,topic,gl_med_type,gl_language_note,gl_pages_int
,xoch11,gonzalez-de-guzman2013diccionario,"Diccionario básico del Mixteco de Xochapa, Guerrero","Johnson, Audrey F. and González de Guzmán, Benita and Stark, Sharon",2013,dictionary,,phonology_or_text,Alcozauca Mixtec [xta],174
unavailable,chay11,,Concordancia del idioma mixteco de San Agustín Chayuco,Instituto Lingüístico de Verano,,dictionary,,wordlist_or_less,"Chayuco Mixtec [mih] (computerized assignment from ""chayuco"")",
unavailable,coat11,,Concordancia del idioma mixteco de Coatzospan,Instituto Lingüístico de Verano,,dictionary,,wordlist_or_less,"Coatzospan Mixtec [miz] (computerized assignment from ""coatzospan"")",
unavailable,diux11,,Concordancia del idioma mixteco de Diuxi,Instituto Lingüístico de Verano,,dictionary,,wordlist_or_less,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""diuxi"")",
unavailable,sila11,,Concordancia del idioma mixteco de Silacayoapan,Instituto Lingüístico de Verano,,dictionary,,wordlist_or_less,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",
unavailable,yoso11,,Concordancia del idioma mixteco de Yosondúa,Instituto Lingüístico de Verano,,dictionary,,wordlist_or_less,"Yosondúa Mixtec [mpm] (computerized assignment from ""yosondua"")",
,alac11,anderson2001vocabulario,"Vocabulario de los verbos de movimiento y de carga – Mixteco-Español – Alacatlatzala, Guerrero","Anderson, Lynn",2001,dictionary_minimal,verbs,wordlist_or_less,Alacatlatzala Mixtec [mim],24
,pena11,,Pequeño diccionario ilustrado en el mixteco de Magdalena Peñasco,,2004,dictionary_minimal,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,xoch11,,"Diccionario ilustrado; Mixteco de Xochapa, Mpio. de Alcozauca, Gro.",,2004,dictionary_minimal,,wordlist_or_less,Alcozauca Mixtec [xta],
,colo11,,"Diccionario ilustrado; mixteco de San Juan Colorado, distrito de Jamiltepec",,2005,dictionary_minimal,,wordlist_or_less,San Juan Colorado Mixtec [mjc],
,alac11,anderson2006vocabulario,"Vocabulario de palabras que se relacionan con el maíz en Mixteco de Alacatlatzala, Guerrero","Anderson, Lynn",2006,dictionary_minimal,corn,wordlist_or_less,Alacatlatzala Mixtec [mim],96
,mont13,,Pequeño diccionario ilustrado: Mixteco de Santa Lucía Monteverde,,2008,dictionary_minimal,,wordlist_or_less,Santa Lucía Monteverde Mixtec [mdv],
,mont13,,Pequeño Diccionario Ilustrado,Martin Eberle Leuch and Vivian Eberle-Cruz,2011,dictionary_minimal,,wordlist_or_less,Santa Lucía Monteverde Mixtec [mdv],44
,chal11,macaulay1990grammar,A Grammar of Chalcatongo Mixtec,"Macaulay, Monica",1996,grammar,,grammar,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",312
not listed,,,Arte en lengua Mixteca,"de los Reyes, Antonio",1593,grammar_sketch,,grammar_sketch,Mainly Teposcolula perhaps Diuxi-Tilantongo Mixtec [xtd],104
,jica11,bradley1970a-linguistic,A linguistic sketch of Jicaltepec Mixtec,"Bradley, C. Henry",1970,grammar_sketch,,grammar_sketch,Pinotepa Nacional Mixtec [mio],97
unavailable,diux11~tila11,,A sketch of Mixtec grammar,"Oram, Joy",1970,grammar_sketch,,grammar_sketch,Diuwi [xtd],101
,sila11,shields1970grammatical,Grammatical Patterns of Silocayoapan Mixtec through Sentence Level (Includes Noun Phrases),"Shields, Jäna K.",1970,grammar_sketch,,grammar_sketch,Silacayoapan Mixtec [mks],88
,peno11,daly1977mixteco,"Mixteco: Santa María Peñoles, Oaxaca","Daly, John P. and Daly, Margaret H.",1977,grammar_sketch,,grammar_sketch,Peñoles Mixtec [mil],153
,jami11,johnson1988syntactic,A syntactic sketch of Jamiltepec Mixtec,"Johnson, Audrey F.",1988,grammar_sketch,,grammar,Jamiltepec Mixtec [mxt],140
,ocot11,alexander1988syntactic,A syntactic sketch of Ocotepec Mixtec,"Alexander, Ruth Mary",1988,grammar_sketch,,grammar,Ocotepec Mixtec [mie],154
,sila11,shields1988syntactic,A syntactic sketch of Silacayoapan Mixtec,"Shields, Jäna K.",1988,grammar_sketch,,grammar,Silacayoapan Mixtec [mks],145
,ayut11,hills1990syntactic,A syntactic sketch of Ayutla Mixtec,"Hills, Robert A.",1990,grammar_sketch,,grammar,Ayutla Mixtec [miy],260
,coat11,small1990syntactic,A syntactic sketch of Coatzospan Mixtec,"Small, Priscilla C.",1990,grammar_sketch,,grammar,Coatzospan Mixtec [miz],219
,alac11,zylstra1991syntactic,A syntactic sketch of Alacatlatzala Mixtec,"Zylstra, Carol F.",1991,grammar_sketch,,grammar,Alacatlatzala Mixtec [mim],177
,tila11~diux11,kuiper1991syntactic,A syntactic sketch of Diuxi-Tilantongo Mixtec,"Kuiper, Albertha and Oram, Joy",1991,grammar_sketch,,grammar,Diuxi-Tilantongo Mixtec [xtd],230
,yoso11,farris1992syntactic,A syntactic sketch of Yosondúa Mixtec,"Farris, Edwin R.",1992,grammar_sketch,,grammar,Yosondúa Mixtec [mpm],171
unavailable,,,Two studies of Mixtec languages,"McKendry, Inga",2001,grammar_sketch,"nasalization, text",grammar_sketch,"Mitlatongo Mixtec [vmm], Southeastern Nochixtlán Mixtec [mxy]",139
unavailable,GROUP,,Breve gramática: una introducción a los términos y conceptos gramaticales del mixteco del norte de Tlaxiaco,,2007,grammar_sketch,,wordlist_or_less,Northern Tlaxiaco Mixtec [xtn],
,GROUP,mckendry2013tonal,"Tonal Association, Prominence and Prosodic Structure in South-eastern Nochixtlán Mixtec","McKendry, Inga",2013,"grammar_sketch, specific_topic",tone,phonology_or_text,Southeastern Nochixtlán Mixtec [mxy],435
unavailable,chal11,perez-jimenez1988sain,Sain Sau: Introducción al Mixteco de Chalcatongo,"Pérez Jiménez, Gabina Aurora",1988,specific_topic,overview,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",
,pena11,hollenbach2013gramatica,Gramática del mixteco de Magdalena Peñasco (Sa'an Ñuu Savi),Elena Erickson de Hollenbach,2013,grammar/pedagogical grammar,,long_grammar,Mixteco de Magdalena Peñasco = Mixtec-Magdalena Peñasco [xtm],475
unavailable,GROUP,,Gramática popular de la lengua mixteca del sur de Puebla,"Vásquez Peralta, Rodrigo",1997,pedagogical_grammar,,,,
,yuta13,williams2007gramatica,"Gramática popular del mixteco del municipio de Tezoatlán, San Andrés Yutatío, Oaxaca","Ferguson de Williams, Judith",2007,pedagogical_grammar,,long_grammar,Tezoatlán Mixtec [mxb],309
,zaca11,towne2011gramatica,"Gramática popular del tacuate (mixteco) de Santa María Zacatepec, Oaxaca",Douglas Towne,2011,pedagogical_grammar,,grammar,Mixteco de Zacatepec-Oaxaca [mza],147
,alac11,zylstra2012gramatica,"Gramática del Tu'un Savi (la lengua mixteca) de Alacatlatzala, Guerrero",Carol Zylstra,2012,pedagogical_grammar,,grammar,Mixteco Alacatlatzala [mim],229
,sila11,north1976gramatica,Gramática Popular del Mixteco: Mixteco de Silacayoapan,"North, Joanne and Juliana Shields",1976,pedagogical_grammar_sketch,,grammar,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",45
,numi11,gittlen2016gramatica,Gramática popular: Mixteco del norte de Tlaxiaco,Laura Gittlen,2016,pedagogical_grammar_sketch,,grammar_sketch,Northern Tlaxiaco Mixtec [xtn],140
,atat11,alexander1980gramatica,Gramática mixteca de Atatláhuca (Gramática yuhu sasau jee cahan ñayuu San Esteban Atatláhuca),"Alexander, Ruth Mary",1980,"pedagogical_grammar, vocabulary",,grammar,Atatláhuca Mixtec [mib],264
,sila11,,"Vamos a leer y escribir en mixteco, mixteco de Silacayoapan, Oaxaca","North, Joanne and Jäna Shields",1974,pedagogical_material,,wordlist_or_less,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",36
,diux11~tila11,,"Leamos mixteco, cartilla de transición, Mixteco de San Juan Diuxi y Santiago Tilantongo","Oram, Joy",1979,pedagogical_material,,wordlist_or_less,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""tilantongo;diuxi"")",48
,yoso11,,"Frases útiles en mixteco y en español, Santiago Yosondúa, Oaxaca","Martínez Cruz, Juventino e Isidoro Santiago Ojeda",1980,pedagogical_material,,wordlist_or_less,"Yosondúa Mixtec [mpm] (computerized assignment from ""yosondua"")",54
,GROUP,,"Manual para la enseñanza de la lecto-escritura en lengua mixteca, Tlaxiaco oeste, Oaxaca","Guzmán, Pablo Hipólito, Luis A. López Chávez and Albertano Guzmán Guzmán",1985,pedagogical_material,,wordlist_or_less,"Northern Tlaxiaco Mixtec [xtn] (computerized assignment from ""tlaxiaco"")",102
,GROUP,,"Manual para la enseñanza de la lecto-escritura en lengua mixteca, Tlaxiaco Sur, Oaxaca","Cruz, Juan de Dios and Juan de Dios Ortiz Cruz",1985,pedagogical_material,,wordlist_or_less,"Northern Tlaxiaco Mixtec [xtn] (computerized assignment from ""tlaxiaco"")",114
,GROUP,,"Manual para la enseñanza de lecto-escritura en lengua mixteca, Tlaxiaco Este, Oaxaca","Reyes Bautista, Gabina and Paula Feria Barrios",1985,pedagogical_material,,wordlist_or_less,"Northern Tlaxiaco Mixtec [xtn] (computerized assignment from ""tlaxiaco"")",103
,GROUP,,"Tutu sa=an nuu savi: mi libro mixteco: primer grado, Tlaxiaco Oeste, Oaxaca","Guzmán, Pablo Hipolito, Luis A. López Chávez and Albertano Guzmán Guzmán",1985,pedagogical_material,,wordlist_or_less,"Mixtepec Mixtec [mix] (computerized assignment from ""nuu and savi"")",114
,GROUP,,"Tutu sa=an nuu savi[;] Mi libro mixteco: primer grado, Tlaxiaco Este, Oaxaca","Reyes Bautista, Gabina and Paula Feria Barrios",1985,pedagogical_material,,wordlist_or_less,"Mixtepec Mixtec [mix] (computerized assignment from ""nuu and savi"")",103
,,,Ndakua'a ndo tee ndo tu'un ndo (Aprendamos a escribir nuestro idioma),,1999,pedagogical_material,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,pena11,,El alfabeto del Mixteco de Magdalena Peñasco,"Hollenbach, Bruce and Barbara Hollenbach",2000,pedagogical_material,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,GROUP,,"Cómo escribimos en el mixteco del norte de Tlaxiaco, volumen 1: sonidos y letras",,2005,pedagogical_material,,wordlist_or_less,Northern Tlaxiaco Mixtec [xtn],
,GROUP,,Juguemos con las letras y sonidos del mixteco del norte de Tlaxiaco,,2005,pedagogical_material,,wordlist_or_less,Northern Tlaxiaco Mixtec [xtn],
,GROUP,,Cómo escribimos en el mixteco del norte de Tlaxiaco: Volumen 1: Sonidos y letras,Peter Gittlen and Laura Gittlen,2008,pedagogical_material,,phonology_or_text,Northern Tlaxiaco Mixtec [xtn],125
,atat11,,Aprendamos a leer en mixteco: Tomo I,Laurel Penner,2011,pedagogical_material,,wordlist_or_less,Ixtayutla Mixtec [vmj],38
,gran11,,Cambios en la forma y el significado debidos a la posicion de los morfemas en la frase: analisis de un texto mixteco,"Pike, Kenneth L.",1944,specific_topic,morphosyntax,wordlist_or_less,San Miguel El Grande Mixtec [mig],
,gran11,,A problem in morphology-syntax division,"Pike, Kenneth L.",1945,specific_topic,morphosyntax,grammar,San Miguel El Grande Mixtec [mig],14
,gran11,,Tone puns in Mixteco,"Pike, Kenneth L.",1945,specific_topic,tone,wordlist_or_less,San Miguel El Grande Mixtec [mig],11
,,,Mock Spanish of a Mixteco Indian,"Pike, Kenneth L.",1945,specific_topic,Spanish,wordlist_or_less,San Miguel El Grande Mixtec [mig],6
,gran11,,The flea: melody types and perturbations in a Mixteco song,"Pike, Kenneth L.",1946,specific_topic,music,wordlist_or_less,San Miguel El Grande Mixtec [mig],6
,gran11,,Another Mixteco tone pun,"Pike, Kenneth L.",1946,specific_topic,tone,wordlist_or_less,San Miguel El Grande Mixtec [mig],3
,gran11,,Mixteco: Complex Phonemes,"Stark, Donald S.",1947,specific_topic,phonology,phonology_or_text,San Miguel El Grande Mixtec [mig],6
,,,Grammatical Prerequisites to Phonemic Analysis,"Pike, Kenneth L.",1947,specific_topic,phonology,phonology_or_text,San Miguel El Grande Mixtec [mig],18
,,,A text involving inadequate Spanish of Mixteco Indians,"Pike, Kenneth L.",1947,specific_topic,Spanish,phonology_or_text,San Miguel El Grande Mixtec [mig],7
,,,"Tone languages: a technique for determining the number and type of pitch contrasts in a language, with studies in tonemic substitution and fusion","Pike, Kenneth L.",1948,specific_topic,tone,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""tonemic"")",199
,,,"Tone languages: the nature of tonemic systems, with a technique for the analysis of their significant pitch contrasts","Pike, Kenneth L.",1948,specific_topic,tone,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""tonemic"")",
,gran11,,A unique tone perturbation in Mixteco,"Mak, Cornelia",1950,specific_topic,tone,wordlist_or_less,San Miguel El Grande Mixtec [mig],5
,atat11~gran11,,A comparison of two Mixtec tonemic systems,"Mak, Cornelia",1953,specific_topic,tone,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""tonemic""), Atatláhuca Mixtec [mib], San Miguel El Grande Mixtec [mig]",16
,ocot11,,The tonal system of a third Mixtec dialect,"Mak, Cornelia",1958,specific_topic,tone,wordlist_or_less,Ocotepec Mixtec [mie],10
,atat11~ocot11~gran11,,Mixtec medical beliefs and practices,"Mak, Cornelia",1959,specific_topic,ethnographic,wordlist_or_less,"Atatláhuca Mixtec [mib], Ocotepec Mixtec [mie], San Miguel El Grande Mixtec [mig]",26
,,,Relaciones internas del Mixteco-Trique,"Arana Osnaya, Evangelina",1959,specific_topic,historical,wordlist_or_less,"Amuzgo Ometepec, Trique Chicahuaxta, Cuicateco-Tepeuxila, Mixteco-Cuyamee = Mixtec-Cuyamecalco [xtu], Mixteco-Huitepec = Mixtec-Huitepec [mxs], Mixteco-Mechoacán",55
,,,Proto-Mixtec phonology,"Mak, Cornelia and Robert Longacre",1960,specific_topic,historical,phonology_or_text,Atatláhuca Mixtec [mib],18
,atat11~gran11,,Estudio comparativo de dos dialectos mixtecos,"Mak, Cornelia",1961,specific_topic,historical,wordlist_or_less,"Atatláhuca Mixtec [mib], San Miguel El Grande Mixtec [mig]",12
,metl11,,The tonemic system of Guerrero Mixteco,"Overholt, Edward",1961,specific_topic,tone,phonology_or_text,Metlatónoc Mixtec [mxv],30
,,,Proto-Mixtecan and Proto-Amuzgo-Mixtecan vocabularies: a preliminary cultural analysis,"Longacre, Robert E. and Millon, René",1961,specific_topic,historical,wordlist_or_less,"Chicahuaxtla Triqui [trs], San Miguel El Grande Mixtec [mig], Guerrero Amuzgo [amu]",44
,huit11,,"Clases sociales y grupos étnicos en San Antonio Huitepec, Oaxaca","Caballero Morales, Gabriel",1962,specific_topic,ethnographic,wordlist_or_less,Huitepec Mixtec [mxs],197
,tila11,,"Mixtec numerals from Santiago Tilantongo, Oaxaca","Butterworth, Douglas",1963,specific_topic,numerals,wordlist_or_less,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""tilantongo"")",2
,peno11,,Generative syntax of Mixteco,"Daly, John P.",1966,specific_topic,morphosyntax,wordlist_or_less,Peñoles Mixtec [mil],158
,huaj11,,Huajuapan Mixtec phonology and morphophonemics,"Pike, Eunice V. and Cowan, John",1967,specific_topic,phonology,phonology_or_text,Cacaloxtepec Mixtec [miu],15
,ayut11,,Phonology and Morphophonemics of Ayutla Mixtec,"Pankraz, Leo and Eunice V. Pike",1967,specific_topic,"phonology, tone",phonology_or_text,Ayutla Mixtec [miy],13
,moli11,,Molinos Mixtec Clause Structure,"Merrifield, William R. and Stoudt, Betty J.",1967,specific_topic,clause structure,grammar_sketch,San Miguel El Grande Mixtec [mig],21
,,,"Suprasegmentals in reference to phonemes of item, of process, and of relation","Pike, Kenneth L.",1967,specific_topic,tone,phonology_or_text,San Miguel El Grande Mixtec [mig],
,,,Number names in four languages of Mexico,"Merrifield, William R.",1968,specific_topic,numerals,wordlist_or_less,"Chol [ctu], San Miguel El Grande Mixtec [mig], Mezquital Otomi [ote], Central Tarahumara [tar]",12
,moli11,,The Phonology And Tone Sandhi Of Molinos Mixtec,"Hunter, Georgia G. and Pike, Eunice V.",1969,specific_topic,"phonology, tone",phonology_or_text,San Miguel El Grande Mixtec [mig],17
,diux11,,Verbos de movimiento en el mixteco de Diuxi,"Kuiper, Albertha and William R. Merrifield",1973,specific_topic,verbs semantics,wordlist_or_less,Diuxi-Tilantongo Mixtec [xtd],
,peno11,,El telar precolombino de los mixtecos de Peñoles,"Daly, Margaret H.",1973,specific_topic,ethnographic,wordlist_or_less,Peñoles Mixtec [mil],
,peno11,,A generative syntax of Peñoles Mixtec,"Daly, John P.",1973,specific_topic,morphosyntax,grammar_sketch,Peñoles Mixtec [mil],101
,peno11,,Los cambios tonales del Mixteco de Peñoles,"Daly, John P.",1973,specific_topic,tone,wordlist_or_less,Peñoles Mixtec [mil],
,peno11,,Tone sandhi and rule ordering in Peñoles Mixtec,"Daly, John P.",1973,specific_topic,tone,wordlist_or_less,"Peñoles Mixtec [mil] (computerized assignment from ""penoles"")",
,ayut11,,"Ayutla Mixtec, just in case","Hills, Robert A. and William R. Merrifield",1974,specific_topic,case,wordlist_or_less,Ayutla Mixtec [miy],9
,coat11,,Coatzospan Mixtec pronouns,"Small, Priscilla",1974,specific_topic,pronouns,wordlist_or_less,Coatzospan Mixtec [miz],6
,coat11,,Downstepping terrace tone in Coatzospan Mixtec,"Small, Priscilla and Eunice V. Pike",1974,specific_topic,tone,wordlist_or_less,Coatzospan Mixtec [miz],30
,diux11,,Personal pronouns in Diuxi Mixtec,"Kuiper, Albertha and Velma Pickett",1974,specific_topic,pronouns,wordlist_or_less,Diuxi-Tilantongo Mixtec [xtd],6
,,,Coordination and its implications for roots and stems of sentence and clause,"Pike, Evelyn G.",1974,specific_topic,morphosyntax,grammar_sketch,San Miguel El Grande Mixtec [mig],25
Southern puebla,,,Step-up Terrace Tone in Acatlán Mixtec,"Pike, Eunice V. and Kent Wistrand",1974,specific_topic,tone,wordlist_or_less,Southern Puebla Mixtec [mit],24
,chay11,,Some eastern Jamiltepec Mixtec phrase constructions,"Pensinger, Brenda and Larry Lyman",1975,specific_topic,phrase structure,wordlist_or_less,Chayuco Mixtec [mih],4
,diux11,,Diuxi Mixtec Verbs of Motion and Arrival,"Kuiper, Albertha and William R. Merrifield",1975,specific_topic,verbs semantics,wordlist_or_less,Diuxi-Tilantongo Mixtec [xtd],14
,diux11,,Stress and tone in the phonology of Diuxi Mixtec,"Pike, Eunice V. and Joy Oram",1976,specific_topic,tone,phonology_or_text,Diuxi-Tilantongo Mixtec [xtd],13
,sila11,,Silacayoapan Mixtec phonology,"North, Joanne and Jäna Shields",1977,specific_topic,phonology,phonology_or_text,Silacayoapan Mixtec [mks],13
,,,Studies in Otomanguean phonology,"Merrifield, William R.",1977,specific_topic,"phonology, historical",phonology_or_text,"Chiquihuitlán Mazatec [maq], San Marcos Tlalcoyalco Popoloca [pls], Peñoles Mixtec [mil], Silacayoapan Mixtec [mks], Copala Triqui [trc], San Juan Guelavía Zapotec [zab], Choapan Zapotec [zpc]",185
,,,A problem in tone analysis,"Daly, John P.",1977,specific_topic,tone,wordlist_or_less,Peñoles Mixtec [mil],18
,diux11,,Notes on Diuxi Mixtec tone,"Daly, John P.",1978,specific_topic,tone,grammar_sketch,Diuxi-Tilantongo Mixtec [xtd],16
,mixt11,,The phonology of the Mixtepec dialect of Mixtec,"Pike, Eunice V. and Ibach, Thomas",1978,specific_topic,phonology,phonology_or_text,Mixtepec Mixtec [mix],15
,coat11,,Prominence and dominance in Coatzospan Mixtec narrative,"Small, Priscilla",1979,specific_topic,discourse,wordlist_or_less,Coatzospan Mixtec [miz],20
,alac11,,"Phonology and morphophonemics of the Mixtec of Alacatlazala, Guerrero","Zylstra, Carol F.",1980,specific_topic,"phonology, tone",phonology_or_text,Alacatlatzala Mixtec [mim],28
,gran11,,A Mixtec lime oven,"Pike, Kenneth L.",1980,specific_topic,ethnographic,wordlist_or_less,San Miguel El Grande Mixtec [mig],9
,ayut11,,Ayutla Mixtec kinship terms,"Pankratz, Leo",1981,specific_topic,kinship,wordlist_or_less,"Ayutla Mixtec [miy] (computerized assignment from ""ayutla"")",
,coat11,,Coatzospan Mixtec kinship terms,"Turner, Janet and Priscilla Small",1981,specific_topic,kinship,wordlist_or_less,"Coatzospan Mixtec [miz] (computerized assignment from ""coatzospan"")",
,diux11,,Diuxi Mixtec kinship terms,"Oram, Joy",1981,specific_topic,kinship,wordlist_or_less,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""diuxi"")",
,moli11,,The Interaction of Tone and Stress in Molinos Mixtec,"Yip, Moira",1981,specific_topic,tone,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""molinos"")",
,peno11,,Peñoles Mixtec kinship terms,"Daly, John P.",1981,specific_topic,kinship,wordlist_or_less,"Peñoles Mixtec [mil] (computerized assignment from ""penoles"")",
,sila11,,Silacayoapan Mixtec kinship terms,"North, Joanne and Jäna Shields",1981,specific_topic,kinship,wordlist_or_less,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",
,yoso11,,Yosondua Mixtec kinship terms,"Farris, Ed",1981,specific_topic,kinship,wordlist_or_less,"Yosondúa Mixtec [mpm] (computerized assignment from ""yosondua"")",
,,,Dialectología mixteca: la sintaxis de las oraciones transitivas,"Josserand, J. Kathryn",1981,specific_topic,syntax,wordlist_or_less,"Atoyac = Pinotepa Nacional Mixtec [mio], Jicaltepec = Pinotepa Nacional Mixtec [mio], Cristóbal = Mixtec-Magdalena Peñasco [xtm], Nutió = Mixtec-Jamiltepec [mxt], Jamiltepec = Jamiltepec Mixtec [mxt], Tepango = Mixtec-Ayutla [miy], Peras = Mixtec-Western Juxtlahuaca [jmx], Juxtlahuaca = Juxtlahuaca Mixtec [vmc], Ixpantepec = Silacayoapan [mks], Atenango = Mixtec-Silacayoapan [mks], Nuchita = Mixtec-Silacayoapan [mks], Xayacatlan B = Mixtec-Southern Puebla [mit], Jerónimo = Mixtec-Southern Puebla [mit], Cosoltepec = Mixtec-Chazumba [xtb], Tlaltempan = Mixtec-Chigmecatitlán [mii], Achiutla 17.317899 and -97.485961 closest to = Mixtec-Yucuañe [mvg], Ocotepec = Mixtec-Ocotepec [mie], Yosondúa = Mixtec-Yosondúa [mpm], Teita = San Juan Teita Mixtec [xtj], Tataltepec closest to = Mixtec-Yucuañe [mvg], Diuxi = Diuxi-Tilantongo Mixtec [xtd], Peñoles = Peñoles Mixtec [mil], Huitepec = Mixtec-Huitepec [mxs], Jaltepetongo = Mixtec-Southeastern Nochixtlán [mxy], Adequez = Mixtec-Southeastern Nochixtlán [mxy], Cántaros = Mixtec-Apasco-Apoala [mip], Apoala = Mixtec-Apasco-Apoala [mip], Jocotipac = Mixtec-Apasco-Apoala [mip], Coatzospan Mixtec [miz]",4
,huit11,,"El papel del maestro en el etnocidio en San Antonio Huitepec, Oax. Etnolingüística, 20","Caballero, Juan Julian",1982,specific_topic,ethnographic,wordlist_or_less,"Huitepec Mixtec [mxs] (computerized assignment from ""huitepec"")",210
,yoso11,,"Clases sociales y grupos étnicos en Yosondúa. Etnolingüística, 34","García Santiago, Eduardo",1982,specific_topic,ethnographic,wordlist_or_less,"Yosondúa Mixtec [mpm] (computerized assignment from ""yosondua"")",135
,coat12,,"Análisis sintáctico del mixteco de Coatzoquitengo, Gro. Ethnolingüística, 11","Casiano Franco, Vicente Paulino",1982,specific_topic,syntax,wordlist_or_less,"Alacatlatzala Mixtec [mim] (computerized assignment from ""coatzoquitengo""), Coatzoquitengo Mixtec = Mixtec-Alacatlatzala [mim]",269
,chal11,,The use of body-part terms as locatives in Chalcatongo Mixtec,"Brugman, Claudia",1983,specific_topic,body parts,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",
,chal11,,Preliminaries to tonemic and tonomechanical analysis for the Chalcatongo dialect of Mixtec,"Faraclas, Nicholas",1983,specific_topic,tone,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""tonemic"")",
,general,,La inteligibilidad interdialectal en México: resultados de algunos sondeos,Steven Egland and Doris Bartholomew and Saúl Cruz Ramos,1983,specific_topic,comparative,wordlist_or_less,"Western Sola de Vega = Amoltepec Mixtec [mbz], Yololtepec geographically matches Tacahua Mixtec [xtt]",92
,general,,Mixtec dialect history,"Josserand, Judy Kathryn",1983,specific_topic,"historical, comparative",wordlist_or_less,Coatzospan Mixtec [miz],727
,gran11,,The floating tone in San Miguel el Grande Mixtec,"Brown, Becky",1985,specific_topic,tone,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""grande and miguel"")",
,numi11,,Ñumí Mixtec syllable structure and morphology,"Marlett, Stephen A. and Gittlen, Laura",1985,specific_topic,phonology,phonology_or_text,Northern Tlaxiaco Mixtec [xtn],20
