ID	Village_Name	Village_Name_Alternative	Family	Subgroup	Municipality	State	Latitude	Longitude	ISO639P3code	Glottocode	Glottolog_Name	Glottolog_Level	Glottolog_Super	Glottolog_Subgroup	Glottolog_Latitude	Glottolog_Longitude	josserand_group	Josserand_Subgroup	Josserand_Code	Inali_Subgroup	Inali_Endonym_Ort	Inali_Endonym_Ipa	Egland_Name	Egland_Perc	Egland_Level	Egland_Super	Mtree_Name	Mtree_Code	Mtree_Codealt	Mtree_Latitude	Mtree_Longitude	Mtree_Comments	Coordinate_Comparison	CLDF_Name	Village_Name_Normalized	Comments
chic02	San Andrés Chicahuaxtla 1890		Triqui		Putla Villa de Guerrero	Oaxaca	17.15612	-97.84007	trs	chic1273	Chicahuaxtla Triqui																							SanAndresChicahuaxtla1890Triqui		
chic11	San Miguel Chicahua		Mixtec	Northeastern Alta	San Miguel Chicahua	Oaxaca	17.63719	-97.19479									Northeastern Alta		chic	mixteco del noreste	da’an davi	[ðãʔã ðaβi]	Chicahua	87	dialect	Apoala								SanMiguelChicahuaMixtec	san miguel chicahua	
chic12	San Andrés Chicahuaxtla		Triqui		Putla Villa de Guerrero	Oaxaca	17.15612	-97.84007	trs	chic1273	Chicahuaxtla Triqui	language		Trique	17.16	-97.85																		SanAndresChicahuaxtlaTriqui		
chig11	Santa María Chigmecatitlán		Mixtec	Northern Baja	Chigmecatitlán	Puebla	18.6303	-98.1046	mii	chig1239	Chigmecatitlán Mixtec	language		Northern Baja	18.6303	-98.1046	Northern Baja		chig	mixteco del suroeste de Puebla	da’an davi ~ de’e dau	[ðãʔã ðaβi] ~ [ðeʔe ðau]	Chigmecatitlan	23	language									SantaMariaChigmecatitlanMixtec	santa maria chigmecatitlan	
coat11	San Juan Coatzóspam	San Juan Coatzóspan	Mixtec	Northern Alta	San Juan Coatzóspam	Oaxaca	18.04875	-96.76363	miz	coat1241	Coatzospan Mixtec	language		Northern Alta	18.1209	-96.6591	Northern Alta		coat	mixteco de Coatzóspam	tu’un davi	[tũʔũ ðaβi]	Coatzospan	88	dialect		Coatzospan	mig-cha	mxz	1808	-9658		gl lat and long better	SanJuanCoatzospamMixtec	san juan coatzospan	
coic11	Coicoyán de las Flores		Mixtec	Southern Baja	Coicoyán de las Flores	Oaxaca	17.27301	-98.27588	jmx	coic1238	Coicoyán	dialect	west2643	Southern Baja			Southern Baja		coi	mixteco del oeste	to’on savi	[tõʔõ saβi]	Coicoya?n	65	language									CoicoyanlasFloresMixtec	coicoyan de las flores	
colo11	San Juan Colorado		Mixtec	Coast	San Juan Colorado	Oaxaca	16.46073	-97.95446	mjc	sanj1281	San Juan Colorado Mixtec	language		Coast (East)	16.3964	-97.9279	Coast	East	colo	mixteco de Oaxaca de la costa noroeste	tu’un savi	[tũʔũ saβi]	Colorado	95	dialect	Jicaltepec	San Juan Colorado	mie	mjc	1650	-9800		gl lat and long better	SanJuanColoradoMixtec	san juan colorado	
conc11	Concepción Pápalo		Cuicatec		Concepción Pápalo	Oaxaca	17.84172	-96.8813	cux	tepe1280	Tepeuxila Cuicatec	language																						ConcepcionPapaloCuicatec		
copa11	San Juan Copala		Triqui		Santiago Juxtlahuaca	Oaxaca	17.187222	-97.962778	trc	copa1237	Copala Triqui	language		Trique	17.15	-97.98																		SanJuanCopalaTriqui		
coso11	Cosoltepec		Mixtec	Northern Baja	Cosoltepec	Oaxaca	18.14291	-97.79059	xtb	chaz1235							Northern Baja		cos	mixteco de la frontera Puebla-Oaxaca	da’an davi	[ðãʔã ðaβi]	Cosoltepec	89	dialect	Chazumba								CosoltepecMixtec	cosoltepec	
coxc11	San Pedro Coxcaltepec Cántaros		Mixtec	Northeastern Alta	San Pedro Coxcaltepec Cántaros	Oaxaca	17.49922	-97.13893									Northeastern Alta		cant	mixteco del este	tu’un davi	[tũʔũ ðaβi]												SanPedroCoxcaltepecCantarosMixtec	san pedro coxcaltepec cantaros	
cris11	San Cristóbal (Jamiltepec)		Mixtec	Coast	San Agustín Chayuco	Oaxaca	16.48433	-97.86594	mih	chay1249									cris	mixteco de Oaxaca de la costa central	tu’un savi	[tũʔũ saβi]												SanCristobalJamiltepecMixtec	san cristobal	
cuat11	Cuatzoquitengo		Mixtec	Guerrero	Malinaltepec	Guerrero	17.28835	-98.61552	mim	cuat1239	Cuatzoquitengo	dialect	alac1244	Guerrero			Guerrero		cuat	mixteco central de Guerrero	tno’on savi ~ tu’un savi	[tõʔõ saβi] ~ [tũʔũ saβi]	Cuatzoquitengo		language									CuatzoquitengoMixtec	cuatzoquitengo	
cuau11	Santa Ana Cuauhtémoc		Mixtec	Northern Alta	Santa Ana Cuauhtémoc	Oaxaca	17.98379	-96.79439	xtu	cuya1240							Northern Alta		cuau	mixteco de Cañada central	tu’un savi	[tũʔũ saβi]	Sta. Ana Cuauhte?moc	25	language									SantaAnaCuauhtemocMixtec	santa ana cuauhtemoc	
cuil11	Cuilapam de Guerrero	Cuilapan de Guerrero	Mixtec	Northeastern Alta	Cuilapam de Guerrero	Oaxaca	17.04496	-97.75798									Northeastern Alta		cui	mixteco bajo de Valles	tu’un dau	[tũʔũ ðau]												CuilapamGuerreroMixtec	santiago cuilapan de guerrero	
cuya11	Cuyamecalco Villa de Zaragoza		Mixtec	Northern Alta	Cuyamecalco Villa de Zaragoza	Oaxaca	18.0821	-96.7314	xtu	cuya1240	Cuyamecalco Mixtec	language		Northern Alta	18.0821	-96.7314	Northern Alta		cuya	mixteco de Cañada central	tu’un savi	[tũʔũ saβi]	Cuyamecalco	61	language									CuyamecalcoVillaZaragozaMixtec	cuyamecalco villa de zaragoza	
diux11	San Juan Diuxi		Mixtec	Eastern Alta	San Juan Diuxi	Oaxaca	17.3596	-97.3861	xtd	diux1236	Diuxi-Tilantongo Mixtec	language		Eastern Alta	17.3596	-97.3861	Eastern Alta		diux	mixteco del este central	tnu’un dau	[tnũʔũ ðau]												SanJuanDiuxiMixtec	san juan diuxi	
dura11	San Martín Duraznos		Mixtec	Southern Baja	San Sebastián Tecomaxtlahuaca	Oaxaca	17.30502	-98.10188	vmc	juxt1235							Southern Baja		durz	mixteco del oeste	to’on savi	[tõʔõ saβi]												SanMartinDuraznosMixtec	san martin duraznos	
esta11	San Martín del Estado		Mixtec	Western Baja	Silacayoapam	Oaxaca	17.56721	-98.17607									Western Baja		silm	mixteco del noroeste medio	dedavi ~ tu’un savi	[dedaβi] ~ [tũʔũ saβi]												SanMartinEstadoMixtec	san martin del estado	
este11	Santa Catarina Estetla		Mixtec	Eastern Alta	Santa María Peñoles	Oaxaca	17.02627	-97.0974	mil	peno1244							Eastern Alta		este	mixteco de Santa María Peñoles	tu’un savi	[tũʔũ saβi]	Estetla	14	language									SantaCatarinaEstetlaMixtec	santa catarina estetla	
flor11	San Francisco de las Flores		Mixtec	Central Baja	Santos Reyes Yucuná	Oaxaca	17.777	-98.031									Central Baja		flor	mixteco del noroeste	tu’un savi	[tũʔũ saβi]												SanFranciscolasFloresMixtec	san francisco de las flores	
flor12	San Marcos de la Flor		Mixtec	Southern Baja	San Martín Peras	Oaxaca	17.418889	-98.268611	jmx	sanm1291																								SanMarcoslaFlorMixtec		
gran11	San Miguel El Grande		Mixtec	Western Alta	San Miguel El Grande	Oaxaca	17.04688	-97.62248	mig	sanm1295	San Miguel El Grande Mixtec	language		Western Alta	17.0777	-97.5432	Western Alta		mig	mixteco del sur bajo	sahin sau	[sahin sau]	S. Miguel el Grande	86	dialect	Yosondu?a	San Miguel el Grande	mil	mxg	1705	-9757		gl lat and long better	SanMiguelElGrandeMixtec	san miguel el grande	
gran12	San Miguel El Grande (Alcozáuca)		Mixtec	Guerrero	Alcozáuca de Guerrero	Guerrero	17.24389	-98.23722	xta	alco1235										mixteco de Guerrero del noreste central	tu’un savi	[tũʔũ saβi]											gl lat and long better	SanMiguelElGrandeAlcozaucaMixtec	san miguel el grande	
guad11	Guadalupe Villahermosa (El Portesuelo)	Guadalupe Portezuelo/Villahermosa	Mixtec	Central Baja	Santos Reyes Yucuná	Oaxaca	17.75898	-98.01539									Central Baja		guad	mixteco del noroeste	tu’un savi	[tũʔũ saβi]	Guadalupe Portezuelo	65	language									GuadalupeVillahermosaMixtec	guadalupe portezuelo/villahermosa	
huaj11	Heroica Ciudad de Huajuapan de León	Huajuapan de León	Mixtec	NotAssigned	Heroica Ciudad de Huajuapan de León	Oaxaca	17.80698	-97.776062	miu	caca1250	Cacaloxtepec Mixtec	language								mixteco del noroeste medio	dedavi ~ tu’un savi	[dedaβi] ~ [tũʔũ saβi]												HeroicaCiudadHuajuapanLeonMixtec	heroica ciudad de huajuapan de leon	
huaz11	Santa María Huazolotitlán		Mixtec	Coast	Santa María Huazolotitlán	Oaxaca	16.3019	-97.91488									Coast	East	huaz	mixteco de Santa María Huazolotitlán	to’on savi	[tõʔõ saβi]	Huazolotitla?n	71	dialect	Jicaltepec								SantaMariaHuazolotitlanMixtec	santa maria huazolotitlan	
huen11	Santo Domingo Huendio	Santo Domingo Huendío	Mixtec	Western Alta	Magdalena Peñasco	Oaxaca	17.25296	-97.5054	xtm	sant1440	Santo Domingo Heundío Mixtec	dialect	magd1235	Western Alta						mixteco central	tu’un savi	[tũʔũ saβi]												SantoDomingoHuendioMixtec	santo domingo huendio	
huit11	San Antonio Huitepec		Mixtec	Eastern Alta	San Antonio Huitepec	Oaxaca	16.9476	-97.1236	mxs	huit1252	Huitepec Mixtec	language		Eastern Alta	16.9476	-97.1236	Eastern Alta	Teozacoalco	huit	mixteco de San Antonio Huitepec	tu’un savi	[tũʔũ saβi]	Huitepec	77	dialect	Estetla								SanAntonioHuitepecMixtec	san antonio huitepec	
itun11	Santa Cruz Itundujia		Mixtec	Western Alta	Santa Cruz Itundujia	Oaxaca	16.77876	-97.59753	mce	itun1239	Itundujia Mixtec	language		Western Alta	16.77876	-97.59753	Western Alta		itun	mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]	Itunduiji?a	73	dialect	Atatlahuca								SantaCruzItundujiaMixtec	santa cruz itundujia	
itun12	San Martín Itunyoso		Triqui		San Martín Itunyoso	Oaxaca	17.22887	-97.88125	trq	sanm1298	San Martín Itunyoso Triqui	language		Trique	17.24	-97.92																		SanMartinItunyosoTriqui		
ixpa11	Ixpantepec Nieves		Mixtec	Southern Baja	Ixpantepec Nieves	Oaxaca	17.50717	-98.04556	mks	sila1250							Southern Baja		ixpn	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]	Nieves Ixpautepec	94	dialect	Silacayoapan								IxpantepecNievesMixtec	ixpantepec nieves	
ixta11	Santiago Ixtayutla		Mixtec	Coast	Santiago Ixtayutla	Oaxaca	16.5774	-97.5759	vmj	ixta1235	Ixtayutla Mixtec	language		Coast (East)	16.5774	-97.5759	Coast	East	ixty	mixteco de Ixtayutla	tu’un savi	[tũʔũ saβi]	Ixtayutla		language									SantiagoIxtayutlaMixtec	santiago ixtayutla	
ixta12	Santiago Ixtaltepec		Mixtec	Northeastern Alta	Asunción Nochixtlán	Oaxaca	17.54171	-97.11437									Northeastern Alta	Apoala	ixtl	mixteco del noreste	da’an davi	[ðãʔã ðaβi]	Ixtaltepec	90	dialect	Apoala								SantiagoIxtaltepecMixtec	santiago ixtaltepec	
ixta13	San Miguel Ixtapam	San Miguel Ixtapan	Mixtec	Northern Baja	San Pedro y San Pablo Tequixtepec	Oaxaca	17.9167	-97.5167									Northern Baja		ixtp	mixteco de la frontera Puebla-Oaxaca	da’an davi	[ðãʔã ðaβi]												SanMiguelIxtapamMixtec	san miguel ixtapan	
jami11	Santiago Jamiltepec		Mixtec	Coast	Santiago Jamiltepec	Oaxaca	16.2279	-97.8417	mxt	jami1235	Jamiltepec Mixtec	language		Coast (East)	16.2279	-97.8417	Coast	East	jam	mixteco de Oaxaca de costa central baja	tu’un savi	[tũʔũ saβi]	Jamiltepec	83	dialect	Jicaltepec	Jamiltepec	mih	mja	1625	-9783		gl lat and long better	SantiagoJamiltepecMixtec	santiago jamiltepec	
jate11	San Francisco Jaltepetongo		Mixtec	Northeastern Alta/Eastern Alta	San Francisco Jaltepetongo	Oaxaca	17.38592	-97.26345									Northeastern Alta/Eastern Alta		jalt	mixteco del este central	tnu’un dau	[tnũʔũ ðau]												SanFranciscoJaltepetongoMixtec	san francisco jatepetongo	
jica11	Santa María Jicaltepec		Mixtec	Coast	Santiago Pinotepa Nacional	Oaxaca	16.38086	-98.04128	mio	pino1237							Coast	West	jict	mixteco de Oaxaca de la costa oeste central	tu’un savi ~ se’en savi	[tũʔũ saβi] ~ [seʔen saβi]	Jicaltepec	74	language		Jicaltepec	miz	mxj	1633	-9800		gl lat and long better	SantaMariaJicaltepecMixtec	santa maria jicaltepec	
jica12	San Pedro Jicayán		Mixtec	Coast	San Pedro Jicayán	Oaxaca	16.45235	-98.0151									Coast	West	jicy	mixteco de Oaxaca de la costa central	tu’un savi	[tũʔũ saβi]	Jicaya?n	82	dialect	Jicaltepec								SanPedroJicayanMixtec	san pedro jicayan	
jica13	El Jicaral		Mixtec	Southern Baja	Coicoyán de las Flores	Oaxaca	17.12602	-98.196842	jmx	coic1238	Coicoyán									mixteco del oeste	to’on savi	[tõʔõ saβi]												ElJicaralMixtec	el jicaral	
joco11	San Pedro Jocotipac		Mixtec	Northeastern Alta	San Pedro Jocotipac	Oaxaca	17.7687	-97.07983									Northeastern Alta	Apoala	joco	mixteco de Cañada bajo	tu’un savi	[tũʔũ saβi]	Jocotipac	92	dialect	Apoala								SanPedroJocotipacMixtec	san pedro jocotipac	
juxt11	Santiago Juxtlahuaca		Mixtec	Southern Baja	Santiago Juxtlahuaca	Oaxaca	17.3518	-98.0146	vmc	juxt1235	Juxtlahuaca Mixtec	language		Southern Baja	17.3518	-98.0146	Southern Baja		juxt	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]	Juxtlahuaca	76	dialect	Silacayoapan								SantiagoJuxtlahuacaMixtec	santiago juxtlahuaca	
lore11	San Lorenzo		Mixtec	Coast	San Lorenzo	Oaxaca	16.39429	-97.87421									Coast		lor	mixteco de Oaxaca de la costa central	tu’un savi	[tũʔũ saβi]	S. Lorenzo	81	dialect	Jicaltepec								SanLorenzoMixtec	san lorenzo	
mech11	Santa Catarina Mechoacán		Mixtec	Coast	Santa Catarina Mechoacán	Oaxaca	16.33471	-97.83626	mih	chay1249							Coast	East	mech	mixteco de Oaxaca de la costa central	tu’un savi	[tũʔũ saβi]	Mechoaca?n	99	dialect	Cristo?bal								SantaCatarinaMechoacanMixtec	santa catarina mechoacan	
metl11	Metlatónoc		Mixtec	Southern Baja	Metlatónoc	Guerrero	17.1947	-98.3514	mxv	metl1238	Metlatónoc Mixtec	language		Guerrero	17048	-98.3514	Southern Baja		metl	mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]	Metlato?noc	70	dialect									MetlatonocMixtec	metlatonoc	
mica11	El Rosario Micaltepec		Mixtec	Northern Baja	Petlalcingo	Puebla	18.04537	-97.85057									Northern Baja		mic	mixteco de la frontera Puebla-Oaxaca	da’an davi	[ðãʔã ðaβi]												ElRosarioMicaltepecMixtec	rosario micaltepec	
mitl11	Santiago Mitlatongo		Mixtec	NotAssigned	Asunción Nochixtlán	Oaxaca	17.16	-97.1757	vmm	mitl1235	Mitlatongo Mixtec	language		Eastern Alta	17.16	-97.1757				mixteco de Mitlatongo	tu’un lavi	[tũʔũ laβi]												SantiagoMitlatongoMixtec	santiago mitlatongo	
mixt11	San Juan Mixtepec		Mixtec	Mixtepec	San Juan Mixtepec	Oaxaca	17.3317	-97.8791	mix	mixt1425	Mixtepec Mixtec	language		Mixtepec	17.3317	-97.8791	Mixtepec		mix	mixteco de oeste central	sa'an ntavi	[sãʔã ndaβi]	S. J. Mixtepec	85	dialect	Yucunicoco								SanJuanMixtepecMixtec	san juan mixtepec	
moli11	San Pedro Molinos		Mixtec	Western Alta	San Pedro Molinos	Oaxaca	17.10495	-97.54152	mig	sanp1259	San Pedro Molinos	dialect	sanm1295	Western Alta			Western Alta		moli	mixteco de San Pedro Molinos	tu’un savi	[tũʔũ saβi]	Molinos	75	dialect	Atatlahuca	Molinos	mxt	mxm	1700	-9758	it is a dialect of Mixteco (San Miguel el Grande) in Ethnologue	gl lat and long better	SanPedroMolinosMixtec	san pedro molinos	
mont11	San Antonino Monte Verde		Mixtec	Western Alta	San Antonino Monte Verde	Oaxaca	17.53375	-97.72149	xtn	mont1271	Monte Verde Mixtec	dialect	nort2985	Western Alta						mixteco del norte bajo	tu’un savi	[tũʔũ saβi]	S. A. Monteverde	85	dialect	Ñumi?								SanAntoninoMonteVerdeMixtec	san antonino monte verde	
mont12	San Sebastián del Monte		Mixtec	Central Baja	Santo Domingo Tonalá	Oaxaca	17.6793	-98.02259	mks	sila1250							Central Baja		mont	mixteco de Santo Domingo Tonalá	to’on nda’vi	[tõʔõ ndaʔβi]												SanSebastianMonteMixtec	san sebastian del monte	
mont13	Santa Lucía Monteverde		Mixtec	Western Alta	Santa Lucía Monteverde	Oaxaca	16.9969	-97.6277	mdv	sant1439	Santa Lucía Monteverde Mixtec	language		Western Alta	16.9969	-97.6277	Western Alta		verd	mixteco de Santa Lucía Monteverde	sasau	[sasau]	Sta. Luci?a Monteverde	83	dialect	Atatlahuca								SantaLuciaMonteverdeMixtec	santa lucia monteverde	
mont14	San Agustín Monte Lobos		Mixtec	Northeastern Alta	Santa María Chachoápam	Oaxaca	17.63031	-97.28821									Northeastern Alta		lobo	mixteco del noreste bajo	tu’un savi	[tũʔũ saβi]												SanAgustinMonteLobosMixtec	san agustin montelobos	
more11	San Luis Morelia	San Luís Morelia	Mixtec	Central Baja	Santiago Tamazola	Oaxaca	17.70342	-98.21456	vmx	tama1339							Central Baja		mor	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												SanLuisMoreliaMixtec	san luis morelia	
ndua11	San Antonio Nduayaco		Mixtec	Northeastern Alta	Santiago Apoala	Oaxaca	17.68547	-97.14745	mip	apas1235							Northeastern Alta	Apoala	ndua	mixteco del noreste	da’an davi	[ðãʔã ðaβi]												SanAntonioNduayacoMixtec	san antonio nduayaco	
nica11	San Sebastián Nicananduta		Mixtec	NotAssigned	San Sebastián Nicananduta	Oaxaca	17.51737	-97.68345	xtn	nort2985										mixteco del norte bajo	tu’un savi	[tũʔũ saβi]	Nicananduta	93	dialect	Ñumi?								SanSebastianNicanandutaMixtec	san sebastian nicananduta	
