id,village_name,village_name_alternative,municipality,state,latitude,longitude,isocode,glottocode,glottolog_name,glottolog_level,glottolog_super,glottolog_group,glottolog_latitude,glottolog_longitude,josserand_group,josserand_subgroup,josserand_code,inali_group,inali_endonym_ort,inali_endonym_ipa,egland_name,egland_perc,egland_level,egland_super,mtree_name,mtree_code,mtree_codealt,mtree_latitude,mtree_longitude,mtree_comments,coordinate.comparison,village_norm,Comments
alco11,Alcozáuca de Guerrero,,Alcozáuca de Guerrero,Guerrero,"   17,36870"," -98,39690",xta,alco1235,Alcozauca Mixtec ,language,,Guerrero,"   17,36870","   -98,39690",Guerrero,,alco,mixteco de Guerrero del noreste central,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,alcozauca de guerrero,
amat11,San Miguel Amatitlán,,San Miguel Amatitlán,Oaxaca,"   17,89179"," -98,02529",,,,,,,NA,NA,Central Baja,,amat,mixteco del noroeste,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,san miguel amatitlan,
amol11,Santiago Amoltepec,,Santiago Amoltepec,Oaxaca,"   16,65210"," -97,45180",mbz,amol1236,Amoltepec Mixtec ,language,,Amoltepec,"   16,65210","   -97,45180",,,,mixteco de Santiago Amoltepec,tnu'u ñuu savi,[tnũʔũ nũʔũ saβi],Amoltepec,52,language,,,,,NA,NA,,,santiago amoltepec,
amol12,San Cristóbal Amoltepec,,San Cristóbal Amoltepec,Oaxaca,"   17,28458"," -97,57060",,sanc1244,San Cristóbal Amoltepec Mixtec ,dialect,magd1235,Western Alta,NA,NA,,,,mixteco central,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,san cristobal amoltepec,
apas11,Santa María Apazco,Santa María Apasco,Santa María Apazco,Oaxaca,"   17,61430"," -97,06570",mip,apas1235,Apasco-Apoala Mixtec ,language,,Northeastern Alta,"   17,61430","   -97,06570",Northeastern Alta,Apoala,apas,mixteco del noreste,da’an davi,[ðãʔã ðaβi],,NA,,,,,,NA,NA,,,santa maria apasco,
apoa11,Santiago Apoala,,Santiago Apoala,Oaxaca,"   17,61430"," -97,06570",mip,apas1235,Apasco-Apoala Mixtec ,language,,Northeastern Alta,"   17,61430","   -97,06570",Northeastern Alta,,apoa,mixteco del noreste,da’an davi,[ðãʔã ðaβi],Apoala,26,language,,,,,NA,NA,,,santiago apoala,
atat11,San Esteban Atatlahuca,,San Esteban Atatlahuca,Oaxaca,"   17,07133"," -97,67753",mib,atat1238,Atatláhuca Mixtec ,language,,Western Alta,"   17,07133","   -97,67753",Western Alta,,atat,mixteco del sur medio,tu’un savi,[tũʔũ saβi],S. Esteban Atatlahuca,68,language,,Atatlahuca,"cut, cux",mxa,"17,00","-97,75",,gl lat and long better,san esteban atatlahuca,
aten11,San Agustín Atenango,,San Agustín Atenango,Oaxaca,"   17,61188"," -98,01527",,,,,,,NA,NA,Central Baja,,aten,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],Atenango,80,dialect,Silacayoapan,,,,NA,NA,,,san agustin atenango,
atla11,Atlamajalcingo del Monte,,Atlamajalcingo del Monte,Guerrero,"   17,31173"," -98,60758",,atla1271,Atlamajalcingo del Monte,dialect,alac1244,Guerrero,NA,NA,,,,mixteco de Atlamajalcingo,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,atlamajalcingo del monte,
atoy11,San Pedro Atoyac,,San Pedro Atoyac,Oaxaca,"   16,48865"," -97,98640",,,,,,,NA,NA,Coast,West,atoy,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],Atoyac,80,dialect,Jicaltepec,,,,NA,NA,,,san pedro atoyac,
ayut11,Ayutla de los Libres,,Ayutla de los Libres,Guerrero,"   16,88330"," -98,99160",miy,ayut1236,Ayutla Mixtec ,language,,Southern Baja,"   16,88330","   -98,99160",Southern Baja,,ayut,mixteco de Ayutla,tu’un savi,[tũʔũ saβi],Ayutla,NA,language,,Ayutla,mim,mxt,"16,92","-99,17",,gl lat and long better,ayutla de los libres,
brav11,Santa Cruz de Bravo,,Santa Cruz de Bravo,Oaxaca,"   17,58093"," -98,22383",,,,,,,NA,NA,Guerrero,,cruz,NA,NA,NA,,NA,,,,,,NA,NA,,,santa cruz de bravo,
caca11,Santiago Cacaloxtepec,,Santiago Cacaloxtepec,Oaxaca,"   17,72480"," -97,76370",miu,caca1250,Cacaloxtepec Mixtec ,language,,Northern Baja,"   17,72480","   -97,76370",Tezoatlan,,cac,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],Cacaloxtepec,59,language,,,,,NA,NA,,,santiago cacaloxtepec,
cahu11,Cahuatache,Cahuatachi,Xalpatláhuac,Guerrero,"   17,41506"," -98,53192",,,,,,,NA,NA,Guerrero,,cah,mixteco de Guerrero central alto,tno̱’on sávi̱,[tnõʔõ saβi˨],"Cahuatache, Gro.",76,dialect,Silacayoapan,,,,NA,NA,,,cahuatachi,
chal11,Chalcatongo de Hidalgo,,Chalcatongo de Hidalgo,Oaxaca,"   17,03226"," -97,57074",,sanm1296,San Miguel Chalcatongo ,dialect,sanm1295,Western Alta,NA,NA,Western Alta,,chal,mixteco del sur bajo,sahin sau,[sahin sau],Chalcatongo,85,dialect,Yosondu?a,Chalcatongo,mib,mxc,"17,05","-97,58",it is a dialect of Mixteco (San Miguel el Grande) in Ethnologue,gl lat and long better,chalcatongo de hidalgo,
chay11,San Agustín Chayuco,,San Agustín Chayuco,Oaxaca,"   16,42000"," -97,83000",mih,chay1249,Chayuco Mixtec ,language,,Coast (East),"   16,31580","   -97,81140",Coast,East,chay,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],Chayuco,85,dialect,Cristo?bal,Chayuco,miy,mxu,"16,42","-97,83",,mtree lat and long better,san agustin chayuco,
chay12,San Pedro Chayuco,,Santiago Juxtlahuaca,Oaxaca,"   17,21534"," -97,99416",,,,,,,NA,NA,Southern Baja,,chap,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],,NA,,,,,,NA,NA,,,san pedro chayuco,
chaz11,Santiago Chazumba,,Santiago Chazumba,Oaxaca,"   18,15410"," -97,78730",xtb,chaz1235,Chazumba Mixtec ,language,,Northern Baja,"   18,15410","   -97,78730",Northern Baja,,chaz,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],Stgo. Chazumba,53,language,,,,,NA,NA,,,santiago chazumba,
chic11,San Miguel Chicahua,,San Miguel Chicahua,Oaxaca,"   17,63719"," -97,19479",,,,,,,NA,NA,Northeastern Alta,,chic,mixteco del noreste,da’an davi,[ðãʔã ðaβi],Chicahua,87,dialect,Apoala,,,,NA,NA,,,san miguel chicahua,
chig11,Chigmecatitlán,Santa María Chigmecatitlán,Chigmecatitlán,Puebla,"   18,63030"," -98,10460",mii,chig1239,Chigmecatitlán Mixtec ,language,,Northern Baja,"   18,63030","   -98,10460",Northern Baja,,chig,mixteco del suroeste de Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðeʔe ðau],Chigmecatitlan,23,language,,,,,NA,NA,,,santa maria chigmecatitlan,
coic11,Coicoyán de las Flores,,Coicoyán de las Flores,Oaxaca,"   17,27301"," -98,27588",,coic1238,Coicoyán ,dialect,west2643,Southern Baja,NA,NA,Southern Baja,,coi,mixteco del oeste,to’on savi,[tõʔõ saβi],Coicoya?n,65,language,,,,,NA,NA,,,coicoyan de las flores,
colo11,San Juan Colorado,,San Juan Colorado,Oaxaca,"   16,46073"," -97,95446",mjc,sanj1281,San Juan Colorado Mixtec ,language,,Coast (East),"   16,39640","   -97,92790",Coast,East,colo,mixteco de Oaxaca de la costa noroeste,tu’un savi,[tũʔũ saβi],Colorado,95,dialect,Jicaltepec,San Juan Colorado,mie,mjc,"16,50","-98,00",,gl lat and long better,san juan colorado,
coso11,Cosoltepec,,Cosoltepec,Oaxaca,"   18,14291"," -97,79059",,,,,,,NA,NA,Northern Baja,,cos,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],Cosoltepec,89,dialect,Chazumba,,,,NA,NA,,,cosoltepec,
coxc11,San Pedro Coxcaltepec Cántaros,,San Pedro Coxcaltepec Cántaros,Oaxaca,"   17,49922"," -97,13893",,,,,,,NA,NA,Northeastern Alta,,cant,mixteco del este,tu’un davi,[tũʔũ ðaβi],,NA,,,,,,NA,NA,,,san pedro coxcaltepec cantaros,
cris11,San Cristóbal (Jamiltepec),,San Agustín Chayuco,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,san cristobal,
cuat11,Cuatzoquitengo,,Malinaltepec,Guerrero,"   17,28835"," -98,61552",,cuat1239,Cuatzoquitengo ,dialect,alac1244,Guerrero,NA,NA,Guerrero,,cuat,mixteco central de Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],Cuatzoquitengo,NA,language,,,,,NA,NA,,,cuatzoquitengo ,
cuau11,Santa Ana Cuauhtémoc,,Santa Ana Cuauhtémoc,Oaxaca,"   17,98379"," -96,79439",,,,,,,NA,NA,Northern Alta,,cuau,mixteco de Cañada central,tu’un savi,[tũʔũ saβi],Sta. Ana Cuauhte?moc,25,language,,,,,NA,NA,,,santa ana cuauhtemoc,
cuil11,Cuilapam de Guerrero,Cuilapan de Guerrero,Cuilapam de Guerrero,Oaxaca,"   17,04496"," -97,75798",,,,,,,NA,NA,Northeastern Alta,,cui,mixteco bajo de Valles,tu’un dau,[tũʔũ ðau],,NA,,,,,,NA,NA,,,santiago cuilapan de guerrero,
cuya11,Cuyamecalco Villa de Zaragoza,,Cuyamecalco Villa de Zaragoza,Oaxaca,"   18,08210"," -96,73140",xtu,cuya1240,Cuyamecalco Mixtec ,language,,Northern Alta,"   18,08210","   -96,73140",Northern Alta,,cuya,mixteco de Cañada central,tu’un savi,[tũʔũ saβi],Cuyamecalco,61,language,,,,,NA,NA,,,cuyamecalco villa de zaragoza,
diux11,San Juan Diuxi,,San Juan Diuxi,Oaxaca,"   17,35960"," -97,38610",xtd,diux1236,Diuxi-Tilantongo Mixtec ,language,,Eastern Alta,"   17,35960","   -97,38610",Eastern Alta,,diux,mixteco del este central,tnu’un dau,[tnũʔũ ðau],,NA,,,,,,NA,NA,,,san juan diuxi,
dura11,San Martín Duraznos,,San Sebastián Tecomaxtlahuaca,Oaxaca,"   17,30502"," -98,10188",,,,,,,NA,NA,Southern Baja,,durz,mixteco del oeste,to’on savi,[tõʔõ saβi],,NA,,,,,,NA,NA,,,san martin duraznos,
esta11,San Martín del Estado,,Silacayoapam,Oaxaca,"   17,56721"," -98,17607",,,,,,,NA,NA,Western Baja,,silm,mixteco del noroeste medio,dedavi ~ tu’un savi,[dedaβi] ~ [tũʔũ saβi],,NA,,,,,,NA,NA,,,san martin del estado,
este11,Santa Catarina Estetla,,Santa María Peñoles,Oaxaca,"   17,02627"," -97,09740",,,,,,,NA,NA,Eastern Alta,,este,mixteco de Santa María Peñoles,tu’un savi,[tũʔũ saβi],Estetla,14,language,,,,,NA,NA,,,santa catarina estetla,
flor11,San Francisco de las Flores,,Santos Reyes Yucuná,Oaxaca,"17777,00000"," -98,03100",,,,,,,NA,NA,Central Baja,,flor,mixteco del noroeste,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,san francisco de las flores,
gran11,San Miguel El Grande,,San Miguel El Grande,Oaxaca,"   17,04688"," -97,62248",mig,sanm1295,San Miguel El Grande Mixtec,language,,Western Alta,"   17,07770","   -97,54320",Western Alta,,mig,mixteco del sur bajo,sahin sau,[sahin sau],S. Miguel el Grande,86,dialect,Yosondu?a,San Miguel el Grande,mil,mxg,"17,05","-97,57",,gl lat and long better,san miguel el grande,
gran11,San Miguel El Grande (Alcozáuca),,Alcozáuca de Guerrero,Guerrero,"   17,24389"," -98,23722",,,,,,,NA,NA,,,,mixteco de Guerrero del noreste central,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,gl lat and long better,san miguel el grande,
guad11,Guadalupe Villahermosa (El Portesuelo),Guadalupe Portezuelo/Villahermosa,Santos Reyes Yucuná,Oaxaca,"   17,75898"," -98,01539",,,,,,,NA,NA,Central Baja,,guad,mixteco del noroeste,tu’un savi,[tũʔũ saβi],Guadalupe Portezuelo,65,language,,,,,NA,NA,,,guadalupe portezuelo/villahermosa,
heun11,Santo Domingo Huendio,Santo Domingo Huendío,Magdalena Peñasco,Oaxaca,"   17,25296"," -97,50540",,sant1440,Santo Domingo Heundío Mixtec ,dialect,magd1235,Western Alta,NA,NA,,,,mixteco central,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,santo domingo huendio,
huaz11,Santa María Huazolotitlán,,Santa María Huazolotitlán,Oaxaca,"   16,30190"," -97,91488",,,,,,,NA,NA,Coast,East,huaz,mixteco de Santa María Huazolotitlán,to’on savi,[tõʔõ saβi],Huazolotitla?n,71,dialect,Jicaltepec,,,,NA,NA,,,santa maria huazolotitlan,
huit11,San Antonio Huitepec,,San Antonio Huitepec,Oaxaca,"   16,94760"," -97,12360",mxs,huit1252,Huitepec Mixtec ,language,,Eastern Alta,"   16,94760","   -97,12360",Eastern Alta,Teozacoalco,huit,mixteco de San Antonio Huitepec,tu’un savi,[tũʔũ saβi],Huitepec,77,dialect,Estetla,,,,NA,NA,,,san antonio huitepec,
itun11,Santa Cruz Itundujia,,Santa Cruz Itundujia,Oaxaca,"   16,77876"," -97,59753",mce,itun1239,Itundujia Mixtec ,language,,Western Alta,"   16,77876","   -97,59753",Western Alta,,itun,mixteco de Santa Cruz Itundujia,tu’un savi,[tũʔũ saβi],Itunduiji?a,73,dialect,Atatlahuca,,,,NA,NA,,,santa cruz itundujia,
ixpa11,Ixpantepec Nieves,,Ixpantepec Nieves,Oaxaca,"   17,50717"," -98,04556",,,,,,,NA,NA,Southern Baja,,ixpn,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],Nieves Ixpautepec,94,dialect,Silacayoapan,,,,NA,NA,,,ixpantepec nieves,
ixta11,Santiago Ixtayutla,,Santiago Ixtayutla,Oaxaca,"   16,57740"," -97,57590",vmj,ixta1235,Ixtayutla Mixtec ,language,,Coast (East),"   16,57740","   -97,57590",Coast,East,ixty,mixteco de Ixtayutla,tu’un savi,[tũʔũ saβi],Ixtayutla,NA,language,,,,,NA,NA,,,santiago ixtayutla,
ixta12,Santiago Ixtaltepec,,Asunción Nochixtlán,Oaxaca,"   17,54171"," -97,11437",,,,,,,NA,NA,Northeastern Alta,Apoala,ixtl,mixteco del noreste,da’an davi,[ðãʔã ðaβi],Ixtaltepec,90,dialect,Apoala,,,,NA,NA,,,santiago ixtaltepec,
ixta13,San Miguel Ixtapam,San Miguel Ixtapan,San Pedro y San Pablo Tequixtepec,Oaxaca,"   18,80685","-100,15039",,,,,,,NA,NA,Northern Baja,,ixtp,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],,NA,,,,,,NA,NA,,,san miguel ixtapan,
jami11,Santiago Jamiltepec,,Santiago Jamiltepec,Oaxaca,"   16,22790"," -97,84170",mxt,jami1235,Jamiltepec Mixtec ,language,,Coast (East),"   16,22790","   -97,84170",Coast,East,jam,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],Jamiltepec,83,dialect,Jicaltepec,Jamiltepec,mih,mja,"16,25","-97,83",,gl lat and long better,santiago jamiltepec,
jate11,San Francisco Jaltepetongo,,San Francisco Jaltepetongo,Oaxaca,"   17,38592"," -97,26345",,,,,,,NA,NA,Northeastern Alta/Eastern Alta,,jalt,mixteco del este central,tnu’un dau,[tnũʔũ ðau],,NA,,,,,,NA,NA,,,san francisco jatepetongo,
jica11,Santa María Jicaltepec,,Santiago Pinotepa Nacional,Oaxaca,"   16,38086"," -98,04128",,,,,,,NA,NA,Coast,West,jict,mixteco de Oaxaca de la costa oeste central,tu’un savi ~ se’en savi,[tũʔũ saβi] ~ [seʔen saβi],Jicaltepec,74,language,,Jicaltepec,miz,mxj,"16,33","-98,00",,gl lat and long better,santa maria jicaltepec,
jica12,San Pedro Jicayán,,San Pedro Jicayán,Oaxaca,"   16,45235"," -98,01510",,,,,,,NA,NA,Coast,West,jicy,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],Jicaya?n,82,dialect,Jicaltepec,,,,NA,NA,,,san pedro jicayan,
joco11,San Pedro Jocotipac,,San Pedro Jocotipac,Oaxaca,"   17,76870"," -97,07983",,,,,,,NA,NA,Northeastern Alta,Apoala,joco,mixteco de Cañada bajo,tu’un savi,[tũʔũ saβi],Jocotipac,92,dialect,Apoala,,,,NA,NA,,,san pedro jocotipac,
juxt11,Santiago Juxtlahuaca,,Santiago Juxtlahuaca,Oaxaca,"   17,35180"," -98,01460",vmc,juxt1235,Juxtlahuaca Mixtec ,language,,Southern Baja,"   17,35180","   -98,01460",Southern Baja,,juxt,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],Juxtlahuaca,76,dialect,Silacayoapan,,,,NA,NA,,,santiago juxtlahuaca,
lore11,San Lorenzo,,San Lorenzo,Oaxaca,"   17,66757"," -98,11901",,,,,,,NA,NA,Coast,,lor,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],S. Lorenzo,81,dialect,Jicaltepec,,,,NA,NA,,,san lorenzo,
mech11,Santa Catarina Mechoacán,,Santa Catarina Mechoacán,Oaxaca,"   16,33471"," -97,83626",,,,,,,NA,NA,Coast,East,mech,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],Mechoaca?n,99,dialect,Cristo?bal,,,,NA,NA,,,santa catarina mechoacan,
metl11,Metlatónoc,,Metlatónoc,Guerrero,"   17,19470"," -98,35140",mxv,metl1238,Metlatónoc Mixtec ,language,,Guerrero,"17048,00000","   -98,35140",Southern Baja,,metl,mixteco de Guerrero del este medio,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],Metlato?noc,70,dialect,,,,,NA,NA,,,metlatonoc,
mica11,El Rosario Micaltepec,,Petlalcingo,Puebla,"   18,04537"," -97,85057",,,,,,,NA,NA,Northern Baja,,mic,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],,NA,,,,,,NA,NA,,,rosario micaltepec,
mitl11,Santiago Mitlatongo,,Asunción Nochixtlán,Oaxaca,"   17,16000"," -97,17570",vmm,mitl1235,Mitlatongo Mixtec ,language,,Eastern Alta,"   17,16000","   -97,17570",,,,mixteco de Mitlatongo,tu’un lavi,[tũʔũ laβi],,NA,,,,,,NA,NA,,,santiago mitlatongo,
mixt11,San Juan Mixtepec,,San Juan Mixtepec,Oaxaca,"   17,33170"," -97,87910",mix,mixt1425,Mixtepec Mixtec ,language,,Mixtepec,"   17,33170","   -97,87910",Mixtepec,,mix,mixteco de oeste central,sa'an ntavi,[sãʔã ndaβi],S. J. Mixtepec,85,dialect,Yucunicoco,,,,NA,NA,,,san juan mixtepec,
moli11,San Pedro Molinos,,San Pedro Molinos,Oaxaca,"   17,10495"," -97,54152",,sanp1259,San Pedro Molinos ,dialect,sanm1295,Western Alta,NA,NA,Western Alta,,moli,mixteco de San Pedro Molinos,tu’un savi,[tũʔũ saβi],Molinos,75,dialect,Atatlahuca,Molinos,mxt,mxm,"17,00","-97,58",it is a dialect of Mixteco (San Miguel el Grande) in Ethnologue,gl lat and long better,san pedro molinos,
mont11,San Antonino Monte Verde,,San Antonino Monte Verde,Oaxaca,"   17,53375"," -97,72149",,mont1271,Monte Verde Mixtec ,dialect,nort2985,Western Alta,NA,NA,,,,mixteco del norte bajo,tu’un savi,[tũʔũ saβi],S. A. Monteverde,85,dialect,Ñumi?,,,,NA,NA,,,san antonino monte verde,
mont12,San Sebastián del Monte,,Santo Domingo Tonalá,Oaxaca,"   17,67930"," -98,02259",,,,,,,NA,NA,Central Baja,,mont,mixteco de Santo Domingo Tonalá,to’on nda’vi,[tõʔõ ndaʔβi],,NA,,,,,,NA,NA,,,san sebastian del monte,
mont13,Santa Lucía Monteverde,,Santa Lucía Monteverde,Oaxaca,"   16,99690"," -97,62770",mdv,sant1439,Santa Lucía Monteverde Mixtec ,language,,Western Alta,"   16,99690","   -97,62770",Western Alta,,verd,mixteco de Santa Lucía Monteverde,sasau,[sasau],Sta. Luci?a Monteverde,83,dialect,Atatlahuca,,,,NA,NA,,,santa lucia monteverde,
mont14,San Agustín Monte Lobos,,Santa María Chachoápam,Oaxaca,"   17,63031"," -97,28821",,,,,,,NA,NA,Northeastern Alta,,lobo,mixteco del noreste bajo,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,san agustin montelobos,
more11,San Luis Morelia,San Luís Morelia,Santiago Tamazola,Oaxaca,"   17,70342"," -98,21456",,,,,,,NA,NA,Central Baja,,mor,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],,NA,,,,,,NA,NA,,,san luis morelia,
ndua11,San Antonio Nduayaco,,Santiago Apoala,Oaxaca,"   17,68547"," -97,14745",,,,,,,NA,NA,Northeastern Alta,Apoala,ndua,mixteco del noreste,da’an davi,[ðãʔã ðaβi],,NA,,,,,,NA,NA,,,san antonio nduayaco,
nica11,San Sebastián Nicananduta,,San Sebastián Nicananduta,Oaxaca,"   17,51737"," -97,68345",,,,,,,NA,NA,,,,mixteco del norte bajo,tu’un savi,[tũʔũ saβi],Nicananduta,93,dialect,Ñumi?,,,,NA,NA,,,san sebastian nicananduta,
nuch11,San Jorge Nuchita,,San Jorge Nuchita,Oaxaca,"   17,65569"," -98,10499",,,,,,,NA,NA,Central Baja,,nuch,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],S. Jorge Nuchita,98,dialect,Silacayoapan,,,,NA,NA,,,san jorge nuchita,
numi11,San Juan Ñumi,,San Juan Ñumi,Oaxaca,"   17,39759"," -97,70603",,,,,,,NA,NA,Western Alta,,ñumi,mixteco de Ñumi,sa'an savi ~ sa'an sau,[sãʔã saβi] ~ [sãʔã sau],Ñumi,NA,language,,,,,NA,NA,,,san juan numi,
nund11,Santa Cruz Nundaco,,Santa Cruz Nundaco,Oaxaca,"   17,17339"," -97,72325",,,,,,,NA,NA,Western Alta,,ndac,mixteco del suroeste central,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,santa cruz nundaco,
nund12,Santiago Nundiche,Santiago Nundichi,Santiago Nundiche,Oaxaca,"   17,33120"," -97,67444",,,,,,,NA,NA,,,,mixteco de oeste central,sa'an ntavi,[sãʔã ndaβi],Nunduchi,100,dialect,Ñumi?,,,,NA,NA,,,santiago nundiche,
nund13,Santo Domingo Nundo,Santo Domingo Nundó,Villa de Chilapa de Díaz,Oaxaca,"   17,60855"," -97,68566",,,,,,,NA,NA,Eastern Alta/Tezoatlan,,ndo,mixteco del norte bajo,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,santo domingo nundo,
nuti11,Santa María Nutio,,San Juan Colorado,Oaxaca,"   16,48542"," -97,90405",,,,,,,NA,NA,Coast,East,nuti,mixteco de Oaxaca de la costa noroeste,tu’un savi,[tũʔũ saβi],,NA,,,,,,NA,NA,,,santa maria nutio,
