Index,Verb,VerbClass,Spanish,Example,Verb.IMPF,Verb.PFV,Rest2
14,ko ndó'o na,y.t.,NA,NA,NA,NA,"no querer, no importar (por ser rebelde o egoísta) Tá ni kava'a ve'e na, ta ko ní sa'an mváa ná chindeé ñaá ná. Dá ni kaa na sato'o ve'e ñoó: Ko ndó'o mváa yo ná kiina chindeé ná yó. Cuando construyeron su casa, su compadre no vino a apoyarlos y los dueños de la casa dijeron: “A nuestro compadre no le importa venir a ayudarnos.” Solamente se usa en el tiempo presente. Comp. de ko, ndo'o na"
15,4 nakoni ini na,v.t.,NA,NA,NA,NA,adivinar
16,nakoni na,v.t.,NA,NA,NA,NA,reconocer
17,kudi na kóni na,v.i.,NA,NA,NA,NA,tener sueño
18,koni'ini yáó ná,v.t.,rociar (con la mano o con regadera),"Kóni'ini yáó ná takuií noó ñoo, dá nakuitáan kava'a na mvélo tiempó viti, chi ichí nda'a van. Rocían la palma con agua para que se ablande para hacer sombreros porque está seca.",kóni'ini yáó ná,ni koni'ini yáó ná,Véase ko'ono yáó ná
19,koni koo na,y.i.,"ser parecido, ser semejante","Kóni koo na to'on káa naná na. Es parecida a su mamá. Comp. de koni nay, koo na;",kóni koo na,ni koni koo na,
20,koni kuáchí ná,v.i.,"servir (a alguien), trabajar (para alguien)",Kíno kuáchí ná noo sato'o na. Está trabajando para su patrón.,"xínkuáchí ná, xíno kuáchí ná",ni xino kuáchí ná,"Var. konkuáchí ná, kono kuáchí ná"
22,koni túu na,v.t.,1. ver (personalmente),"Ni xini túu yu'u ña ni kuu tein tandó'ó kúu ñoo káa. Yo vi personalmente lo que sucedió en el conflicto de ese pueblo. 2. ver (algo sobrenatural) Ni xini túui iin ña u'u ñoó ndavé'e. Vi un demonio a media noche. Comp. de koni nan, túu",xiní túu na,ni xini túu na,
23,koni u'u na,v.£,odiar,"Xiní u'u va ñayuu káa yu'u, ko kuú ta'on kanooi, chi yu'í kani na yu'u. Esas personas me odian; no puedo andar por ahí porque tengo miedo que me peguen. Comp. de koni na;, u'u",xiní u'u na,ni xini u'u na,
25,koni xí'ín noo ná,y.t.,comprobar (lit. ver con sus ojos),"Ni xini xí!ín noo ná to'on ki'o kua'an choon dá ni nata'an ini na. Él comprobó como está el asunto, entonces se convenció de que es cierto. Comp. de koni na, xí'ín, noo;",xiní xí'ín noo ná,ni xini xí'ín noo ná,
26,konó ná,y.t.,"1. permitir, dejar (hacer algo)","O sa kónó ndo'ó noó de'e ndó kadíki xi taxií. No permitan a sus hijos jugar con armas. 2. descubrir Konó nooon, di'í; dá nána idí taaon. Muchacha, quita el cabello de tu frente para descubrir tu cara. 3. abrir Kó'o konó yaví; nde'á á ñó'o takuií. Vamos a abrir la llave para ver si hay agua. 4. destapar Konó yú'u mvúli káa, dá kuu ko'ón takuií ñó'o inian. Destapa ese garrafón para que puedas tomar el agua que contiene. 5. limpiar (un terreno) Ko'in konóí noo ñó'í, chi káa nda'o yíto, dá kuu kutii. Voy a limpiar mi terreno para poder sembrar porque está lleno de árboles.",sónó ná,ni sonó ná,Véase nono ñá
27,nakonó ná,v.t.,NA,NA,NA,NA,abrir
29,koo na»,v.i.,NA,NA,NA,NA,"1. vivir, radicar (sujeto"
30,ná koo dá'a ni,v.i.,NA,NA,NA,NA,no ser necesario
31,nda'í koo ini na,v.i.,NA,NA,ser humilde,NA,ser compasivo
32,ndísá'ano koo ini na,v.i.,NA,NA,NA,NA,ser serio
33,ñóchí koo ini na,v.i.,NA,NA,NA,NA,"sentirse muy bien, estar muy satisfecho, estar muy feliz"
34,koo ña,v.i.,"suceder, ocurrir",Di'a ni kuu tá ni sa'an ndu Kuliakán. Así sucedió cuando fuimos a Culiacán.,kúu ña,ni kuu ña,
35,koo choon ña 1.,v.i.,"ser útil, servir","Ió choon ñoo yó'o kava'a mvélo, chi va!a lí vaan. Esta palma sirve para hacer sombreros porque todavía está buena. 2. v. t ocupar, utilizar Koo chooan nooí kuu víti. Lo voy a ocupar hoy. Deriv. de choon",ió choon ña,ni sa io choon ña,
36,koo dii iní na,v.i.,NA,"estar alegre, estar contento",ió dii iní na,ni sa io dii iní na,Véase dii iní na
37,koo díin ná,v.i.,NA,"1. vivir (aparte, sujeto singular) 2. estar sentado (inclinando a un lado)",ió díin ná,ni sa io díin ná; suj. pl kandei díin ná,
38,koo ini na,y.t.,"procurar, tratar","Tído dión ná koo inio kotoni'ini tá'an yé, ná ku'u ini sa'a sáta'án yé. Procuraremos ayudarnos unos a otros y amarnos unos a otros.",ió ini na,ni sa io ini na,
39,koon na,y.t.,"golpear, pegar","Ni koon kóóín dinií noó yuu, chi xído ndava'o inii. Golpeé mi cabeza en la piedra a propósito, porque estoy muy enojado.",kóon na,ni koon na,
40,koon ña,v.i.,NA,"caer (lluvia, granizo)",kóon ña,ni koon ña,
41,"kóón adv. a propósito, con intención Kóón kóón ni karyíí ná xí'ín mváa ná dá chi xído ini na xiní na rá. Él regañó a su compadre a propósito porque estaba enojado con él. koon ña",yv.i.,"derrumbarse, caerse",Náo noo nákaa tatái kúú ni koon ndi'an. La tumba de mi papá se derrumbó toda.,kóon ña,ni koon ña,
42,ẹ kuu ya'a na ko'on na,v.i.,NA,NA,NA,NA,"estar despedido, estar expulsado"
43,koon dai,v.i.,llover (lit. caer lluvia),"Sakuaá kóni ni koon nda'o dai kúú ni ndaxi nda'o títoí. Ayer en la noche llovió mucho y se mojó mi leña. Comp. de koon ña, dai",kóon dai,ni koon dai,
44,chituú na,y.t.,"envolver, forrar","Ko'in chituúi ndá'a taleéi, dá ná kudi na'á kí. Voy a envolver a mi bebé para que duerma mucho tiempo.",chítuú na,ni chituú na,
45,chiya'i na,v.t.,pagar,Ni chiya'i na taa ni kava'a ve'e na. Ellos le pagaron a un hombre que construyó su casa. Deriv. de ya'i,chíya'i na,ni chiya'i na,
46,chiyeé ñá,v.i.,infectarse,"Ni taán ná kaka noó ni tarkue'e tixi kíti ná, chi yu'ú na chiyeéán. Echaron cal en la herida que tenía el chivo en el estómago por temor a que se le infectara.",chíyeé ñá,ni chiyeé ñá,
47,chiyúú ná,v.t.,apedrear,Ni chiyúú ná iin koo. Él apedreó a una serpiente. Deriv. de yuu,chiyúú ná,ni chiyúú ná,
48,cho'o ñá,v.i.,cocerse ¿,"Á sa ni cho'o koño?, chi kuíkoi, ki'o ló!o. Hermana, ¿ya está cocida la carne? Porque tengo hambre.",chó!o ñá,ni cho'o ñá,
49,dácho'o ná,v.t.,NA,NA,cocer,NA,digerir cho'ómá s. Se refiere a una especie de avispa grande.
50,ka'anda na choon,y.t.,NA,NA,NA,NA,"ordenar, mandar"
51,kaki na choon,v.i.,NA,NA,NA,NA,demandar
52,kani choon noo ná,yv.t.,NA,NA,NA,NA,"tocar, corresponder (a alguien su turno o un cargo)"
54,ko chóon ña,yv.i.,NA,NA,NA,NA,no sirve
55,koo choon ña,v.i.,NA,NA,,NA,v. t. ser útil; ocupar
56,talanda choon noo ná,y.i.,NA,NA,NA,NA,recibir órdenes
57,ko'o ndei na,y.t.,"beber, tomar (agachado)","Ni xino na noo ñó'o takuií, ni xi'i ndei na ra. Llegó abajo donde hay agua y se agachó para tomarla con los labios. Deriv. de ndei",xí!i ndei na,ni xi'i ndei na,
58,ko'o ndita na,v.t.,NA,NA,NA,NA,beber (en ayunas) Yuku ndó'o kuéi kían va'a ndi'o ña ko'o yó tor u'u sata yo. Ko'o ndita yoán oni o komi na'a. La hierba cola de caballo es buena para cocerla y beberla cuando nos duele la espalda. Hay que beberla antes de comer en la
59,koo nduu na,y.i.,"estar preparado, estar listo (sujeto singular)","Ni sa io nduui kasaa tá'an Juan, ko ní kíi ta'on na. Estuve preparada para la llegada del pariente de Juan, pero no vino. Comp. de koo na», nduu",ió nduu na,ni sa io nduu na,"Véase kandei nduu na, kenduu na"
60,ko'oni na,y.t.,regar,"Ni so'oni na iti na, dá chi kua'an ichi vaan. Regaron las milpas porque ya se estaban secando.",só'oni na,ni so'oni na,
61,nako'oni na,v.t.,"amarrar ko'óní ná v. t. 1. exprimir, apretar",Ni so'óní ná ndúta tikuaá ko'o na. Exprimió la naranja para tomar el jugo. 2. ordeñar Kua'án ko'ónón lechí ri ná ko'i. Vete a ordeñar la vaca para que yo tome la leche.,só'óní ná,ni so'óní ná,
62,ko'oni ña,v.i.,exprimirse,Ñó'o tikuaá káa ndáti rí ko'oni ri cháá ka tóó. Esas naranjas están listas para que se expriman al rato.,só'oni ña,ni so'oni ña,
63,koon ñíñí,v.i.,granizar (lit. caer granizo),"Ni koon ndava'o ñiñí kúú ni chachi ndava'o iti ni keean. Cayó mucho granizo y se despedazó mucho la milpa. Comp. de koon ña, ñiñí",kóon ñíñí,ni koon ñiñí,
64,ko'ono yáó ná,y.t.,"rociar, regar","Ni so'ono yáó ná takuií ini ve'e na, dá natu'u na chi ió nda'o ñoyaká. Roció su casa con agua para barrer porque hay mucho polvo. Deriv. de yáó",só'ono yáó ná,ni so'ono yáó ná,Sinón. kata yáó ná Véase koni'ini yáó ná
65,koon yáó dai,v.i.,"chispear, lloviznar","Comp. de koon ña, yáó, dai",kóon yáó dai,ni koon yáó dai,
66,koon yi'o,v.i.,"1. escarchar, helar (lit. caer hielo)","Chó'o ndá'a iti tá kóon yi'o, ta kandoo toón ña. Cuando hiela, se queman las hojas de la milpa y se ponen negras. 2. nevar Comp. de koon ña, yi'oz",kóon yi'o,ni koon yi'o,
67,koo ñañó'ó ná 1.,y.t.,respetar,"Koo ñañó'ó ní noó na ñoo, chi kana'á na xí!á. Respete a los ciudadanos del pueblo para que no tengan mala impresión de nosotros. 2. v. i ser respetuoso Na kua'an káa ió ndava'o ñañó'ó ná, chi ká'an na ndisá'án. La persona que va allá es muy respetuosa porque saluda. Comp. de koo na», ñañó'ó",ió ñañó'ó ná,ni sa io ñañó'ó ná,
68,koo táyíí ini na,v.i.,"1. sentirse orgulloso (de su habilidad física o mental) 1ó táyií ndava'o inii, chi ko kuitá ta!on vei.","Me siento orgulloso de mis fuerzas porque no me canso. 2. sentirse bien (de salud) ¿Á sa io tayíí ini ní? ¿Á ko xí'i ka ní? ¿Ya se siente bien? ¿Ya no está enfermo? Comp. de koo na, táyíí, ini,",ió táyíí ini na,ni sa io táyíí ini na,
69,koo va'a na,v.i.,"estar bien, sentirse bien (de salud)","Ko ió va'a ta'on yu'u; kú'u va yu'u. No estoy bien; estoy enfermo. Comp. de koo na», va'a",ió va'a na,ni sa io va'a na,
70,koo vichí ná,v.i.,estar desnudo (sujeto singular),"Káa vichí tóo ká'a taleé, dá chi sá!a ña. El bebé anda sin pañal (lit. está desnuda su cadera) un rato porque está rozado. Comp. de koo na, vichí",káa vichí ná,ni sa kaa vichí ná; suj. pl kandaa vichí ná,
71,koo xíán ná,y.i.,estar (en un solo lugar),"Comp. de koo na», xíán",ió xíán ná,ni sa io xíán ná,
72,nóo ya'iña,v.i.,NA,NA,NA,NA,"barato kó'oyo adj. húmedo Ko'in chi'i tatai, chi kó'oyo va ñó!'o ñoó. Voy a sembrar porque está húmeda la tierra. ko'oyo s. humedad Ko'in dándeei ita noó ko'oyo. Voy a sembrar flores donde hay humedad."
74,koto na,v.t.,"mantener, alimentar","Xíto ndu nanái, chi ko kuú kaka na. Mantenemos a mi mamá porque ella no puede caminar.",xíto na,ni xito na,
75,nakoto ndaa na,yv.t.,NA,NA,levantar (la vista),NA,remendar
77,koto ndodó ná,yv.t.,probar ¿,"Á sa ni xito ndodó nían, á va'a sálan? ¿Ya lo probó usted a ver si está sabroso? Deriv. de koto na","xío ndodó ná, xíto ndodó ná",ni xito ndodó ná,Var. korndodó ná
78,koto ni'ini na,v.t.,visitar,"Koto ni'ini na ñayuu kú'u dá ndáta'án ini Ndios xiní ñá ná. Que ellos visiten a las personas enfermas para que Dios se agrade de ellos. Comp. de koto na, ni'ini",xíto ni'ini na,ni xito ni'ini na,Var. korni'ini na
81,nakua'á ná,v.i.,NA,NA,NA,NA,"disfrutar, estar gozoso kua'á adj. rojo"
82,ndukua'a ná,v.i.,NA,NA,NA,NA,hacerse más (miembros de un grupo)
83,kua'an na sarvé'e (progr. de ko'on na sarvé'e) va al baño (eufemismo) kua'an na sata (progr. de ko'on na kua'an nó'o ná sata) está siguiendo (a alguien) kua'an nó'o ná (progr. de no'o na) va (a casa) kua'ano na,yv.i.,crecer,"Kua'ano va iin taleé ló'i, dá chi ko kú'u ta'on Xi. Mi niño va a crecer porque no está enfermo.",sá'ano na,ni sa'ano na,
84,dákuá'ano na,v.t.,NA,NA,NA,NA,cultivar (planta)
85,kua'ánó ná,y.i.,"ser estrangulado, ahogarse",Sá'ánó ná chi toon ndava'o nákaa dá'on diko ná. Se está ahogando porque su corbata está muy apretada.,sá'ánó ná,ni sa'ánó ná,
86,dákua'ánó na,v.t.,"estrangular, ahogar kuaán sati adj. anaranjado kua'á tóon adj. rojo (intenso)","Ni xini lin ita kua'á tóon. Vi una flor de color rojo intenso. Comp. de kua'á, katoon ña kua'á toón adj. rojo (oscuro), púrpura Comp. de kua'á, toôns kuachi ña y. i. despedazarse Ni ta'i xooí, chi ni kankao ña, kúú ni chachi ndi'i vaan. Se quebró mi comal; se cayó y se despedazó todo.",cháchi ña,ni chachi ña,"Var. chachi ña kuáchí s. niños, jóvenes (vocativo) Ná ko'in ki'oi iin konsejó noo ndo, kuáchí. Jóvenes, voy a darles un consejo. 4 takuáchí s. niños, niñas, jóvenes"
87,ndató'ón kuáchi na,v.i.,NA,NA,NA,NA,"discutir (por duda o desconfianza) kuachi s. 1. error, pecado, delito lin kuachi ká'ano nda'o kían ni kee mií ní, chi ká'an ní sa'á na káa. Usted cometió un gran error al hablar de él. 2. culpa Kuachi miíá kíán, chi ko ní ka'an ni'inió noo xí tá sa io kuálí xí. Fue nuestra culpa porque no los educamos cuando eran más chiquitos."
88,ka'an kuachi na,v.i.,NA,NA,NA,NA,"denunciar, acusar, demandar"
89,katai kuachi na,v.i.,NA,NA,NA,NA,"ser acusado 4 ndei'i kuachi na v. i quejarse, reclamar 4 ni'i kuáchi na v. i. ser acusado"
90,kuaki nío ná,v.i.,tener hipo,"Sáki nío ná, dá chi ni xi'i na takuií vixi. Tiene hipo porque tomó agua fría. Comp. de kuaki na, nío",sáki nío ná,ni saki nío ná,
91,kuchi na;,v.£,masticar,"Va'a sá'an ndoo chíchi yó, dá chi kúú rá ndoo ndídi. La caña que estamos masticando es muy sabrosa porque es caña de elote.",chíchi na,ni chichi na,
92,nadákúchi na,v.t.,NA,NA,volver a bañar,NA,volver a pintar
93,kuchi tá'an no'o na,yv.i.,rechinar (los dientes),"Comp. de kuchi na;, tá'an,, no'o",chíchi tá'an no'o na,ni chichi tá'an no'o na,
94,kudao ñoó,yv.i.,llegar (la medianoche),"Tá ni kudao ñoó dá ni kasá'á kóon dai. Cuando llegó la medianoche empezó a llover. Comp. de kudao ña, ñoó,",kúdao ñoó,ni kudao ñoó,
95,kudi na,v.i.,1. dormir,Kídi xi ini ñóno. El bebé está durmiendo en su cuna colgada. 2. tener relaciones (sexuales),kídi na,ni kidi na,
96,kuduchí ini na,y.i.,"enojarse, quejarse, llorar (fácilmente por cualquier cosa)","Ni kuduchí ndava'o ini na, chi ni kusá'ano va na. Se queja muy fácilmente porque es viejo.",kúduchí ini na,ni kuduch íini na,
97,kuee na,v.i.,NA,NA,NA,NA,"dilatar Kuee yo dá saa yo, chi xíká kíán. Vamos a dilatar en"
98,ndató'ón kue'é na,v.t.,NA,NA,NA,NA,planear (algo malo)
99,"kue'e, s. 1. enfermedad Ni xi'i taleé ni kee kue'e ndúsa. Se murió un bebé que sufría de vómito (lit. la enfermedad de vómito). 2. plaga Ni kankao kue'e noo iti. Había una plaga en la milpa. 4 tarkue'e na",v.i.,NA,NA,NA,NA,lastimarse
100,kue'e koo ini na,v.i.,ser enojón,"Kue'e ió ini na, dí'inda ná. Ella es enojona, es egoísta. Comp. de kue'e», koo na», ini;",kue'e ió ini na,ni sa io kue'e ini na,
101,kuei na,y.i.,caerse (sujeto plural),Ni kuei ndá'a yíto. Se cayeron las hojas de los árboles.,kuéi na,ni kuei na,
102,cho'on ini na,v.i.,"esforzarse, intentar",Ni cho'on ini xi ni kava'a xi ¡in dosená mvélo. Ella se esforzó en hacer una docena de sombreros.,chó'on ini na,ni cho'on ini na,
103,cho'on taa ini na,y.t.,esforzarse (a lo máximo),"Ni cho'on taa ini na sa'á ñoó ni kandeé ná ni xiti na uxi makilá ñó'o. Se esforzó a lo máximo, por eso pudo sembrar diez maquilas de terreno.",chó'on taa ini na,ni cho'on taa ini na,
104,cho'o yókó ñá,v.i.,cocerse (al vapor),"Chíkódó ná iin tu'u yio iti noo xóo ná; dá dáda'i naan xí'ín iin ko'o; dá chó'o yókó ñá seí na. Ellos ponen un puño de quelite en el comal; lo tapan con un plato y se cuece al vapor. Comp. de cho'o ñá, yoko;",chó'o yókó ñá,ni cho!'o yókó ñá,
105,dádaa ná,yv.t.,NA,NA,NA,NA,calentar
106,"""kueídó'o na",v.t.,"1. oír, escuchar","Ka'an iin ga, chi ko ní seídó""""'i. Dígalo otra vez porque no oí. 2. obedecer Ni seídó'o va xi naná xi, ta kúú ni kee xi choon ni sa'anda na. El niño obedeció a su mamá, haciendo el trabajo que le mandó. Deriv. de do'o","seídó'o na, séido'o na","ni seídó'o na, ni seido'o na","Var. kueido'o na """
107,kueiduu na,v.i.,chiflar (recio),"Tá nákaa xíká ¡in taa, dá séiduu ¡in ga taa, ña ná ko'on ra noo nákaa ra, kaá ra. Cuando un señor está lejos de otro, uno le chifla recio al otro para decirle que venga a donde está.",séiduu na,ni seiduu na,
108,kuein na,v.t.,NA,pisar,séin na,ni sein na,
109,kueí nda'í na,v.t.,"pedir (un favor), rogar",Seí nda'í na noó de'e na ña ko'on xi xí!ín chee. Le ruega a su hijo que vaya con los toros. Deriv. de nda'í,"seí nda'í na, sáki nda'í na",ni seí nda'í na,
112,taó kuendá na,y.t.,NA,NA,calcular,NA,considerar
113,kuido na,v.t.,1. cargar (en la espalda),"Ni xido na taleé na, dá ni kee na kua'an na chi'i na tata. Ella puso (lit. cargó) a su bebé en la espalda y se fue a sembrar. 2. traer Kó'o yúku kuio yó títo. Vamos al monte para traer leña. 3. recibir (un cargo) Ko nóno ta'on na ko'on na kuti na, chi ni xido na choon kuia víti. Él no tiene tiempo de sembrar porque recibió un cargo en la agencia este año.","xido na, xío na",ni xio na,Var. kuio na
114,nakuido na,yv.t.,NA,NA,NA,NA,cargar (en la espalda)
115,"kuido ña,",v.i.,NA,NA,NA,NA,1. hervir ¿Á xído kidi ndúchi ní kánóoan? ¿Está hirviendo la olla de frijoles? 2. fermentarse Xído ndidi ñó'o ini kidi kée ká'ani. El pulque que hay
116,kuido ini na,v.i.,estar enojado,"Xído nda'o inii, chi ni chikáa na yu'u ve!e kaa. Estoy muy enojado porque me encerraron en la cárcel. Comp. de kuido ñay, ini,",xído ini na,ni xido ini na,
117,kuiin,v.i.,estar (el tiempo),Íin víkó ndava'o. Está muy nublado.,íin,ni sa fin,
118,"kuiin ña,",v.i.,haber fin ndava'o chikí noo tavi'índá.,Hay muchas tunas en los nopales.,íin ñas,ni sa íin ña,
119,kuiin díin ná,y.i.,"estar parado (inclinado hacia un lado, sujeto singular)","Comp. de kuiin na;, díin",íin díin ná,ni sa íin díin ná; suj. pl. kandita díin ná,
120,kuiin naá,v.i.,estar oscuro,Naá ndava'o íin. ¿Ndáyoo ví ri ko'on? Está muy obscuro. ¿Quién iría?,íin naá,ni sa íin naá,
121,kuiin na noo ná,yv.i.,1. reemplazar (sujeto singular),"Komité kúú de'i, tído kua'an xi norté, ndaa mií yu'u kuiin noo xí. Mi hijo es del comité, pero se fue al norte; yo lo reemplazaré. 2. representar (sujeto singular) Ni sa íin va de'e yu'u nooí noó ni sa io juntá. Mi hijo me representó en la junta.",íin na noo ná,ni sa íin na noo ná,Véase kandita na noo ná
122,kuiin na xoo,yv.i.,"estar a favor, estar del lado","Jentí íin na xoo na ká'an kuachi. El agente está del lado del que acusó. Comp. de kuiin na,, koo",íin na xoo,ni sa íin na xoo,Véase kandita na xoo
123,kuiin ndei na,v.i.,"estar agachado, estar inclinado (sujeto singular)",Íin ndei na ñóo na vii. Está agachado labrando la milpa. Deriv. de ndei,íin ndei na,ni sa íin ndei na,Véase kandita ndei na
124,kuiin ndichi na,v.i.,"estar parado, pararse (sujeto singular) fin ndichi mesá.",La mesa está parada. Deriv. de ndichi,íin ndichi na,ni sa íin ndichi na,Véase kandita ndichi na
125,kuiin ndio na,v.i.,"estar parado (inclinado hacia atrás, sujeto singular) fin ndio di'in ve'e na.","El horcón de su casa está inclinado hacia atrás. Comp. de kuiin nay, ndió",íin ndio na,ni sa íin ndio na,
126,kuiin ndodó ná,v.t.,alquilar,Ni xiin ndodó ndú chee ni xiti ndu. Alquilamos la yunta para que sembremos. Deriv. de kuiin na2,xíin ndodó ná,ni xiin ndodó ná,
127,kuiin noo ná,v.i.,1. estar adelante (sujeto singular) ¿,"Ní ña'a kían ña íin noo káa? ¿De quién es esa cosa que está adelante?  2. estar al frente, ser líder, ser autoridad (sujeto singular) De'e noó yu'u kúú ra íin noo sa'ándá choon ve!e chóon. Mi hijo mayor es autoridad en la agencia.",íin noo ná,ni sa íin noo ná,Var. kuiin na noo Véase kandita noo ná
128,kuiin toon na,v.i.,"1. permanecer (en su lugar, sujeto singular)","Kuiin toon na ta'í ná ndakí molinó káa, chi karyíí ta né'e choon xí'ín ná. Tiene que estar presente a diario (lit. permanecer en su lugar) para moler el nixtamal en ese molino, porque si no, el agente se va a enojar. 2. permanecer firme (sujeto singular) fin toon na xí'ín noó ni ka'an na. Él está (lit. permanece) firme en su promesa. Deriv. de toon",íin toon na,ni sa íin toon na,Véase kandita toon na
129,kuiin túu na,y.i.,"estar parado (en plena vista, sujeto singular)","Íin túu va kuéi ná dini loma káa, ko ú'u ta'on nani'i ná ri. El caballo de él está parado en plena vista allá en la loma, no le va a costar encontrarlo. Deriv. de túu",íin túu na,ni sa íin túu na,
130,kuiin xítí ná,v.i.,"estar hincado (de rodillas), estar arrodillado (sujeto singular)",Íin xítí ná nákata na. Ella está arrodillada lavando la ropa.,íin xítí ná,ni sa íin xití ná,Véase kandita xítí ná
131,kuiin xoo na,v.i.,"estar parado (aparte, sujeto singular)",Deriv. de xoo,íin koo na,ni sa íin xoo na,Véase kandita xoo na
132,kekuíká ná,v.t.,NA,NA,NA,NA,"hacer rico, enriquecer"
133,ña kuiká s. riqueza kuiko na,v.i.,NA,tener hambre,kuíko na,ni kuiko na,
134,4 dákuíkó ná,v.t.,abanicar; mecer kuiko ña v.i 1. extenderse ¿,Á ni xiko va to'on? ¿Se extendieron las noticias? 2. prenderse (fuego) Ni xiko va ñó'o ta kúú ni ndi'i va yúku ni kei. Se prendió el incendio y avanzó mucho y quemó por completo el cerro. 3. ser emparejado ¿Á sa ni xiko va noo yúu ní? ¿Ya emparejó su petate para terminarlo?,xíko ña,ni xiko ña,
135,nakuiko ña,v.i.,NA,NA,volver a arder (lumbre),NA,extenderse
136,dáxino ini na,v.t.,NA,NA,NA,NA,"convencer, persuadir"
137,ku'io na,v.i.,volverse cauteloso,"Ni ku'io nda'o de'i, dá chi ni yu'ú nda'o xi ni kee koo. Mi hijo se volvió cauteloso porque se espantó mucho por causa de una culebra. Deriv. de io",kú'io na,ni ku'io na,
138,kuio kao na,v.t.,1. pasar (sobre algo o alguien) ¿,"Á ko túu ta'on noo ná? ¿Ndiva'a ni xio kao na taleé ló'i? ¿Que no puede ver? ¿Por qué él pasó sobre mi bebé? (No es correcto pasar sobre una persona acostada.) 2. violar (la ley) Ni xio kao na noo ká!an ley, sa'á ñoó ko'on na ve'e kaa. Él violó la ley, por eso irá a la cárcel.",xío kao na,ni xio kao na,
139,kuió kodo ña,yv.i.,torcerse,Ni xió kodo diko sá'a ta Daní. Dani se torció el tobillo.,xíó kodo ñá,ni xió kodo ña,
140,kuió koo na,v.i.,dar la vuelta,Ni xió koo vúrro ñoó ta ni ku'u rí kua'an ri tein yíto. El burro dio la vuelta y regresó entre los árboles.,xió koo na,ni xió koo na,
141,kuio ndaa na,v.t.,1. quitar (de otra persona),"Tin kuu dá ni ndakuei na ñoo ni xio ndaa na ve!'e ¡in taa, chi ko ió ka ra ñoo. Un día se levantaron los del pueblo y quitaron la casa de un señor porque ya no vive ahí y no quiere colaborar con el pueblo. 2. rebajar, descontar Ko kóni ta'on na kuio ndaa na ya'i rí. No quieren rebajar el precio del animal.",xío ndaa na,ni xio ndaa na,Var. kio ndaa na Sinón. kandaa na
